year,leurs_DET antennes_NOUN,leurs_DET centaines_NOUN
1800,9.998443175618377e-07,0.0
1801,9.61997756121491e-07,0.0
1802,1.0786389452732692e-06,4.475680270843441e-09
1803,3.879224834690831e-06,7.801356893821776e-09
1804,1.2581721477999963e-06,1.2359254952798437e-08
1805,4.1506014936132374e-07,8.528632911009026e-09
1806,1.3313310773810372e-06,5.76333825108577e-09
1807,9.081786593867491e-07,1.4234775136401367e-08
1808,7.908598007588807e-07,4.5321479902327155e-09
1809,1.7620438086396462e-07,1.581321384946932e-08
1810,1.1958047334559296e-06,2.106114038724627e-08
1811,1.3036799373367103e-07,2.5070767684098882e-09
1812,9.068508077803017e-08,2.6672082320544632e-09
1813,1.121539270343419e-07,5.751483289628823e-09
1814,7.677892313040502e-07,0.0
1815,5.933891866760632e-08,2.697223555614414e-09
1816,2.3987201132058544e-06,6.952811659743929e-09
1817,4.844990144192707e-06,2.80237220096069e-08
1818,1.3017925653002749e-06,2.384235475716423e-09
1819,6.583268046256308e-07,0.0
1820,1.4714436247231788e-07,1.6613073583471305e-08
1821,1.9722975963532008e-07,2.9584463767662328e-09
1822,4.6017576948997885e-07,5.012807946513931e-09
1823,4.793103229872031e-07,1.9765373782121287e-09
1824,1.5494847271924073e-07,1.51580028528997e-08
1825,7.264490626823772e-07,3.522177216552791e-09
1826,2.1755720780447518e-07,9.688783109140786e-09
1827,3.345870140947227e-07,8.295545583791863e-09
1828,5.283245414489102e-07,2.7516904310687096e-09
1829,1.6880583189049503e-06,3.429270423183084e-09
1830,5.416717741013599e-07,1.7742621594152297e-08
1831,2.3698632745094983e-07,2.0268567268999504e-08
1832,2.990123135759859e-07,2.705993873419743e-09
1833,2.3862274867170186e-07,2.3167257001688313e-09
1834,5.722067673019637e-07,7.467624740797874e-09
1835,1.1231185084170647e-06,9.075705520444899e-09
1836,9.650996872778705e-07,1.4113575197427508e-08
1837,4.926186818465794e-07,1.3915781860163179e-09
1838,5.340088868877046e-07,1.009945904684173e-08
1839,6.949526181188048e-07,6.9914751765765e-10
1840,1.7771431792823478e-07,1.9109065441114126e-09
1841,2.8314617850355717e-07,1.0272877659645019e-08
1842,2.280810100785402e-07,2.0124795163667386e-09
1843,2.929827971343002e-07,4.134837805480629e-09
1844,2.557669507297078e-07,3.2931368743049916e-09
1845,3.2197914379139547e-07,2.2320911785556063e-09
1846,3.594663695594136e-07,6.439951683034906e-09
1847,1.5802145281185176e-07,8.089835468183537e-09
1848,1.2711450114721856e-07,4.02261068899179e-09
1849,3.2260748739076917e-07,2.513824481908955e-09
1850,1.6089920951145587e-07,8.146795238417326e-09
1851,8.190787248452125e-08,1.9348316282474798e-09
1852,4.4597235060450657e-07,2.6042181744401205e-09
1853,1.7318602729687882e-07,1.0749477752369785e-08
1854,2.0574831971487129e-07,7.79349651480743e-09
1855,9.711695270198106e-08,1.9104973603134567e-08
1856,1.0250834314717849e-07,4.141751386299575e-09
1857,2.9581946137113846e-07,5.369659827891837e-09
1858,1.5512952966645344e-07,3.9149408159744326e-09
1859,3.421940419912062e-07,8.656694916453489e-09
1860,6.874930349454189e-07,1.8308735638683515e-09
1861,1.9995685551776887e-07,5.659156698811785e-09
1862,6.822159570596398e-08,1.0391368654438793e-08
1863,2.4373750129313976e-07,8.990317823531768e-09
1864,1.1795030863126499e-07,7.671564716815737e-09
1865,1.0072646805525665e-07,9.413688495385486e-09
1866,2.111675989624473e-07,6.3252967308358166e-09
1867,2.212881966556779e-07,3.396968040192405e-09
1868,1.7783546013561136e-07,7.409810987013543e-09
1869,2.5736146369581547e-07,8.790334682373668e-09
1870,2.993173406906635e-07,2.8670243956696595e-09
1871,1.5506918948915427e-07,1.4869648623516696e-08
1872,2.1891368939819245e-07,1.2094678591978436e-09
1873,1.6222072485305716e-07,2.9930022904522957e-09
1874,4.504855262155161e-07,1.7326366119618797e-08
1875,1.201520714033677e-07,3.432916173551348e-09
1876,2.1765652746807973e-07,4.836811839936672e-09
