year,voudrais_VERB avoir_VERB,voudrais_VERB savoir_VERB
1800,1.5091990235305275e-07,2.04370692813427e-07
1801,1.0239084957675004e-07,1.9049460320275102e-07
1802,1.096541666356643e-07,1.7902721083373763e-07
1803,1.0726865440346955e-07,2.0673596168307995e-07
1804,1.2606439270257397e-07,1.7302956223375077e-07
1805,9.950071699904584e-08,1.3645812657614442e-07
1806,1.181484350354367e-07,8.645007198992971e-08
1807,3.9857372513552036e-08,1.3380689267705748e-07
1808,1.1330369886763947e-07,1.3369836437959748e-07
1809,1.197286110254936e-07,1.6716825257390155e-07
1810,1.661489932303084e-07,1.7316938283329364e-07
1811,8.273353557797236e-08,1.0780430415024966e-07
1812,3.9741402702020423e-07,4.480909865378635e-07
1813,2.473137783454149e-07,2.1568062891219597e-07
1814,1.6677388714469998e-07,2.2656075771010364e-07
1815,7.282503844407984e-08,8.091670622434322e-08
1816,1.4369143741532753e-07,1.7845549393769033e-07
1817,2.8179408673167927e-07,3.0826092256575066e-07
1818,2.515368464628409e-07,2.7895555376744596e-07
1819,2.2358267415256705e-07,2.0598589856035687e-07
1820,2.088500679064964e-07,2.9072879215163994e-07
1821,5.167419772078574e-07,6.518444024550263e-07
1822,3.9601184198545525e-07,4.3711685293601477e-07
1823,2.9055098593744333e-07,3.1624597340851324e-07
1824,2.240015959387165e-07,2.4758071504038526e-07
1825,1.9283920948964806e-07,2.5888002141982724e-07
1826,2.4310037360919523e-07,2.3517317515597824e-07
1827,2.4702291057110415e-07,3.1430900548912177e-07
1828,2.2013523448549677e-07,3.3937513421733456e-07
1829,3.420697112233029e-07,2.666257614691858e-07
1830,4.132986930471816e-07,4.707013090410328e-07
1831,3.788663036630169e-07,4.817682679458812e-07
1832,5.154918198968517e-07,6.534975227623363e-07
1833,2.837988972714811e-07,4.251191683124489e-07
1834,2.9217082442301034e-07,3.3417620670661563e-07
1835,3.5773405215877574e-07,4.023562780730572e-07
1836,3.1587524063070305e-07,3.528393790475093e-07
1837,2.5883355192490853e-07,4.5017554839432705e-07
1838,2.436494526136812e-07,2.916218875270715e-07
1839,3.2510359915249865e-07,3.7334476132855343e-07
1840,2.5606149733903294e-07,3.051080739169265e-07
1841,2.5553782734277775e-07,2.9919755206719856e-07
1842,2.6698896249399695e-07,3.924334919247485e-07
1843,3.0302453524200246e-07,3.715447007834882e-07
1844,2.6345094283897197e-07,4.0286039393322426e-07
1845,2.7398920110499603e-07,4.23539290750341e-07
1846,2.7808880531665636e-07,3.4073198662554205e-07
1847,2.734364272782841e-07,3.7051447066005494e-07
1848,3.4353095657024824e-07,4.336374388458353e-07
1849,2.7316892214912514e-07,3.360145512942836e-07
1850,2.477983684912033e-07,4.311012560265226e-07
1851,2.0573709491600312e-07,3.237618386719987e-07
1852,2.4154124389497156e-07,3.496163003546826e-07
1853,3.159152015541622e-07,3.4696924444688193e-07
1854,2.680962722934055e-07,3.403160349080281e-07
1855,3.051488874916686e-07,3.295608053122123e-07
1856,3.3910589536390034e-07,2.837099657426734e-07
1857,3.3291891554654285e-07,3.007009468092292e-07
1858,3.459828974428092e-07,3.792598874952091e-07
1859,3.2793596460578556e-07,3.8293143234113813e-07
1860,3.977572760049952e-07,5.336996196092514e-07
1861,3.428505692681938e-07,3.9991371636460826e-07
1862,4.0752235008767457e-07,3.4652953218028415e-07
1863,3.7509602179852664e-07,3.820885012828512e-07
1864,4.6892438376744394e-07,4.818701313524798e-07
1865,4.5279841742740246e-07,5.017495823267382e-07
1866,3.5664942288349266e-07,4.014130752238998e-07
1867,3.896807641012856e-07,5.134274374540837e-07
1868,3.8382822253879567e-07,4.386608054574026e-07
1869,4.4488859884950216e-07,6.089748580961896e-07
1870,3.3429503787374415e-07,5.51042091956333e-07
1871,3.589958055272291e-07,5.32120964180649e-07
1872,3.852155145978031e-07,5.84777694712102e-07
1873,3.064834288579732e-07,4.884579425379343e-07
1874,3.805826054303907e-07,6.159822305562557e-07
1875,4.508563336003135e-07,6.631249789279536e-07
1876,3.397860268705699e-07,5.102836553305679e-07
1877,4.4839916313321737e-07,5.158136673344416e-07
1878,3.32149880932775e-07,3.7563131627393886e-07
1879,3.5556271882342116e-07,4.2643091546779033e-07
1880,4.4090603523727623e-07,4.088168168436823e-07
1881,3.702401443206327e-07,6.003328962833621e-07
1882,4.206203527701291e-07,4.771911221723713e-07
1883,3.4440398621882196e-07,4.297150439924735e-07
1884,3.4724925512819027e-07,4.475950561300124e-07
1885,2.906981819705834e-07,3.725577357727161e-07
1886,2.7362688115317724e-07,3.8785319134149177e-07
1887,2.3569417351154698e-07,4.0152886526811926e-07
1888,3.182988450589619e-07,3.7029190025350545e-07
1889,3.470885872047802e-07,3.4458253139746375e-07
1890,2.792168629639491e-07,3.703228230733657e-07
1891,2.689920961529424e-07,2.995883505718666e-07
1892,3.3787281950026227e-07,3.453950228049507e-07
1893,2.8636637239287666e-07,3.6950498838450585e-07
1894,3.0877541234985983e-07,3.72420970506937e-07
1895,3.575057121452119e-07,3.839876114852814e-07
1896,3.5735996561925276e-07,3.650260964604968e-07
1897,3.000757544668886e-07,4.346728417203849e-07
1898,3.8024145965209755e-07,5.301878331920307e-07
1899,3.0291130315163173e-07,4.444173100637272e-07
1900,2.8135508500781725e-07,4.5369804979600303e-07
1901,3.0290965469248476e-07,3.9456497802348167e-07
1902,2.4796932507342717e-07,3.461749997768493e-07
1903,2.494901707450481e-07,4.3363769464122015e-07
1904,3.1549049595014367e-07,3.901977834175341e-07
1905,3.313207344035618e-07,4.453735016340943e-07
1906,3.343720038628817e-07,3.878715233440744e-07
1907,3.3479909689049236e-07,4.4228451656636025e-07
1908,3.2906305591495766e-07,5.068553718956537e-07
1909,3.3390969633728673e-07,4.477800530366949e-07
1910,4.0615546481603815e-07,5.151761115484987e-07
1911,3.580611860343197e-07,4.0009214785641234e-07
1912,3.4017520533780043e-07,5.100023372506257e-07
1913,3.335580629482138e-07,5.04314300542319e-07
1914,3.555970806701225e-07,3.8305373095681716e-07
1915,3.934774497338367e-07,3.6402553860170883e-07
1916,2.84575264686282e-07,3.93351143657128e-07
1917,3.553121530330827e-07,4.3646369363159465e-07
1918,3.388481104593666e-07,4.824278221349232e-07
1919,3.4345274002589576e-07,4.567092730667355e-07
1920,2.6957144427797175e-07,4.914378450848744e-07
1921,3.074535470659612e-07,4.589084880990413e-07
1922,3.091354869866336e-07,4.3234700797256664e-07
1923,3.704965934048232e-07,5.010727477383625e-07
1924,4.4733937443197647e-07,6.729428037033358e-07
1925,4.5202511955722e-07,6.653897912656248e-07
1926,4.0794867572913063e-07,6.397883680619998e-07
1927,4.816465093426814e-07,6.700684025418013e-07
1928,3.0964571351432824e-07,5.34738717306027e-07
1929,3.5760703553933126e-07,6.372312668645463e-07
1930,3.6762611443919013e-07,5.629931365547236e-07
1931,3.239121326714667e-07,5.88516400057415e-07
1932,3.013872458268452e-07,5.392092248257541e-07
1933,3.108549435637542e-07,5.391211175265198e-07
1934,3.4147504379689053e-07,4.912448048344231e-07
1935,3.566548798517033e-07,4.65566245111404e-07
1936,3.358545939136093e-07,5.637992330775887e-07
1937,3.638833163677191e-07,5.653412245010259e-07
1938,3.228338414373866e-07,5.14719033617439e-07
1939,2.5999887043326453e-07,4.7105675093916943e-07
1940,1.9779106708028849e-07,3.2965178320409905e-07
1941,3.2466527954966296e-07,5.637369895339361e-07
1942,3.1252380949808867e-07,4.338922963142977e-07
1943,3.6871085740131093e-07,5.312920166034019e-07
1944,3.598768500978622e-07,5.430284772955929e-07
1945,2.984550633300387e-07,7.297988418031309e-07
1946,3.090485165557766e-07,7.879344821049017e-07
1947,4.410722169723158e-07,1.0025452183981542e-06
1948,3.239822490286315e-07,8.230019261645793e-07
1949,3.219978736979101e-07,6.361421469591733e-07
1950,3.5309400914229627e-07,9.539919574308442e-07
1951,4.2112537812499795e-07,8.8169792888948e-07
1952,3.226710134640598e-07,8.48856700486067e-07
1953,2.973576442855119e-07,6.78751121085952e-07
1954,3.830834032214625e-07,6.694187391076412e-07
1955,3.2380347647631424e-07,7.696198167650437e-07
1956,3.6279948290030006e-07,6.872259632473288e-07
1957,2.2529346210831136e-07,5.892970307286305e-07
1958,2.4734006842663803e-07,7.362296514656919e-07
1959,3.356073818849836e-07,7.704243216721807e-07
1960,3.024404122697888e-07,6.90699152983143e-07
1961,2.890434132041264e-07,6.176913416311436e-07
1962,2.6699635213844886e-07,5.75215437947918e-07
1963,3.1037055236993183e-07,6.724695253979007e-07
1964,3.285342984327144e-07,7.081738999659137e-07
1965,3.004151949426159e-07,5.986415203551587e-07
1966,2.697529453143943e-07,5.649856120726326e-07
1967,3.012435172422556e-07,6.049521630302479e-07
1968,3.2832249985403905e-07,7.69379539633519e-07
1969,3.801451384788379e-07,7.443941285600886e-07
1970,2.961578786653263e-07,7.744253025521175e-07
1971,3.91545881939237e-07,6.597702508770453e-07
1972,2.570203605500865e-07,6.335731654871779e-07
1973,2.7400622570894484e-07,7.117545806067938e-07
1974,2.3008588811990194e-07,8.263965014521091e-07
1975,2.2674576882764086e-07,5.568693381974299e-07
1976,2.4568166168137395e-07,7.781823683217226e-07
1977,2.6915660100712557e-07,7.704460927016044e-07
1978,2.3465335630135087e-07,5.697027063433779e-07
1979,2.3290853334856365e-07,6.759029247405124e-07
1980,2.4957810751402576e-07,1.0432250974190538e-06
1981,2.5238941248062474e-07,7.166847808548482e-07
1982,2.3091908474270895e-07,7.020685188763309e-07
1983,2.4061353087745374e-07,7.306820748453902e-07
1984,2.5863576524898235e-07,8.234592314693145e-07
1985,2.0332586814220122e-07,4.7522908630526217e-07
1986,2.40978323517993e-07,8.536147220183921e-07
1987,1.9554613572836388e-07,5.689170734513027e-07
1988,1.7689833953227208e-07,5.954577773081837e-07
1989,2.7824779635921004e-07,9.154187523563451e-07
1990,1.9015791963283846e-07,5.873645818610385e-07
1991,2.2859714476908266e-07,7.045481424938771e-07
1992,1.6529833146705641e-07,4.011239411738643e-07
1993,2.2101437480159802e-07,4.913276825391222e-07
1994,3.02253283734899e-07,6.060890882508829e-07
1995,1.892435363970435e-07,4.332538310336531e-07
1996,2.2099702334799076e-07,4.08364059012456e-07
1997,2.138522887662475e-07,3.850300345220603e-07
1998,2.0121505883707869e-07,4.143504384046537e-07
1999,1.8509314259063103e-07,4.3279806050122716e-07
2000,1.780466760692434e-07,3.388630034351081e-07
2001,1.9759265512675483e-07,4.1796761252044234e-07
2002,1.9496435754717822e-07,3.52250197011017e-07
2003,1.754274592258298e-07,4.2419276269356487e-07
2004,1.9865608180680283e-07,3.8145492453622865e-07
2005,1.769973607679276e-07,3.202165999027784e-07
2006,2.2030711477327714e-07,3.8831700521768653e-07
2007,2.0371845721456339e-07,4.090346976681758e-07
2008,1.9158478892222774e-07,4.159518596225098e-07
2009,2.1647593939633225e-07,5.059052341493953e-07
2010,2.4610960736026755e-07,5.470152473208145e-07
2011,2.317326988077184e-07,5.823909532409743e-07
2012,3.0468061140709324e-07,7.421270993290818e-07
2013,3.4083109312632587e-07,8.384109833059483e-07
2014,3.5491646599439264e-07,8.878325274963572e-07
2015,4.424284441029158e-07,8.529382284905296e-07
2016,4.034970402244653e-07,8.573276204515423e-07
2017,2.978483735205373e-07,7.672614401599276e-07
2018,3.9806215568205516e-07,8.841523708724708e-07
2019,4.3979028419016686e-07,7.99989777533483e-07
