year,plusieurs_DET iles_NOUN,plusieurs_DET cils_NOUN
1800,3.772997292372793e-08,0.0
1801,3.5717738544605027e-08,0.0
1802,4.2518962573012686e-08,4.475680270843441e-09
1803,4.8758479920252285e-08,0.0
1804,5.6852570651244605e-08,0.0
1805,4.264316544322355e-08,5.685755422035754e-09
1806,2.881669125542885e-08,0.0
1807,3.9857373401730456e-08,0.0
1808,3.852325791697808e-08,0.0
1809,3.6144488291256494e-08,1.8072244145628247e-08
1810,5.616304221689461e-08,0.0
1811,6.267691565753353e-08,5.0141535368197765e-09
1812,2.1337665856435706e-08,2.6672082320544632e-09
1813,2.0130191291656274e-08,0.0
1814,1.8880061958270744e-08,0.0
1815,6.473336511270134e-08,2.697223555614414e-09
1816,3.7081662185300956e-08,0.0
1817,3.113746771532533e-08,1.0898113522728181e-08
1818,2.2650237685439834e-08,1.4305412854298538e-08
1819,1.7596785029105888e-08,2.070210003424222e-09
1820,5.933240565525466e-08,0.0
1821,2.0709125858608957e-08,3.944595405869222e-08
1822,3.8097340393505874e-08,8.02049271442229e-09
1823,2.8659791428964354e-08,0.0
1824,5.642145595174952e-08,4.210556348027694e-09
1825,5.547428960639422e-08,3.522177216552791e-09
1826,5.7251897223054016e-08,1.5854372037438225e-08
1827,5.253845775099464e-08,1.8434546111834038e-09
1828,4.769596506637441e-08,9.172301140836225e-09
1829,8.144517060770795e-08,1.714635211591542e-09
1830,6.36646975138433e-08,2.0873671680021744e-09
1831,1.8709447990872263e-08,1.5591206103948707e-09
1832,6.764984983309574e-08,1.488296597074168e-08
1833,1.8881314556296047e-07,1.1583628278799551e-08
1834,6.627516691004587e-08,2.0535967593104942e-08
1835,6.277362984974388e-08,4.5378527602224494e-09
1836,3.427582545567631e-08,1.8146025126952736e-08
1837,6.331680624249714e-08,3.478945576063097e-09
1838,7.385229161549489e-08,6.943378316748294e-09
1839,6.571986554959608e-08,8.38977065598101e-09
1840,7.452535866203647e-08,1.2739377552861697e-08
1841,7.961480319451653e-08,1.2841097074556274e-08
1842,4.494537542143462e-08,4.695785538189057e-09
1843,5.670634461996116e-08,2.953455480181333e-09
1844,5.762989474522584e-08,7.1351298203126134e-09
1845,6.361459825576787e-08,3.9061593959388574e-09
1846,5.1519611243833197e-08,1.2879903366069811e-08
1847,5.3932235566378495e-08,4.314578916364553e-09
1848,4.58577624762313e-08,9.65426583121598e-09
1849,4.1897074698482584e-08,0.0
1850,6.856885992334583e-08,4.073397619208663e-09
1851,4.385618246338652e-08,6.449438760824933e-09
1852,4.882909210301989e-08,4.557382027314816e-09
1853,6.808002450675588e-08,5.971931837933653e-09
1854,4.98783807589831e-08,8.313063126763609e-09
1855,4.139410947345823e-08,1.4328730202350926e-08
1856,3.20985731327994e-08,8.28350277259915e-09
1857,2.782460128969433e-08,0.0
1858,2.8383320527236577e-08,9.787352261980686e-09
1859,2.291478007343528e-08,2.036869339860914e-09
1860,2.1512764236675253e-08,1.8308735638683515e-09
1861,2.735258886055192e-08,1.8863854922557266e-09
1862,2.3945328053720516e-08,1.8071945051545413e-09
1863,2.347471755870245e-08,2.4973103585068657e-09
1864,2.397363974004918e-08,4.794728170054441e-09
