year,suis_VERB avant_ADP,suis_VERB savant_ADJ
1800,9.432493897065797e-09,4.087413785214267e-08
1801,1.6668277424969347e-08,2.8574191901498125e-08
1802,4.475680270843441e-09,2.2378401354217203e-09
1803,1.950339267864365e-08,3.900678446910888e-09
1804,1.4831105232815389e-08,7.4155526164076946e-09
1805,1.1371510844071508e-08,1.9900143755080535e-08
1806,0.0,0.0
1807,1.4234775136401367e-08,0.0
1808,2.2660739951163578e-09,1.3596443970698147e-08
1809,6.7770917766551975e-09,4.518061036407062e-09
1810,0.0,7.020380277111826e-09
1811,0.0,1.0028307073639553e-08
1812,8.00162425207418e-09,5.3344164641089264e-09
1813,5.751483289628823e-09,2.0130190847567064e-08
1814,3.1466771410748606e-09,2.8320094713762956e-08
1815,7.552225866902518e-08,8.091670444798638e-09
1816,3.0128852301913867e-08,4.6352077731626196e-09
1817,1.556873407970727e-09,2.490997452753163e-08
1818,7.152706427149269e-09,2.8610825708597076e-08
1819,1.0351049795076506e-08,4.140420006848444e-09
1820,3.085285271708926e-08,2.3732962262101864e-09
1821,9.86148829262845e-10,9.861488514673056e-09
1822,1.0025615893027862e-08,1.5038423839541792e-08
1823,7.906149512848515e-09,1.8777104315859106e-08
1824,1.1789557774477544e-08,2.7789671008804362e-08
1825,2.0252519661312363e-08,1.1447076175841175e-08
1826,2.2019960965735663e-08,2.8185549894033102e-08
1827,9.217273055917019e-10,2.027800150017356e-08
1828,1.6510142586412258e-08,6.420610709767516e-09
1829,6.858540846366168e-09,2.1432940755516938e-08
1830,2.0873671680021744e-09,7.305785310052215e-09
1831,1.5591206548037917e-08,2.182768810143898e-08
1832,8.117981842303834e-09,8.117981842303834e-09
1833,1.0425265983826648e-08,2.3167257001688313e-09
1834,2.8003592777992026e-09,1.9602515166639023e-08
1835,1.5882484660778573e-08,1.663879345414898e-08
1836,2.755507466645213e-08,1.2097349788575684e-08
1837,1.0436836284100082e-08,1.3219993100221927e-08
1838,8.2058102535143e-09,1.2624323808552163e-08
1839,1.2584655095793096e-08,6.292327547896548e-09
1840,1.9109066329292546e-08,9.554533164646273e-09
1841,1.9903700021473014e-08,3.2102742686390684e-09
1842,3.152884531232303e-08,1.2745703159566801e-08
1843,2.7171790151214736e-08,7.088293507706567e-09
1844,2.305195678786731e-08,4.9397050894128824e-09
1845,2.3436957263811564e-08,8.928364714222425e-09
1846,2.2832555401919308e-08,3.5127007969038004e-09
1847,2.0494249852731627e-08,1.4022381478184798e-08
1848,2.091757700384278e-08,8.045221711050488e-10
1849,4.1897072478036534e-09,1.256912263158938e-08
1850,2.9192683825840504e-08,2.0366988096043315e-09
1851,2.644269869733762e-08,9.674158363282004e-09
1852,2.408901877970493e-08,7.812654523320361e-09
1853,2.388772735173461e-08,7.166318205520383e-09
1854,1.558699302961486e-08,1.1950028522278444e-08
1855,4.192480318465641e-08,1.0083180512765466e-08
1856,2.847454005916461e-08,6.73034605824796e-09
1857,1.9037885934380938e-08,1.4156376515472857e-08
1858,2.7893953813418193e-08,9.787352261980686e-09
1859,2.49516496353408e-08,8.147477359443656e-09
1860,1.785101666484934e-08,7.781213007262977e-09
1861,1.4619487842537637e-08,1.0375120318428799e-08
1862,3.3884898442693157e-08,3.162590411776023e-09
1863,4.345320192555846e-08,7.491931519609807e-09
1864,2.8768367243969806e-08,9.109982990196386e-09
1865,3.3418594114209554e-08,2.3534221238463715e-09
1866,3.795178216137174e-08,1.3137154475373336e-08
1867,2.426405742994575e-08,6.308654931785895e-09
1868,3.853101659956337e-08,5.433861360870651e-09
1869,4.248661511496721e-08,5.371870948067681e-09
1870,2.1789386295267832e-08,1.0894693147633916e-08
1871,1.3807530230280918e-08,4.248470908407853e-09
1872,2.660829245826335e-08,3.0236697590169115e-09
1873,1.7958013742713774e-08,9.577607151811662e-09
1874,2.2106053876314036e-08,1.0156835372754358e-08
1875,3.94785359958405e-08,6.865832347102696e-09
1876,2.0556450763820067e-08,4.232210137899983e-09
1877,1.2988113695655557e-08,6.80329748092845e-09
1878,2.1740719446938783e-08,8.4547240319921e-09
1879,2.016077260691418e-08,1.588424503040642e-08
1880,1.6686399817444908e-08,7.059631101924424e-09
1881,2.3009274485730202e-08,2.022027167924989e-08
1882,1.6638463051776853e-08,1.8635077481121698e-08
1883,1.4534479397809719e-08,3.159669414998234e-09
1884,2.0465261485469455e-08,9.242375753615306e-09
1885,2.7716232864349877e-08,7.090199094506033e-09
1886,2.8395241713496944e-08,7.744156427236248e-09
1887,3.133883907935342e-08,3.264462256069578e-09
1888,2.0924028731883482e-08,6.340614699951175e-10
1889,1.8795409673089125e-08,5.6386229019267375e-09
1890,1.7041404731799048e-08,5.898947996740844e-09
1891,1.9122660788184476e-08,6.374220040683554e-10
1892,1.56712811616444e-08,3.761107425503951e-09
1893,1.4164357686752282e-08,2.463366621796581e-09
1894,6.9316934414587195e-09,1.0082462864602348e-08
1895,2.5880042997528108e-08,4.213029924926559e-09
1896,2.0049897742069334e-08,6.486732040400511e-09
1897,2.9133568446582103e-08,5.826713334045053e-09
1898,2.4896761985360172e-08,2.26334195829736e-09
1899,2.04520400615138e-08,1.6582735185011188e-09
1900,2.076421168339948e-08,2.07642125715779e-09
1901,9.500856101851696e-09,3.353243460679778e-09
1902,2.356936334990678e-08,3.437198747846537e-09
1903,1.5660639007819555e-08,1.2420506401156217e-08
1904,6.987012746151322e-09,5.912087708281888e-09
1905,1.3934049469810361e-08,9.805441791854719e-09
1906,1.9033482345776065e-08,9.773950537805831e-09
1907,1.697138252154673e-08,5.65712765521198e-09
1908,1.5225305460830896e-08,4.4202499438483756e-09
1909,3.685659066832159e-08,1.1001967115120692e-09
1910,3.20649036211762e-08,8.01622590529405e-09
1911,2.2877609140437016e-08,3.1922244847493175e-09
1912,3.0735584743979416e-08,2.0837684910901544e-09
1913,4.825720623102825e-08,1.0605979205990934e-08
1914,2.1429579888376793e-08,4.68772043404897e-09
1915,1.8849219074468238e-08,9.424609537234119e-09
1916,8.789969641043172e-09,2.197492410260793e-09
1917,1.5352993543160665e-08,3.289927441585405e-09
1918,1.722956355365568e-08,8.040463406189247e-09
1919,2.4861190439651182e-08,7.366278698128781e-09
1920,1.665890891899835e-08,1.665890891899835e-08
1921,1.6660044011018726e-08,1.5145494858259667e-09
1922,2.1396012073182646e-08,7.377935595798135e-09
1923,2.653987074552333e-08,1.2739137744688378e-08
1924,3.9964035636330664e-08,1.1602462102189293e-08
1925,2.0896537833436923e-08,9.898360353588487e-09
1926,2.8979959765251806e-08,5.57306911730393e-09
1927,2.7873062080630007e-08,5.574612327308159e-09
1928,1.4853853258500749e-08,9.14083297942625e-09
1929,1.6710609784809094e-08,1.1140406375176326e-09
1930,1.05036033204442e-08,5.2518016602221e-09
1931,1.9389105432310316e-08,1.0264820993199919e-08
1932,1.8631212128639163e-08,2.1919073223131136e-09
1933,2.2941325283909464e-08,6.882397318719313e-09
1934,2.995395220750652e-08,3.5944740517379614e-09
1935,2.5133395809007197e-08,2.393656828303392e-09
1936,1.33371855781661e-08,2.424942913137329e-09
1937,2.392312481447334e-08,7.554670666820584e-09
1938,1.8151300906765755e-08,7.779128452511941e-09
1939,2.7529290846928234e-08,3.058810094103137e-09
1940,2.028626333583361e-08,0.0
1941,2.6563522936839945e-08,2.9515025978810172e-09
1942,6.068423541449874e-09,3.034211770724937e-09
1943,4.645176332473966e-08,5.806470415592457e-09
1944,3.534504600111177e-08,2.2492303131116387e-08
1945,2.6142048525912287e-08,8.714016175304096e-09
1946,3.7586982415405146e-08,1.6705325123211878e-08
1947,4.0530959921625254e-08,8.344609447874518e-09
1948,3.8051606310318675e-08,6.523132700664291e-09
1949,2.846932467548413e-08,3.9268033269479474e-09
1950,2.0207187034770868e-08,7.444753258312176e-09
1951,3.1984203729962246e-08,3.1984206394497505e-09
1952,3.1634410646574906e-08,1.0544803918932644e-09
1953,1.723812381726475e-08,4.3095309543161875e-09
1954,3.518113089739927e-08,8.795282724349818e-09
1955,3.0972504561077585e-08,6.569925492527773e-09
1956,3.488456457034772e-08,1.3953826538681824e-08
1957,1.5903067307476704e-08,8.835037590415595e-09
1958,1.5717262158432277e-08,1.2408365002158916e-08
1959,3.410329085795638e-08,3.8753737996444215e-09
1960,4.290916777449638e-08,6.2287499602575735e-09
1961,2.084447814354462e-08,6.25334317660986e-09
1962,2.6002021868976044e-08,8.244543714397423e-09
1963,2.4571003010009917e-08,1.2285501505004959e-08
1964,3.285342842218597e-08,4.258777774879263e-09
1965,2.7907420374617686e-08,1.0944086747954884e-09
1966,1.7171132071780448e-08,7.754704434148607e-09
1967,2.662381248796919e-08,1.1339771788243524e-08
1968,2.919420261093819e-08,8.533690198930799e-09
1969,2.7250546708046386e-08,9.991866889436096e-09
1970,4.0008906410093914e-08,1.1496812390987543e-08
1971,3.7510300643361916e-08,8.221435976452085e-09
1972,1.9494558856081312e-08,4.6171320100540925e-09
1973,3.748978727458052e-08,7.718485406371656e-09
1974,2.700274492895005e-08,5.625571564138454e-09
1975,1.3707552426467373e-08,3.4268881066168433e-09
1976,2.7996280849151844e-08,2.856763492431469e-09
1977,2.52701610747863e-08,5.876781727920388e-09
1978,3.683166482915112e-08,1.7821774056514528e-09
1979,3.6867433550469286e-08,4.681578680276743e-09
1980,2.5014662341504845e-08,3.411090521154847e-09
