year,aurions_VERB eu_VERB,aurions_VERB su_VERB
1800,3.018398047061055e-07,1.8864987794131594e-08
1801,3.405091035801888e-07,7.143547975374531e-09
1802,3.0210841828193225e-07,8.951360541686881e-09
1803,1.794312112224361e-07,2.145373123596528e-08
1804,2.84262853256223e-07,1.4831105232815389e-08
1805,1.5635826855486812e-07,2.2743021688143017e-08
1806,2.1900684998854558e-07,2.881669125542885e-09
1807,1.6512339584551228e-07,3.131650672116848e-08
1808,1.7222161829977267e-07,1.5862518409903714e-08
1809,2.0783080856290326e-07,0.0
1810,2.667744638529257e-07,0.0
1811,1.7298829391165782e-07,7.521229861140455e-09
1812,1.440292436427626e-07,1.600324850414836e-08
1813,4.112310421078291e-07,1.1502966579257645e-08
1814,3.681612383843458e-07,9.440030979135372e-09
1815,2.3196122356239357e-07,2.4275012222574333e-08
1816,3.3605255111979204e-07,1.622322720606917e-08
1817,3.1293154734157724e-07,6.227493631882908e-09
1818,2.6345801984462014e-07,1.7881765401739358e-08
1819,2.598113439944427e-07,1.6561680027393777e-08
1820,2.7411570613367076e-07,8.306536791735653e-09
1821,2.98803087162014e-07,9.861488514673056e-09
1822,2.2858404236103524e-07,1.804610860745015e-08
1823,3.9036612520249037e-07,2.569498569471307e-08
1824,3.772658487832814e-07,1.0105335235266466e-08
1825,1.9283920948964806e-07,1.4969252504215547e-08
1826,1.3388135755576513e-07,2.554315514657901e-08
1827,2.037017310385636e-07,1.013900075008678e-08
1828,3.191960900039703e-07,8.255071293206129e-09
1829,2.417635585061362e-07,1.1145129263923081e-08
1830,2.776198471110547e-07,6.262101504006523e-09
1831,3.9289838582590164e-07,2.494592976631793e-08
1832,2.489514372427948e-07,4.058990921151917e-09
1833,3.822597420821694e-07,1.3900354645102198e-08
1834,2.959046412343014e-07,1.7735608537350345e-08
1835,3.6680975767922064e-07,2.193295500774184e-08
1836,2.795831903767976e-07,1.5457725766054864e-08
1837,2.574419681877771e-07,6.957891152126194e-09
1838,2.4112458163472184e-07,1.3886756633496589e-08
1839,3.334933751375502e-07,2.1673573158409454e-08
1840,2.6497903604649764e-07,1.7835128929277744e-08
1841,3.171751075115026e-07,1.3483152372373297e-08
1842,3.038844056391099e-07,6.037438549100216e-09
1843,2.386392168318707e-07,3.071593823733565e-08
1844,2.0911419085223315e-07,1.0977122322231025e-08
1845,3.0077427481955965e-07,1.562463758375543e-08
1846,2.640380216689664e-07,2.517435504501009e-08
1847,2.9932391498732613e-07,1.5101026207275936e-08
1848,2.9204153406681144e-07,1.850401076808339e-08
1849,3.1590394655722775e-07,2.0948537127196687e-08
1850,2.980369231408986e-07,3.4623880651452055e-08
1851,2.6313711032344145e-07,2.3862924081186065e-08
1852,2.4023913169912703e-07,3.450589147746541e-08
1853,2.645565757575241e-07,1.4332636411040767e-08
1854,3.579812926091108e-07,2.7537021551893304e-08
1855,2.695924194995314e-07,3.02495415382964e-08
1856,2.72320164640405e-07,1.3978411317339123e-08
1857,3.050943178095622e-07,1.513267733344037e-08
1858,3.1221654239743657e-07,3.0830157982109085e-08
1859,3.2182535392166756e-07,2.2405561850291633e-08
1860,3.3001495580720075e-07,3.3871160098897235e-08
1861,3.414357649944577e-07,2.3108222890755314e-08
1862,2.909583258769999e-07,1.1746764450037972e-08
1863,2.6970951694238465e-07,1.5982786649715308e-08
1864,3.893319160397368e-07,9.109982990196386e-09
1865,3.4454100727998593e-07,2.58876440284439e-08
1866,2.559312406447134e-07,3.3572728597164314e-08
1867,3.2028555096985656e-07,9.7056229719783e-09
1868,2.855247203115141e-07,1.1361710683388537e-08
1869,3.594270197027072e-07,1.6115613732381462e-08
1870,2.568853858520015e-07,1.9495765002375265e-08
1871,4.142259228956391e-07,2.7615060460561835e-08
1872,4.6987827317934716e-07,3.205089882385437e-08
1873,3.465896725174389e-07,1.496501056408306e-08
1874,4.110531222067948e-07,3.584765551067903e-08
1875,3.513017645673244e-07,2.0597497041308088e-08
1876,3.403906418952829e-07,2.7207066821688386e-08
1877,2.4430022449450917e-07,1.7317484335421796e-08
1878,2.7296681537336553e-07,3.6234530931267273e-09
1879,3.48842462472021e-07,2.6270098985037293e-08
1880,3.324444435293117e-07,9.626769603698904e-09
1881,2.8657007078436436e-07,1.2550513517339823e-08
1882,2.9882679086767894e-07,3.3276926103553706e-08
1883,2.7362736432223755e-07,1.8326083761621703e-08
1884,3.347060442138172e-07,2.5746619058963915e-08
1885,2.7265039648227685e-07,1.2891271161663553e-08
1886,2.5491181077086367e-07,6.4534639854230136e-09
1887,3.0228920877561904e-07,5.876032105334161e-09
1888,2.808892247685435e-07,1.5851536971922542e-08
1889,2.875697759918694e-07,1.0024218788373673e-08
1890,3.0084635227467516e-07,1.2453334363726754e-08
1891,2.849276370398002e-07,3.059625441892422e-08
1892,2.990080361087166e-07,2.6327752422616868e-08
1893,3.023782539912645e-07,2.155445777418663e-08
1894,2.734868189691042e-07,1.3233232287745977e-08
1895,3.4306103202652594e-07,1.625025980445116e-08
1896,3.2787480108709133e-07,2.299841384001411e-08
1897,3.1930389354783983e-07,2.2724183423861177e-08
1898,3.072486833843868e-07,1.3580051749784161e-08
1899,2.957254423563427e-07,1.9346524382513053e-08
1900,2.553998115217837e-07,3.7894686499839736e-08
1901,3.0402739525925426e-07,1.2854099118442264e-08
1902,2.798861657993257e-07,2.258730624760119e-08
1903,2.4300990730807825e-07,1.83607493653426e-08
1904,2.5959440108636045e-07,5.912087708281888e-09
1905,2.4874859150259e-07,1.4966200723165457e-08
1906,3.168817670484714e-07,2.1091157265118454e-08
1907,2.658850064563012e-07,1.2857108266928208e-08
1908,3.108909254478931e-07,1.4243028090277221e-08
1909,2.75599262522519e-07,1.1552065082298668e-08
1910,2.6026015120805823e-07,5.878565634276356e-09
1911,2.9102446319484443e-07,1.9685383989553884e-08
1912,2.464056194639852e-07,1.6670147928721235e-08
1913,2.8424025799722585e-07,1.590896836489719e-08
1914,3.107289217041398e-07,4.3528835647066444e-08
1915,4.217512810100743e-07,5.890381071793627e-09
1916,4.3620224232654436e-07,3.4061130804730055e-08
1917,3.5969873124486185e-07,2.0836205649743533e-08
1918,3.549290283899609e-07,1.2635013924011673e-08
1919,3.80284149059662e-07,2.5781975665495338e-08
1920,3.369643195583194e-07,3.104614876292544e-08
1921,3.241135857479094e-07,1.1359120755116692e-08
1922,3.430739923260262e-07,1.1066902949607993e-08
1923,3.1104727327146975e-07,8.492758496458919e-09
1924,2.977965323225362e-07,1.2891624656674594e-08
1925,2.8925208539476444e-07,2.4195990988573612e-08
1926,2.5859040420073143e-07,1.671920735191179e-08
1927,2.8542015684251965e-07,8.919379901328739e-09
1928,2.4794508135528304e-07,1.3711249025050165e-08
1929,2.9856289529561764e-07,1.0026365515614089e-08
1930,2.762447763871023e-07,1.1553964007759987e-08
1931,2.600421282750176e-07,7.983749661377715e-09
1932,2.32342173944744e-07,9.863582839386709e-09
1933,2.1564845553712075e-07,3.4411986593596566e-09
1934,2.576039719315304e-07,1.5576054224197833e-08
1935,2.14232287021332e-07,1.0771455727365264e-08
1936,2.2794463916397945e-07,1.576212937948185e-08
1937,2.1530811977754638e-07,8.813782592653752e-09
1938,2.6578689471534744e-07,2.5930428915188486e-09
1939,2.4011660570977256e-07,9.176430282309411e-09
1940,2.4850672275533725e-07,2.5357829613881222e-08
1941,2.0660517918713595e-07,8.854508237732261e-09
1942,2.0936060707299475e-07,1.517105907566929e-08
1943,2.52581457971246e-07,0.0
1944,2.9239993182272883e-07,1.927911696952833e-08
1945,2.9191954808993614e-07,8.714016175304096e-09
1946,2.7006942104890186e-07,1.5313215584455975e-08
1947,2.9206134399828443e-07,1.7881307101674793e-08
1948,2.3918153146951227e-07,8.697510267552389e-09
1949,2.1793758264720964e-07,2.1597418964347526e-08
1950,2.605663667054614e-07,2.8715476219076663e-08
