year,deux_DET yeux_NOUN,deux_DET cieux_NOUN
1800,1.166484995707151e-06,1.2576657937302116e-08
1801,1.673971325999446e-06,0.0
1802,1.1323471369451e-06,0.0
1803,1.924984864842827e-06,0.0
1804,1.2433409821710484e-06,0.0
1805,6.908192631271959e-07,3.1271653710973624e-08
1806,6.282038427229963e-07,0.0
1807,6.491057611412998e-07,2.8469551160981155e-09
1808,7.228775942280663e-07,0.0
1809,1.1362923331148522e-06,0.0
1810,7.933029806395098e-07,0.0
1811,5.56571016829821e-07,0.0
1812,6.267939069992678e-07,0.0
1813,5.463909253933252e-07,1.1502966579257645e-08
1814,3.901879637169259e-07,0.0
1815,3.80308513125982e-07,1.8880564667256294e-08
1816,1.1495315490606117e-06,0.0
1817,1.558430271941802e-06,0.0
1818,1.4114673660969856e-06,2.026600220972341e-08
1819,1.6251148053925135e-06,1.035105001712111e-09
1820,5.304317092225119e-07,7.119888678630559e-09
1821,7.938498018944529e-07,4.930744257336528e-09
1822,6.576804167934824e-07,1.0025615893027862e-09
1823,7.046355960937944e-07,2.9648061783404955e-09
1824,6.122148938914052e-07,8.421112696055388e-10
1825,9.93253998160526e-07,0.0
1826,7.847914247349763e-07,1.5854372037438225e-08
1827,7.465991185284793e-07,4.608636583469661e-09
1828,6.604056608239262e-07,0.0
1829,1.3279850143987915e-06,0.0
1830,8.182479191987113e-07,2.0873671680021744e-09
1831,8.466025072095817e-07,1.091384405071949e-08
1832,1.3502909368412475e-06,2.705993873419743e-09
1833,8.780390228224633e-07,4.6334514003376626e-09
1834,9.315861575487361e-07,1.120143711119681e-08
1835,6.708459210358342e-07,5.294161553592858e-09
1836,9.241031442286385e-07,4.704525213838906e-09
1837,9.059173891046157e-07,2.7831563720326358e-09
1838,9.253629258410001e-07,3.787297142565649e-09
1839,8.571548448799149e-07,2.0974426639952526e-09
1840,7.235966101859503e-07,7.64362617644565e-09
1841,5.29695270756747e-07,0.0
1842,6.044146800832095e-07,7.379091560011375e-09
1843,7.300942233001706e-07,0.0
1844,6.53687643570322e-07,3.2931368743049916e-09
1845,6.26101570588844e-07,2.7901139176833567e-09
1846,7.523034408762896e-07,5.854501328173001e-10
1847,4.217500899628135e-07,5.3932236454556914e-09
1848,4.786906921960821e-07,4.02261068899179e-09
1849,5.404722855928412e-07,9.217356655710773e-09
1850,6.958720817351605e-07,0.0
1851,5.262741797906756e-07,6.449438760824933e-10
1852,6.491013921916533e-07,1.2370036550635177e-08
1853,5.995819503112898e-07,1.0749477752369785e-08
1854,4.95146824874837e-07,1.0910895298366086e-08
1855,6.920246278241393e-07,1.4328730202350926e-08
1856,5.679376684497583e-07,7.765783571755946e-09
1857,7.288092831458926e-07,3.4170564155999728e-09
1858,6.464546000728433e-07,0.0
1859,5.336597901361984e-07,5.092173349652285e-10
1860,7.062594917783827e-07,6.408057640072684e-09
1861,6.456154384437696e-07,2.8295783494058924e-09
1862,6.397468812480156e-07,7.680577063240435e-09
1863,7.312125065439545e-07,4.994620828036034e-10
1864,6.779745485019362e-07,4.794727948009836e-10
1865,8.495854153522941e-07,1.2708479601997169e-08
1866,7.011348301944054e-07,1.4596839292835284e-09
1867,7.720822807755212e-07,2.91168689159349e-09
1868,6.821966245240674e-07,5.433861360870651e-09
1869,6.421827585256779e-07,1.4650557433881772e-09
1870,9.208882190137047e-07,7.454262984651905e-09
1871,5.820405242218385e-07,3.18635318130589e-09
1872,5.678451735491308e-07,6.047339295989218e-10
1873,6.518759114726436e-07,9.577607151811662e-09
1874,6.434654018505626e-07,3.5847653734322193e-09
1875,7.63251740920623e-07,2.2886108563824337e-09
1876,1.616099709167429e-06,1.5115036333668286e-08
1877,8.089739083061431e-07,3.710889595609501e-09
1878,6.944952222198708e-07,6.039088673581716e-10
