year,plusieurs_DET ombres_NOUN
1800,6.288328968651058e-09
1801,0.0
1802,1.3427040812530322e-08
1803,2.7304748684287006e-08
1804,2.4718509461507665e-09
1805,4.8328921309348516e-08
1806,7.492339904047185e-08
1807,1.7081731584767113e-08
1808,2.2660739951163578e-09
1809,4.518061036407062e-09
1810,2.106114127542469e-08
1811,1.0028307073639553e-08
1812,2.6672082320544632e-09
1813,4.3136124450171565e-08
1814,2.2026739543434815e-08
1815,1.0788894222457657e-08
1816,0.0
1817,1.556873407970727e-09
1818,0.0
1819,3.1053151161586356e-09
1820,1.1866481131050932e-09
1821,6.903041582795311e-09
1822,3.0076847679083585e-09
1823,1.8777104759948315e-08
1824,8.421112696055388e-09
1825,8.805443041381977e-10
1826,1.7615968683770689e-09
1827,8.295545750325317e-09
1828,2.7516903755575584e-09
1829,1.714635211591542e-09
1830,2.0873671680021744e-09
1831,1.870944643656003e-08
1832,2.705993873419743e-09
1833,8.108539617524002e-09
1834,5.600718555598405e-09
1835,4.5378527602224494e-09
1836,2.688300027031687e-09
1837,2.7831563720326358e-09
1838,6.312161904276081e-09
1839,1.0487212986909356e-08
1840,1.2739377330817092e-09
1841,3.2102742686390684e-09
1842,2.0124795163667386e-09
1843,7.678984614845064e-09
1844,4.9397050894128824e-09
1845,5.022205318283568e-09
1846,2.9272506640865004e-09
1847,6.47186837454683e-09
1848,3.218088684420195e-09
1849,1.6758829879393033e-09
1850,2.7155984128057753e-09
1851,0.0
1852,2.6042181744401205e-09
1853,1.0749477752369785e-08
1854,5.7152309551611324e-09
1855,8.491099379170919e-09
1856,4.659470143053568e-09
1857,2.0014186974393056e-08
1858,6.851146261421803e-09
1859,1.0693564478359008e-08
1860,5.034902272882391e-09
1861,5.187560159214399e-09
1862,5.873382280530137e-09
1863,6.493007020935693e-09
1864,3.3563096746291876e-09
1865,2.3534221238463715e-09
1866,2.919367858567057e-09
1867,1.1161466417775046e-08
1868,9.87974813071446e-10
1869,1.1720445947105418e-08
1870,6.880858549607183e-09
1871,2.1242354542039266e-09
1872,3.628403577593531e-09
1873,1.0774807712721213e-08
1874,8.364453130127458e-09
1875,1.1443054281912168e-09
1876,1.2092029377797076e-08
1877,1.2369631985365004e-09
1878,3.6234530931267273e-09
1879,4.276527687530063e-09
1880,5.134277003548959e-09
1881,1.3945015142624584e-09
1882,7.320923423037584e-09
1883,6.319338829996468e-09
1884,0.0
1885,3.2228177904158883e-09
1886,1.9360391623202133e-09
1887,2.6115699047757346e-09
1888,1.268122939990235e-09
1889,3.132568426877924e-09
1890,3.932631831293776e-09
1891,5.099376032546843e-09
1892,3.761107425503951e-09
1893,1.847525021858587e-09
1894,4.411077725308132e-09
1895,5.416753268150387e-09
1896,5.897029087265082e-09
1897,4.07869948926276e-09
1898,1.2448380992680086e-08
1899,2.2110313580014918e-09
1900,4.15284251431558e-09
1901,2.794369458047896e-09
1902,3.928227076954727e-09
1903,1.6200660812870638e-09
1904,1.6123875568041512e-09
1905,2.0643036169332163e-09
1906,1.5432553013283723e-09
1907,7.71426478252124e-09
1908,9.822778146428846e-09
1909,2.2003934230241384e-09
1910,6.412980813053082e-09
1911,5.3203743632934675e-09
1912,6.251305584292766e-09
1913,1.27271754801761e-08
1914,9.375441145653696e-09
1915,0.0
1916,1.7579939282086343e-08
1917,1.4256352209862655e-08
1918,9.189101035644853e-09
1919,7.366278698128781e-09
1920,0.0
1921,3.0290989716519334e-09
1922,5.1645547283207804e-09
1923,8.492758496458919e-09
1924,0.0
1925,2.1996355847875293e-09
1926,1.1146138456652466e-09
1927,6.689535148041159e-09
1928,2.2852082448565625e-09
1929,2.2280812750352652e-09
1930,4.201441416995522e-09
1931,9.124285327288817e-09
1932,4.383814644626227e-09
1933,1.3764794637438627e-08
1934,7.188948103475923e-09
1935,3.590485242455088e-09
1936,6.0623572828433225e-09
1937,1.0072894518486919e-08
1938,5.186085783037697e-09
1939,7.647025235257843e-09
1940,7.607348528892999e-09
1941,0.0
1942,0.0
1943,2.9032352077962287e-09
1944,6.4263723231761105e-09
1945,2.178504043826024e-09
1946,5.568441707737293e-09
1947,9.536696765621855e-09
1948,2.174377566888097e-09
1949,2.945102384188658e-09
1950,4.2541445921528975e-09
1951,6.396840945832594e-09
1952,8.435843024123812e-09
1953,3.232148326759443e-09
1954,4.886268056836229e-09
1955,2.815682353940474e-09
1956,4.36057079333807e-09
1957,4.4175189062301e-09
1958,1.1581140713090576e-08
1959,9.300897385600138e-09
1960,4.152499955001332e-09
1961,8.33779090214648e-09
1962,3.805173787174709e-09
1963,1.939815863494232e-09
1964,1.2167936658258327e-09
1965,6.019247711375186e-09
1966,3.323444963676536e-09
1967,9.367637221480152e-09
1968,6.737123747768692e-09
1969,7.266812374062681e-09
1970,4.138852510715552e-09
1971,4.1107179882260425e-09
1972,1.5390440033513642e-09
1973,3.859242703185828e-09
1974,2.250228725575454e-09
1975,4.569184142155791e-09
1976,1.7140580621521906e-09
1977,2.3507127355770763e-09
1978,5.940591241149207e-09
1979,1.2289144035726451e-08
1980,3.4110904101325445e-09
1981,5.0604397339171214e-09
1982,5.586752171993226e-09
1983,6.946847541655643e-09
1984,2.319603453759811e-09
1985,3.0077789148208467e-09
1986,6.593933843390687e-09
1987,6.721898426764739e-09
1988,4.797243047249822e-09
1989,4.390497854167563e-09
1990,4.903785877363731e-09
1991,2.930732601047481e-09
1992,6.0609386398624565e-09
1993,3.323524400133948e-09
1994,8.439882459576609e-09
1995,2.7112254108452305e-09
1996,3.2028553142993132e-09
1997,6.233362936924891e-09
1998,4.291316413329582e-09
1999,7.312321886887574e-09
2000,6.627047133278552e-09
2001,3.5049695090716426e-09
2002,3.9430991805033955e-09
2003,3.3335384452826133e-09
2004,7.047665923076707e-09
