year,ses_DET eaux_NOUN,ses_DET sots_NOUN
1800,7.29131750176748e-06,4.7162465932615305e-08
1801,6.350613830363727e-06,2.3811825844433088e-09
1802,9.786074770090636e-06,8.951360541686881e-09
1803,7.477600348693159e-06,1.9503391568420625e-08
1804,9.55370396127364e-06,4.69651695311768e-08
1805,6.604005093890919e-06,2.842877755426798e-08
1806,6.0025169261734845e-06,3.45800286183362e-08
1807,7.222724946132075e-06,2.8469550272802735e-08
1808,6.415255626279759e-06,1.8128592405020072e-08
1809,6.250737442314858e-06,1.581321384946932e-08
1810,6.056247940477988e-06,6.552355102940055e-08
1811,6.232593023014488e-06,5.0141535368197765e-09
1812,7.428174882306848e-06,4.800974906515876e-08
1813,6.306501518338337e-06,3.738464116054274e-08
1814,5.210897285223837e-06,6.293354282149721e-09
1815,4.34252993386508e-06,1.3486118000116676e-08
1816,5.0037069598829476e-06,3.244645441213834e-08
1817,4.376371066427964e-06,4.0478710161551135e-08
1818,5.666135464821309e-06,2.1458118837358597e-08
1819,4.332949657737117e-06,3.001804671498576e-08
1820,5.325676738721086e-06,4.034603762193001e-08
1821,4.665470214604284e-06,3.8459806006585495e-08
1822,5.791798173504503e-06,2.90742860897808e-08
1823,4.699217583947757e-06,2.8659792761231984e-08
1824,4.559190628583565e-06,1.8526447931321854e-08
1825,5.242760593660023e-06,2.289415235168235e-08
1826,6.053727787502794e-06,9.688783109140786e-09
1827,4.123807855194173e-06,3.6869092667757286e-08
1828,4.8539817782966566e-06,2.2930752408001354e-08
1829,5.31022510585899e-06,3.429270423183084e-09
1830,5.133879398044883e-06,3.1310507520032616e-09
1831,5.466277002597053e-06,1.7150327380477393e-08
1832,5.0480313689149625e-06,1.894195655882669e-08
1833,7.221234170629032e-06,5.096796695802652e-08
1834,5.709932622721681e-06,1.9602515166639023e-08
1835,5.971057817077963e-06,1.5126175867408165e-08
1836,5.223366983386768e-06,1.4113575197427508e-08
1837,5.070911015536694e-06,6.262101948095733e-09
1838,5.344507485460781e-06,1.64116205070286e-08
1839,4.167618499195669e-06,1.1885507689157748e-08
1840,4.895742691246596e-06,2.293087852933695e-08
1841,4.443019719246877e-06,7.704658244733764e-09
1842,4.607236263609593e-06,1.2074877098200432e-08
1843,4.280147635427056e-06,7.088293174639659e-09
1844,3.849127978128308e-06,4.390849017710252e-09
1845,4.2560396451563065e-06,1.1718478631905782e-08
1846,4.042533049641861e-06,1.1123552745573306e-08
1847,3.7757957898065797e-06,1.0786447290911383e-09
1848,4.015369981402728e-06,6.43617736884039e-09
1849,3.980222174959636e-06,9.217356655710773e-09
1850,3.942370099707659e-06,1.0862393651223101e-08
1851,4.119901419130656e-06,7.094382858952031e-09
1852,4.3275595658087695e-06,7.812654523320361e-09
1853,4.1289937087185535e-06,8.957897534855874e-09
1854,4.1461400144271465e-06,6.754363734984281e-09
1855,4.2359970109373535e-06,9.021793090369101e-09
1856,4.155729655508367e-06,1.9155599773057475e-08
1857,4.142448688071454e-06,2.2943092758964667e-08
1858,3.978558709150093e-06,1.0276719919488642e-08
1859,4.140446108635842e-06,2.0877910955618972e-08
1860,3.826067924705967e-06,1.4189269759157241e-08
1861,4.2778507634011476e-06,8.017138064531082e-09
1862,4.4524755082875345e-06,7.228778020618165e-09
1863,3.770439263917069e-06,2.7969877081091e-08
1864,4.161344378417198e-06,1.0548401263577034e-08
1865,3.77018224639869e-06,6.589582213223366e-09
1866,3.763064995609966e-06,1.4596838404656864e-08
1867,3.5808896683420244e-06,1.94112459439566e-08
1868,3.7473885186045663e-06,2.1241458370013788e-08
1869,3.711474647616342e-06,7.325278605918584e-09
1870,3.5453623326020534e-06,9.17447806614291e-09
1871,3.5092370609390855e-06,1.274541228113435e-08
1872,3.4149324648069523e-06,9.675742651538144e-09
1873,3.577834775114752e-06,8.979006871356887e-09
1874,3.416281614931904e-06,1.6728906260254917e-08
1875,3.694962131817192e-06,8.58229043387837e-09
1876,4.102220998447592e-06,1.571963781366037e-08
1877,4.404207629704615e-06,3.401648740464225e-08
1878,3.4531508958934864e-06,1.7513357875031943e-08
1879,3.714469713145263e-06,1.710611030603104e-08
1880,3.897558059406947e-06,1.4761046385203258e-08
1881,4.195357604430683e-06,1.8128519130300447e-08
1882,3.5526445998357303e-06,7.986462158271479e-09
1883,3.6816469730638346e-06,6.319338829996468e-09
1884,3.677145201663734e-06,1.5844072720483382e-08
1885,3.5670148719191275e-06,1.4824961813708626e-08
1886,3.4713181236156743e-06,1.355227396970804e-08
1887,3.410710263551664e-06,1.1752064321690625e-08
1888,3.1373361650821607e-06,7.60873763994141e-09
1889,3.5454407765200813e-06,1.7542383545787743e-08
1890,3.3938612631345677e-06,1.3764211992395303e-08
1891,2.7708734151588033e-06,8.286486163910922e-09
1892,3.497203081792577e-06,5.014809900671935e-09
1893,3.103226063672082e-06,3.079208221734575e-09
1894,3.398420233224897e-06,3.150769645188234e-09
1895,3.113429173140503e-06,1.9259566386153892e-08
1896,3.1112725480397785e-06,1.47425724961181e-08
1897,2.7851690589386635e-06,2.9133566670225264e-09
1898,2.899906910158734e-06,3.960848538042683e-09
1899,2.7765027112991447e-06,7.738609753005221e-09
1900,2.951113614813039e-06,2.595526460424935e-09
1901,2.8262253195521225e-06,1.0059729937950124e-08
1902,2.4242071816615862e-06,7.856454153909453e-09
1903,3.0840658098441054e-06,1.1880484152015924e-08
1904,2.8206032425259764e-06,0.0
1905,2.8337727684402125e-06,8.773290538499623e-09
1906,2.9260121863217137e-06,5.144184411776109e-09
1907,2.5642215888410647e-06,1.4399961223432456e-08
1908,2.8972284695782946e-06,1.1296195090437777e-08
1909,2.320314870019047e-06,1.1552065082298668e-08
1910,2.7249824228192665e-06,8.550640973048473e-09
1911,2.569208696456826e-06,1.2236860413850081e-08
1912,2.618776001384049e-06,1.82329742415277e-08
1913,2.3577093415383388e-06,4.242391771214216e-09
1914,2.5983365787851653e-06,1.2723812781167965e-08
1915,2.2100709529127016e-06,3.534228465440492e-09
1916,2.2831945756252026e-06,0.0
1917,2.443319353062634e-06,2.1932848870420685e-09
1918,2.103155537724888e-06,0.0
1919,2.2982788436820556e-06,7.366278698128781e-09
1920,2.448859746095877e-06,1.4387240288016301e-08
1921,2.3513379758810515e-06,6.815472630705699e-09
1922,2.1145162705238363e-06,1.475587119159627e-08
1923,2.1221280803729314e-06,6.369568872344189e-09
1924,2.1902869633549926e-06,1.1602462102189293e-08
1925,2.725348473120448e-06,6.598906754362588e-09
1926,1.9550327365891462e-06,1.671920735191179e-08
1927,2.1863631118890225e-06,2.2298449309232637e-08
1928,2.4554561974809985e-06,1.1426041446327417e-08
1929,2.4709420358703937e-06,1.0026365737658693e-08
1930,2.214159593449949e-06,1.575540586884472e-08
1931,2.197812243309727e-06,1.0264820993199919e-08
1932,2.552476132677839e-06,6.575722188983946e-09
1933,1.956894983834445e-06,4.588264879146209e-09
1934,2.2213849817376286e-06,4.7926320689839486e-09
1935,2.008278102039185e-06,2.6330225111337313e-08
1936,2.0769636392969915e-06,3.6374143697059935e-09
1937,1.9440685932181623e-06,0.0
1938,2.1094404232258057e-06,1.2965214457594243e-09
1939,1.858227179241112e-06,4.588215141154706e-09
1940,2.0260905699842624e-06,2.5357829169792012e-09
1941,1.7000654892740386e-06,0.0
1942,1.8387323379442932e-06,1.8205270180260413e-08
1943,1.6577472834455875e-06,2.0322646676618206e-08
1944,1.783318339221296e-06,0.0
1945,1.8735134901248784e-06,2.178504043826024e-09
1946,1.7234327032156216e-06,4.1763312808029696e-09
1947,1.5330240614730428e-06,7.152522574216391e-09
1948,1.5677261941959841e-06,4.348755133776194e-09
1949,1.8554145384541698e-06,6.8719057111366055e-09
1950,1.976050256757844e-06,4.2541445921528975e-09
1951,1.6365252193395463e-06,5.330700769690111e-09
1952,1.5732847913341175e-06,1.5817205323287453e-08
1953,1.616074058574668e-06,9.69644453618912e-09
1954,1.5655602823017034e-06,1.9545072227344917e-09
1955,1.4294280532567427e-06,3.754243138587299e-09
1956,1.5654448972668433e-06,1.657016923672927e-08
1957,1.4162565378228464e-06,9.718541527092839e-09
1958,1.6072968875846527e-06,9.926692190465047e-09
1959,1.2881742819104147e-06,1.55014957536892e-08
1960,1.353022931027681e-06,1.4533749814749086e-08
1961,1.3423843441273675e-06,9.727423089245235e-09
1962,1.3108823324614605e-06,1.0147130247162295e-08
1963,1.252474504553902e-06,9.052474325699222e-09
1964,1.482663080309976e-06,1.520992043424485e-08
