year,autres_ADJ ailes_NOUN,autres_ADJ selles_NOUN
1800,2.515331631869344e-08,0.0
1801,3.095537337571841e-08,0.0
1802,2.0140561218795483e-08,4.475680270843441e-09
1803,5.26591594773862e-08,1.950339223455444e-09
1804,1.730295728918918e-08,0.0
1805,1.7057265822018053e-08,2.842877711017877e-09
1806,2.881669125542885e-08,2.881669125542885e-09
1807,8.540865792383556e-09,2.8469551160981155e-09
1808,0.0,0.0
1809,0.0,2.259030518203531e-09
1810,7.020380277111826e-09,2.3401267590372754e-09
1811,3.259199843341776e-08,1.0028307073639553e-08
1812,8.00162425207418e-09,1.0668832928217853e-08
1813,1.1502966579257645e-08,2.8757416448144113e-09
1814,5.349351184236184e-08,5.97868634599763e-08
1815,1.3486118000116676e-08,1.6183340889597275e-08
1816,3.476405652236281e-08,0.0
1817,2.80237220096069e-08,1.2454987263765815e-08
1818,3.695565098382758e-08,1.3113295338484932e-08
1819,2.3807414706311647e-08,5.175524897538253e-09
1820,1.0679833017945839e-08,3.5599443393152796e-09
1821,2.6626018723163725e-08,0.0
1822,8.02049271442229e-09,0.0
1823,3.063632902922109e-08,7.906149512848515e-09
1824,2.3579115548955087e-08,0.0
1825,1.584979791857677e-08,5.283265824829186e-09
1826,3.787433300317389e-08,1.145037931138404e-08
1827,1.3825909306319772e-08,9.217273055917019e-10
1828,1.559291185060374e-08,9.172301251858528e-10
1829,5.143905745796928e-09,8.573175946935407e-09
1830,3.5485243188304594e-08,1.982998831806526e-08
1831,2.3386808933878456e-08,1.4032085715598441e-08
1832,1.488296597074168e-08,1.7588959622116818e-08
1833,3.01174338801502e-08,6.950177322551099e-09
1834,7.467624740797874e-09,9.334531370086552e-09
1835,2.8739734148075513e-08,4.5378527602224494e-09
1836,3.360374944971767e-08,2.688300027031687e-09
1837,1.948209416013924e-08,0.0
1838,2.7142295522253335e-08,0.0
1839,3.8453112694014635e-08,1.11863602825224e-08
1840,1.7198159341091923e-08,3.05745047057826e-08
1841,4.55858959469424e-08,1.7977535904378783e-08
1842,2.683306021822318e-08,2.6162233268678392e-08
1843,5.847842032835615e-08,9.451057714215949e-09
1844,2.4698525891153622e-08,6.037417232818143e-09
1845,1.562463758375543e-08,7.254296274794569e-09
1846,1.3465353276842507e-08,1.1709002656346001e-08
1847,2.480882876909618e-08,9.707802561820245e-09
1848,9.65426583121598e-09,2.333114323960217e-08
1849,3.351765798242923e-08,1.6758828991214614e-08
1850,1.2220192857625989e-08,4.752297222410107e-09
1851,1.2253933867611977e-08,5.8044946626978344e-09
1852,2.018269107395554e-08,2.3437962681782665e-08
1853,4.478948767427937e-08,1.4929829816878737e-08
1854,2.3900057044556888e-08,9.352196350675968e-09
1855,3.449509122788186e-08,8.491099379170919e-09
1856,4.659470143053568e-09,5.694908100650764e-09
1857,2.0502337605421417e-08,4.393358121745905e-09
1858,2.495774786837046e-08,3.9149408159744326e-09
1859,2.6988518087023294e-08,6.619825576592575e-09
1860,1.9224172476128842e-08,9.612086238064421e-09
1861,8.960331143725853e-09,2.2165028923382124e-08
1862,1.400575744270327e-08,7.228778020618165e-09
1863,1.6981710260211003e-08,5.9935452156878455e-09
1864,3.068625886726295e-08,6.233146443435089e-09
1865,2.165148416111151e-08,2.3534221238463715e-09
1866,1.8489329178805747e-08,4.865612912574591e-10
1867,3.882249366427004e-08,1.0190904120577216e-08
1868,3.309715523869272e-08,4.93987406535723e-10
1869,1.6115613732381462e-08,5.860222973552709e-09
1870,2.8670243512607385e-08,2.2936195165357276e-09
1871,1.5931766128574054e-08,8.496941816815706e-09
1872,7.861540751719076e-09,2.4189357183956872e-09
1873,1.0774807712721213e-08,4.788803575905831e-09
1874,3.1665429389704514e-08,2.3898436563030145e-09
1875,1.7736734747586524e-08,6.293679799540541e-09
1876,1.6928840551599933e-08,9.069021977836655e-09
1877,3.5253449937044934e-08,6.184815992682502e-10
1878,2.0532901601200138e-08,6.6429977074733415e-09
1879,1.2829582729523281e-08,7.331190321480108e-09
1880,1.8611753915820373e-08,5.776061406947974e-09
1881,1.9523021421719022e-08,1.324776466304911e-08
1882,3.660461800336634e-08,1.0648616211028639e-08
1883,8.847074184359371e-09,1.2638677882037541e-09
1884,1.2543224237049344e-08,6.601696966868076e-10
1885,2.0626034213933053e-08,7.090199094506033e-09
1886,2.2587123282846733e-08,5.808117542471791e-09
1887,2.546280519766242e-08,7.1818169189441505e-09
1888,1.2047167707862627e-08,3.804368819970705e-09
1889,2.6313573542324775e-08,8.771191772893872e-09
1890,9.176140736144589e-09,1.1797895993481688e-08
1891,2.42220359325529e-08,5.736798147637501e-09
1892,1.1910173958185055e-08,1.6924984080901595e-08
1893,2.0322774629821794e-08,8.621783287310336e-09
1894,2.9617234886814003e-08,1.6384001710889606e-08
1895,1.5046536461227333e-08,2.4074457982692365e-09
1896,5.307326134129653e-09,5.89702897624278e-10
1897,1.5732126712464378e-08,1.631479840114025e-08
1898,1.1316709347397591e-08,1.6975064687230201e-09
1899,3.0954439012020885e-08,8.291367592505594e-09
1900,8.30568502863116e-09,4.671947717582725e-09
1901,2.5708198236884527e-08,3.912117296778206e-09
