year,pouvons_VERB aider_VERB,pouvons_VERB céder_VERB
1800,9.432493897065797e-09,6.288328968651058e-09
1801,4.7623651688866175e-09,2.3811825844433088e-09
1802,0.0,0.0
1803,0.0,0.0
1804,1.2359254952798437e-08,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,8.645007376628655e-09
1807,0.0,2.2775640928784924e-08
1808,0.0,0.0
1809,0.0,4.518061036407062e-09
1810,0.0,1.1700633351097167e-08
1811,0.0,2.5070767684098882e-09
1812,0.0,0.0
1813,0.0,1.4378708002027452e-08
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,0.0,6.952811659743929e-09
1817,0.0,0.0
1818,1.1921177378582115e-09,0.0
1819,2.070210003424222e-09,1.035105001712111e-09
1820,0.0,7.119888678630559e-09
1821,0.0,0.0
1822,1.0025615893027862e-09,7.017931125119503e-09
1823,2.9648060007048116e-08,6.917880934764753e-09
1824,1.9368560089105813e-08,1.3473780313688621e-08
1825,3.522177216552791e-09,8.805443041381977e-10
1826,1.7615968683770689e-09,6.1655889282974385e-09
1827,0.0,0.0
1828,0.0,5.503380862137419e-09
1829,8.57317605795771e-10,2.571952872898464e-09
1830,0.0,1.2524203008013046e-08
1831,1.091384405071949e-08,1.5591206103948707e-09
1832,0.0,2.705993873419743e-09
1833,2.3167257001688313e-09,4.6334514003376626e-09
1834,0.0,0.0
1835,6.050470346963266e-09,6.806779140333674e-09
1836,1.5457725766054864e-08,4.032449929525228e-09
1837,4.174734336004349e-09,1.3915781860163179e-09
1838,8.2058102535143e-09,6.943378316748294e-09
1839,1.3982949909063791e-08,1.957613093850341e-08
1840,3.821813088222825e-09,2.5478754661634184e-09
1841,5.1364388298225094e-09,3.852329122366882e-09
1842,6.037438549100216e-09,2.0124794275488966e-08
1843,2.953455480181333e-09,1.063243981747064e-08
1844,1.0977122322231025e-08,6.586273748609983e-09
1845,5.580227835366713e-09,1.0044410636567136e-08
1846,4.0981511517657054e-09,5.269050973311096e-09
1847,5.9325460100012606e-09,2.7505439703645607e-08
1848,5.63165514222419e-09,8.84974404868899e-09
1849,0.0,6.703531951757213e-09
1850,3.394498016007219e-09,6.788996032014438e-10
1851,1.2898877521649865e-09,6.449438760824933e-09
1852,5.859490670445666e-09,5.859490670445666e-09
1853,1.7915795513800958e-09,5.971931837933653e-10
1854,1.2989160858012383e-08,4.1565315633818045e-09
1855,5.306937111981824e-09,1.0613874223963649e-08
1856,2.0708756931497874e-09,6.73034605824796e-09
1857,2.9289055625270066e-09,0.0
1858,4.893676019968041e-10,3.9149408159744326e-09
1859,6.110608019582742e-09,1.2221216039165483e-08
1860,2.746310290291376e-09,1.9224172476128842e-08
1861,7.073945429425521e-09,9.903524222920623e-09
1862,9.035972525772706e-10,9.939570055905733e-09
1863,3.995696662428827e-09,1.3485475847119233e-08
1864,1.9178911792039344e-09,5.274200631788517e-09
1865,3.294791106611683e-09,5.6482134525026595e-09
1866,1.216403244796993e-08,9.731225825149181e-10
1867,2.91168689159349e-09,1.94112459439566e-09
1868,8.397785578040384e-09,5.9278488784286765e-09
1869,6.8369265804335555e-09,2.2952539424636598e-08
1870,7.454262984651905e-09,7.454262984651905e-09
1871,2.442870794538976e-08,1.274541272522356e-08
1872,1.69325495846806e-08,1.2094679036067646e-08
1873,1.1373408881354408e-08,2.3944017879529156e-09
1874,9.559374625212058e-09,2.9873046258899194e-09
1875,7.437985338754061e-09,1.602027666081085e-08
1876,1.813804439976252e-09,1.1487427897804992e-08
1877,2.4739263970730008e-09,1.2369632429454214e-08
1878,4.22736201599605e-09,7.2469061862534545e-09
1879,5.498392852132383e-09,6.720257683667796e-09
1880,5.776061406947974e-09,6.417846254436199e-10
1881,4.183504653809678e-09,2.7890030285249168e-09
1882,1.9966155395678697e-09,1.3310770263785798e-08
1883,7.58320695126713e-09,7.58320695126713e-09
1884,3.9610181801208455e-09,4.621187876807653e-09
1885,7.7347630522695e-09,3.86738152613475e-09
1886,8.38950331427668e-09,5.162771099520569e-09
1887,1.3057849246322917e-09,1.3057849246322917e-09
1888,1.0779045211961602e-08,5.706553452000662e-09
1889,7.51816386923565e-09,3.759081934617825e-09
1890,5.898947996740844e-09,1.1797895993481688e-08
1891,3.824531802365527e-09,1.5935549768641977e-08
1892,1.002961980134387e-08,2.5074049503359674e-09
1893,6.15841644346915e-09,6.15841644346915e-09
1894,3.150769645188234e-09,5.041231432301174e-09
1895,7.824199066419624e-09,4.814891596538473e-09
1896,0.0,6.486732040400511e-09
1897,8.157399200570126e-09,3.4960281336537946e-09
1898,6.7900258748920805e-09,1.6975064687230201e-09
1899,1.0502398950507086e-08,1.6582735185011188e-09
1900,7.26747462209687e-09,8.30568502863116e-09
1901,7.265360757457984e-09,6.147612641171918e-09
1902,8.347482705062248e-09,2.455141867585553e-09
1903,1.83607493653426e-08,5.940242076007962e-09
1904,1.9886112312406112e-08,2.203596238814498e-08
1905,3.6125313851442797e-09,1.0321517862621477e-08
1906,4.115347618238729e-09,9.259531807970234e-09
1907,9.771402353919711e-09,1.1828539925318182e-08
1908,3.437972351250096e-09,3.437972351250096e-09
1909,1.265226234892225e-08,2.7504918342913243e-09
1910,1.7101282168141552e-08,6.412980813053082e-09
1911,5.852411444351446e-09,9.044636151145369e-09
1912,8.335073964360618e-09,3.646594803896619e-09
1913,1.6439267724877027e-08,5.302989602995467e-09
1914,7.366418142140674e-09,3.3483718020477227e-09
1915,1.4136913861761968e-08,2.4739600590351074e-08
1916,3.84561182897869e-08,6.592477230782379e-09
1917,1.864292187292449e-08,2.1932848870420685e-09
1918,4.594550517822427e-09,8.040463406189247e-09
1919,8.287063479883727e-09,1.012863304339362e-08
1920,1.514446346106979e-08,5.300562211374427e-09
1921,1.2873671018098776e-08,1.060184651180407e-08
1922,1.8444838545406128e-08,5.164555005876537e-09
1923,9.554353752605493e-09,7.431163684401554e-09
1924,2.707241186783449e-08,1.5469948877466777e-08
1925,1.3197813508725176e-08,1.0998177923937646e-09
1926,8.916910765321973e-09,3.343841648018042e-09
1927,3.3447675740205796e-09,1.7838759802657478e-08
1928,1.5996457491951332e-08,1.7139061725401916e-08
1929,1.2254447234738564e-08,1.2254447234738564e-08
1930,2.100720708497761e-09,6.302162347537887e-09
1931,4.5621426636444085e-09,1.3686427990933225e-08
