year,dois_VERB aider_VERB,dois_VERB céder_VERB
1800,3.144164484325529e-09,1.2576657937302116e-08
1801,0.0,5.2386017301842e-08
1802,0.0,1.7902721083373763e-08
1803,0.0,3.900678446910888e-09
1804,0.0,2.7190360185613827e-08
1805,0.0,5.401467717547348e-08
1806,0.0,2.0171682990621775e-08
1807,0.0,8.540865792383556e-09
1808,0.0,1.1330369531492579e-08
1809,0.0,6.7770917766551975e-09
1810,0.0,3.2761775514700275e-08
1811,0.0,2.0056614147279106e-08
1812,2.6672082320544632e-09,2.400487453257938e-08
1813,0.0,3.4508900625951355e-08
1814,0.0,2.2026739543434815e-08
1815,0.0,1.0788894222457657e-08
1816,0.0,2.3176038865813098e-08
1817,3.113746815941454e-09,1.2454987263765815e-08
1818,1.0729059418679299e-08,1.4305412854298538e-08
1819,0.0,2.5877625375869684e-08
1820,0.0,1.4239777357261119e-08
1821,0.0,3.747365440176509e-08
1822,0.0,4.511527151862538e-08
1823,0.0,7.807322788266902e-08
1824,1.6842225392110777e-09,3.3684450784221553e-08
1825,0.0,2.0252519661312363e-08
1826,8.807984341885344e-10,1.5854372037438225e-08
1827,9.217273055917019e-10,2.1199728195142598e-08
1828,3.668920500743411e-09,5.503380862137419e-09
1829,0.0,2.4004892296147773e-08
1830,0.0,3.1310506187764986e-08
1831,3.1182412207897414e-09,2.0268567268999504e-08
1832,0.0,9.470978667991403e-09
1833,0.0,1.2741991461950875e-08
1834,9.334530925997342e-10,1.4935249481595747e-08
1835,3.781543966852041e-09,4.5378527602224494e-09
1836,0.0,1.2769425516978572e-08
1837,6.262101948095733e-09,1.3915782304252389e-08
1838,5.680945491803868e-09,8.2058102535143e-09
1839,1.3283802502428443e-08,8.38977065598101e-09
1840,3.821813088222825e-09,1.7835128929277744e-08
1841,6.420548537278137e-10,1.0914932957462042e-08
1842,6.708265054555795e-10,1.0062397137744483e-08
1843,0.0,1.8311423488626133e-08
1844,0.0,9.330554107123135e-09
1845,3.348136878855712e-09,1.0602432709561072e-08
1846,5.854501328173001e-10,7.025401593807601e-09
1847,0.0,1.0247124926365814e-08
1848,8.045221711050488e-10,1.126331028444838e-08
1849,0.0,4.1897072478036534e-09
1850,1.3577992064028876e-09,1.8330290174617403e-08
1851,1.2898877521649865e-09,2.1283147688677673e-08
1852,0.0,1.4974254725075298e-08
1853,5.971931837933653e-10,2.9859659189668264e-09
1854,3.117398783558656e-09,4.1565315633818045e-09
1855,2.1227748447927297e-09,3.1841622671890946e-09
1856,1.0354378465748937e-09,5.694908100650764e-09
1857,9.763018171682347e-10,0.0
1858,4.893676019968041e-10,6.361778659424999e-09
1859,5.092173349652285e-10,2.3933214521321133e-08
1860,2.288591982591015e-09,1.6477862629926676e-08
1861,0.0,1.4619487842537637e-08
1862,1.3553959066214816e-09,1.7620147119146168e-08
1863,2.4973103585068657e-09,2.1976331865403154e-08
1864,4.794727948009836e-10,1.2945765348604255e-08
1865,4.23615986733239e-09,1.0825742080555756e-08
1866,5.838735717134114e-09,1.0704348518686402e-08
1867,9.7056229719783e-10,4.367530337390235e-09
1868,0.0,1.778354707937524e-08
1869,4.883519144627257e-10,1.3673853160867111e-08
1870,5.734048791339319e-10,5.734048791339319e-09
1871,0.0,6.37270636261178e-09
1872,6.047339295989218e-10,6.047339518033823e-09
1873,0.0,7.781805422268917e-09
1874,5.974609140757536e-10,2.9873046258899194e-09
1875,5.721527140956084e-10,5.721527251978387e-09
1876,1.209202959984168e-09,9.673623679873344e-09
1877,0.0,6.80329748092845e-09
1878,0.0,1.2078177347163432e-09
1879,1.221865053580018e-09,6.109325489944695e-09
1880,3.8507077526617195e-09,1.2835692508872398e-08
1881,0.0,6.2752567586699115e-09
1882,1.9966155395678697e-09,1.0648616211028639e-08
1883,6.319338941018771e-10,4.423537092179686e-09
1884,2.6406787867472303e-09,1.7824582698722224e-08
1885,0.0,2.127059772760731e-08
1886,1.2906927748801422e-09,3.872078213618124e-09
1887,1.9586774424595887e-09,3.9173548849191775e-09
1888,2.53624587998047e-09,1.4583413587843097e-08
1889,6.265136742733546e-10,3.132568426877924e-09
1890,3.2771931834929546e-09,9.176140736144589e-09
1891,6.374220040683554e-10,1.211101796627645e-08
1892,6.268512375839919e-10,3.1342561879199593e-09
1893,6.158416554491453e-10,1.23168328869383e-08
1894,1.8904617871129403e-09,1.449354058991048e-08
1895,4.814891596538473e-09,1.8055843487019274e-09
1896,4.717623180994224e-09,5.307326134129653e-09
1897,1.1653427112179315e-09,1.1653426668090106e-08
1898,5.6583548957434e-10,6.224190496340043e-09
1899,1.6582735185011188e-09,8.291367592505594e-09
1900,5.191053142894475e-10,8.30568502863116e-09
1901,2.794369402536745e-09,3.912117296778206e-09
1902,9.820567692386817e-10,1.5221880644844532e-08
1903,1.6200660812870638e-09,8.100330184390714e-09
1904,2.1498500757388683e-09,7.524475265086039e-09
1905,1.0321518084666081e-09,8.257214467732865e-09
1906,3.0865106026567446e-09,6.6874399351490865e-09
1907,5.142843373384665e-10,4.6285588695127444e-09
1908,4.911389073214423e-09,4.911389073214423e-10
1909,7.701377313651392e-09,1.1552065082298668e-08
1910,3.740905363258662e-09,4.809735720812114e-09
1911,2.6601871816467337e-09,1.702519725199636e-08
1912,1.0418842455450772e-09,9.897900277167082e-09
1913,1.590896969716482e-09,1.0605979205990934e-08
1914,6.696743715117748e-10,4.68772043404897e-09
1915,1.1780761921542648e-09,2.3561523843085297e-09
1916,0.0,1.2086208478478966e-08
1917,1.315970976634162e-08,5.483212106582869e-09
1918,8.040463406189247e-09,1.1486376294556067e-09
1919,4.603924352863942e-09,1.1970202606903513e-08
1920,3.028892692213958e-09,3.028892692213958e-09
1921,0.0,6.058197943303867e-09
1922,1.0329110011753073e-08,4.426761179843197e-09
1923,0.0,1.0615948120573648e-08
1924,6.445812328337297e-09,5.156649773851996e-09
1925,0.0,4.399271169575059e-09
1926,4.458455382660986e-09,1.114613823460786e-08
1927,0.0,1.3379070296082318e-08
1928,6.8556245125250825e-09,4.570416489713125e-09
1929,2.2280812750352652e-09,1.7824650200282122e-08
1930,0.0,9.453243521306831e-09
1931,0.0,1.2545892325022123e-08
1932,1.0959536611565568e-09,6.575722188983946e-09
1933,2.2941324395731044e-09,4.588264879146209e-09
1934,2.3963160344919743e-09,1.677421224144382e-08
