year,vos_DET yeux_NOUN,vos_DET cieux_NOUN
1800,7.97045740341673e-06,0.0
1801,1.043434210146188e-05,4.7623651688866175e-09
1802,6.380082311352453e-06,6.713520406265161e-09
1803,8.000291884968647e-06,7.801356893821776e-09
1804,8.64900607666641e-06,1.9774807569206132e-08
1805,8.087987183102996e-06,0.0
1806,5.7777466793140775e-06,1.4408345627714425e-08
1807,6.596394882762979e-06,8.540865348294346e-09
1808,7.2695654864674e-06,0.0
1809,6.2326651857347315e-06,1.8072244145628247e-08
1810,1.018657204099327e-05,0.0
1811,6.693895102216629e-06,0.0
1812,5.251732872579851e-06,0.0
1813,8.204490711705148e-06,0.0
1814,5.909459780184534e-06,0.0
1815,5.192155455802094e-06,2.6972236000233352e-08
1816,6.63066457207151e-06,2.7811246638975717e-08
1817,9.901714577154053e-06,0.0
1818,7.463849300393122e-06,1.1921177378582115e-09
1819,8.468193954058734e-06,1.035105001712111e-09
1820,9.236869317419405e-06,1.6613073583471305e-08
1821,1.0589266196348035e-05,1.676452932031225e-08
1822,9.78901107373531e-06,2.0051231786055723e-09
1823,7.266739686428991e-06,4.941343334508019e-09
1824,8.318375051885596e-06,2.6947560627377243e-08
1825,7.2662515719912335e-06,1.7610886082763955e-09
1826,6.634173971065138e-06,1.4092774947016551e-08
1827,6.147921325805328e-06,1.1060727445055818e-08
1828,8.042273549335732e-06,4.586150570418113e-09
1829,6.375870981401022e-06,1.0287811491593857e-08
1830,7.616802719212501e-06,9.39315203396518e-09
1831,7.193782579406616e-06,4.677361609140007e-09
1832,7.570017857005951e-06,9.470978667991403e-09
1833,7.457540192490342e-06,1.2741991461950875e-08
1834,7.6048422386065795e-06,1.8669061851994684e-09
1835,7.858804451643664e-06,1.5126175867408165e-08
1836,6.175025248467136e-06,2.2850549896702432e-08
1837,5.731214969273424e-06,9.74104708006962e-09
1838,5.822338124517046e-06,1.7674054220151447e-08
1839,5.830890231095509e-06,4.894032734625853e-09
1840,6.631482975194558e-06,1.3376346252869098e-08
1841,6.130339713195099e-06,1.2841097518645483e-08
1842,6.120620973604218e-06,1.609983613093391e-08
1843,6.25660008779505e-06,1.2995204023980023e-08
1844,6.3606936606674935e-06,8.232841963717874e-09
1845,5.644400630444579e-06,9.48638767539478e-09
1846,5.9733477968393345e-06,1.4636253098387897e-08
1847,5.204460684637979e-06,3.235934187273415e-09
1848,5.282492459457444e-06,5.63165514222419e-09
1849,4.993293430288759e-06,9.217356655710773e-09
1850,4.853453333453217e-06,1.1541293254424545e-08
1851,5.200827402518371e-06,5.8044946626978344e-09
1852,5.131611814590542e-06,1.3672145415810633e-08
1853,5.1925948980624526e-06,1.1346670270029335e-08
1854,7.623078730034649e-06,7.27393034694046e-09
1855,6.12314408954262e-06,1.2736649068756378e-08
1856,6.7608912104333285e-06,4.4523826403519706e-08
1857,5.273006294714833e-06,2.4895696171256532e-08
1858,6.076477376382172e-06,3.76813069635773e-08
1859,5.0728233134123e-06,1.7313389832906978e-08
1860,5.825382004331914e-06,2.7463104124159088e-08
1861,6.031245817439412e-06,1.0375119985361891e-08
1862,7.0435407621971535e-06,1.7620147119146168e-08
1863,5.9915471979365975e-06,1.9479021062807078e-08
1864,6.484389970751181e-06,1.965838514195184e-08
1865,6.216329268227128e-06,2.2592853810010638e-08
1866,5.803703189144471e-06,8.75810357570117e-09
1867,5.678759919192089e-06,1.9896527092555516e-08
1868,5.609227088143598e-06,3.112120694481746e-08
