year,quelques_DET yeux_NOUN,quelques_DET cieux_NOUN
1800,5.973912209356058e-08,0.0
1801,5.476719877606229e-08,0.0
1802,2.0140561218795483e-08,0.0
1803,5.655983770225248e-08,0.0
1804,7.662737999680758e-08,0.0
1805,4.264316544322355e-08,0.0
1806,2.0171683878800195e-08,0.0
1807,5.693910232196231e-09,0.0
1808,4.305540457494317e-08,0.0
1809,9.487928309681593e-08,0.0
1810,1.4040760554223652e-08,0.0
1811,1.0028307073639553e-08,0.0
1812,6.13457871168066e-08,0.0
1813,8.052076339026826e-08,0.0
1814,6.922689976818219e-08,0.0
1815,7.821948599939788e-08,0.0
1816,6.952811304472561e-08,0.0
1817,4.0478710161551135e-08,0.0
1818,4.887682791832049e-08,0.0
1819,3.105314938522952e-08,0.0
1820,1.6613073583471305e-08,0.0
1821,3.944595405869222e-08,0.0
1822,1.604098542884458e-08,0.0
1823,1.9765373338032077e-08,0.0
1824,2.6947560627377243e-08,0.0
1825,8.189061873054015e-08,0.0
1826,1.6735169694470642e-08,0.0
1827,5.2538454919925925e-08,0.0
1828,1.3758452155343548e-08,0.0
1829,3.600733933240008e-08,0.0
1830,3.1310506187764986e-08,0.0
1831,4.989185953263586e-08,0.0
1832,7.441483085290912e-08,0.0
1833,3.8225973497674204e-08,0.0
1834,1.866906162995008e-08,0.0
1835,5.596685070941021e-08,0.0
1836,3.427582484505365e-08,3.36037508930076e-09
1837,4.035576894878545e-08,6.957890930081589e-10
1838,1.8936486156917454e-08,0.0
1839,2.9364195075487487e-08,0.0
1840,2.8026629905752998e-08,0.0
1841,2.5040138851295524e-08,2.5682194149112547e-09
1842,7.647422251011449e-08,6.708265054555795e-10
1843,3.1306629344474146e-08,0.0
1844,3.9517641825526084e-08,5.488561272137815e-10
1845,5.1896119845906696e-08,5.580227946389016e-10
1846,2.6930706553685013e-08,1.1709002656346001e-09
1847,1.4561703842730367e-08,0.0
1848,3.459445352405055e-08,1.6090443422100975e-09
1849,6.535943475327599e-08,0.0
1850,1.4935791270431764e-08,0.0
1851,1.676854055610022e-08,1.2898877521649865e-09
