year,ces_DET honnêtes_ADJ,ces_DET sonnettes_NOUN
1800,3.3642560737234817e-07,9.432493897065797e-09
1801,2.428806276100204e-07,5.9529563500859695e-08
1802,2.998705781465105e-07,2.0140561218795483e-08
1803,3.198556193240165e-07,2.925508790774245e-08
1804,2.051636229793985e-07,0.0
1805,2.416446021058505e-07,8.528633133053631e-09
1806,2.3917853297916736e-07,2.0171682990621775e-08
1807,2.2490945150721586e-07,2.8469551160981155e-09
1808,9.744118134591417e-08,6.798221985349073e-09
1809,2.9819203639647185e-07,3.162642814302785e-08
1810,2.340126741273707e-07,3.510190182964834e-08
1811,1.5293168598162765e-07,1.0028307073639553e-08
1812,2.960601079848857e-07,4.000812303672774e-08
1813,3.2783455061746736e-07,2.8757416004054903e-08
1814,2.2970743174255404e-07,0.0
1815,2.643279124470155e-07,2.6972235112054932e-08
1816,4.565679745383022e-07,0.0
1817,3.56524012090631e-07,4.670620334934483e-09
1818,3.290244912079743e-07,8.821671215741844e-08
1819,3.2709316855061843e-07,2.3807414706311647e-08
1820,2.7530237645123634e-07,1.0679833017945839e-08
1821,5.759108887559705e-07,5.325203744632745e-08
1822,4.491475920076482e-07,2.606660132187244e-08
1823,4.160611233317013e-07,2.075364324838347e-08
1824,2.812651658246068e-07,2.6105448469593284e-08
1825,3.293235621981694e-07,2.3774696877865154e-08
1826,3.1444504333677514e-07,1.8496767562048433e-08
1827,2.8389202100242983e-07,3.6869092223668076e-09
1828,3.824849557076959e-07,1.7427372100975447e-08
1829,2.7262699298091775e-07,6.001223074036943e-09
1830,2.390035458432749e-07,7.305785310052215e-09
1831,4.911229964932318e-07,0.0
1832,5.411987586967371e-07,1.623596324051846e-08
1833,4.413362528765674e-07,1.1583628722888761e-08
1834,4.461905902530816e-07,1.7735608093261135e-08
1835,3.630282137123686e-07,2.117664621437143e-08
1836,3.2864468124671475e-07,1.2769425516978572e-08
1837,3.03364039666576e-07,2.435261814426326e-08
1838,3.2570755337246737e-07,1.830526930035603e-08
1839,2.2162976343054197e-07,1.1186360393544703e-08
1840,3.146626070815728e-07,1.2739376997750185e-08
1841,3.415731910649811e-07,2.5682194149112547e-08
1842,3.6224630406422875e-07,3.3541325272778977e-09
1843,3.4614500243890234e-07,1.3585895075607368e-08
1844,2.9144259094948666e-07,2.7442805805577564e-09
1845,3.5713459034525386e-07,2.399498066907313e-08
1846,3.0853221666404806e-07,1.8148953895291697e-08
1847,2.604926976346178e-07,1.1325769655456952e-08
1848,2.5101091871704284e-07,3.218088684420195e-09
1849,3.6785632318014905e-07,0.0
1850,3.2519290371624265e-07,8.82569484161877e-09
