year,leurs_DET îles_NOUN,leurs_DET iles_NOUN,leurs_DET cils_NOUN
1800,3.3956976608351397e-07,1.8864987794131594e-08,7.545994584745586e-08
1801,3.071725651615509e-07,1.1905912700171939e-08,5.2386017301842e-08
1802,2.0364345232337655e-07,1.1189200677108602e-08,1.7902721083373763e-08
1803,1.7748087088875764e-07,1.950339223455444e-09,8.776526527753958e-08
1804,1.97748079244775e-07,1.7302956178966156e-08,3.460591457837836e-08
1805,1.02343598484822e-07,5.685755422035754e-09,6.822906328807221e-08
1806,6.051504897186533e-08,0.0,3.7461697743879085e-08
1807,2.619198742337403e-07,1.7081731584767113e-08,2.8469550272802735e-08
1808,3.331128812789075e-07,1.5862518409903714e-08,2.4926814390369145e-08
1809,4.450290180812999e-07,9.036122072814123e-09,3.388545821714217e-08
1810,1.2870697219113936e-07,6.786367867661625e-08,1.1700633351097167e-08
1811,8.273353557797236e-08,1.2535384286138651e-08,1.2535384286138651e-08
1812,2.9339290108509886e-07,1.600324850414836e-08,3.200649700829672e-08
1813,2.5881675935757187e-07,0.0,0.0
1814,2.3285410222229075e-07,3.1466771410748606e-09,0.0
1815,2.4275013288388436e-07,5.394447111228828e-09,1.6183340889597275e-08
1816,2.2712518443768204e-07,4.6352077731626196e-09,9.270415546325239e-09
1817,1.1832237589715078e-07,4.670620223912181e-09,2.9580593974287694e-08
1818,2.2650236530807888e-07,3.5763532135746345e-09,5.2453181353939726e-08
1819,2.929347147073713e-07,1.656168058250529e-08,5.175524897538253e-09
1820,3.55994444589669e-07,2.254631414899677e-08,3.085285271708926e-08
1821,1.715899031751178e-07,2.5639868672655552e-08,8.875339574387908e-09
1822,2.1454818011079624e-07,1.5038423839541792e-08,4.010246357211145e-09
1823,2.24336996978991e-07,1.087095569118901e-08,2.7671523294969802e-08
1824,1.1536924660049408e-07,3.3684450784221553e-09,2.189489212156559e-08
1825,2.0956954926987237e-07,8.805443485471187e-09,2.0252519661312363e-08
1826,2.783323056476661e-07,3.435113882233054e-08,5.6371099788066203e-08
1827,1.354939165310043e-07,1.474763688946723e-08,7.281645508783186e-08
1828,2.4398320874752244e-07,1.2841221419535032e-08,3.8523666034961934e-08
1829,2.4090624606287747e-07,1.800366966620004e-08,1.8860987438529264e-08
1830,2.6613930548258224e-07,8.349468672008697e-09,6.575206512593468e-08
1831,1.2940701488162176e-07,4.677361831184612e-09,6.236482219534878e-09
1832,1.27181706943702e-07,8.117981842303834e-09,3.92369123858316e-08
1833,4.170106251422112e-07,8.57188530156705e-08,5.3284690437749305e-08
1834,3.145736968690471e-07,1.8669062740173104e-08,5.0406466556296436e-08
1835,2.2840524849243593e-07,1.8907719834260206e-08,2.4201881387853064e-08
1836,3.6964125804672676e-07,1.7473950730817478e-08,6.653542783396915e-08
1837,2.2404408361875738e-07,2.852735292435682e-08,4.940102449335626e-08
1838,1.3697391310074636e-07,3.09295935529974e-08,4.86036455527028e-08
1839,1.461218241960438e-07,1.887698375391267e-08,3.705481788074394e-08
1840,2.1147366169316228e-07,2.1019971874203236e-08,5.477932346620307e-08
1841,1.9004824025614653e-07,1.9903700465562224e-08,6.998397639179643e-08
1842,1.6435248717527884e-07,1.609983613093391e-08,3.152884531232303e-08
1843,2.0319774307608895e-07,2.126488007903049e-08,5.7887728388550386e-08
1844,1.2349262523692062e-07,1.8112251365387522e-08,4.50062032086862e-08
1845,7.700714377278928e-08,8.37034219713928e-09,7.868121731924305e-08
1846,1.3933713205460663e-07,1.8148954339380907e-08,5.2105063597096546e-08
1847,1.1325769655456952e-07,1.5101026207275936e-08,2.588747349818732e-08
1848,1.0297883790144624e-07,1.850400987990497e-08,7.723412970284116e-08
1849,7.0387088157986e-08,1.5920887719289567e-08,4.8600607982507427e-08
