year,diverses_ADJ herbes_NOUN
1800,3.144164484325529e-09
1801,9.524730337773235e-09
1802,2.2378401354217203e-09
1803,3.900678446910888e-09
1804,4.943701892301533e-09
1805,3.1271653710973624e-08
1806,2.881669125542885e-09
1807,5.693910232196231e-09
1808,4.5321478125970316e-08
1809,6.325285539787728e-08
1810,2.574139479349924e-08
1811,0.0
1812,2.1337665856435706e-08
1813,4.3136125782439194e-08
1814,2.5173417128598885e-08
1815,3.236668177919455e-08
1816,4.6352077731626196e-08
1817,2.0239355080775567e-08
1818,5.2453181353939726e-08
1819,4.0369094733705424e-08
1820,2.7292905713238724e-08
1821,6.903041693817613e-09
1822,2.2056354964661296e-08
1823,2.668325471688604e-08
1824,1.0947446504872005e-08
1825,2.1133063299316746e-08
1826,3.5231937367541377e-09
1827,1.2904182611350734e-08
1828,1.8344602503717056e-09
1829,5.143905745796928e-09
1830,5.218417697960831e-09
1831,1.5591206103948707e-09
1832,6.764984572527055e-09
1833,1.2741991461950875e-08
1834,6.534171426153534e-09
1835,4.5378527602224494e-09
1836,2.083432448785061e-08
1837,2.0873672568200163e-08
1838,2.3354999711955315e-08
1839,9.088918062616358e-09
1840,1.9109065441114126e-09
1841,7.704658244733764e-09
1842,1.475818312002275e-08
1843,7.678984559333912e-09
1844,9.330554107123135e-09
1845,4.464182357111213e-09
1846,5.854501328173001e-09
1847,5.9325460100012606e-09
1848,5.63165514222419e-09
1849,1.75967720394965e-08
1850,1.0183494048021657e-08
1851,1.2898877521649865e-09
1852,4.557382027314816e-09
1853,1.791579506971175e-08
1854,1.506742641765868e-08
1855,6.368324534378189e-09
1856,4.659470143053568e-09
1857,1.1715622250108026e-08
1858,1.0276719919488642e-08
1859,1.018434669930457e-08
1860,1.1900677776566226e-08
1861,6.13075279431996e-09
1862,1.626475132354699e-08
1863,8.490855130105501e-09
1864,1.9178911792039344e-09
1865,2.3534221238463715e-09
1866,2.432806400776144e-09
1867,2.91168689159349e-09
1868,7.409810987013543e-09
1869,1.0743741896135361e-08
1870,1.9495765002375265e-08
1871,4.248470908407853e-09
1872,1.3304146229131675e-08
1873,7.183205141814142e-09
1874,4.779687312606029e-09
1875,4.577221712764867e-09
1876,8.464420275799966e-09
1877,6.80329748092845e-09
1878,2.294853729267743e-08
1879,1.2829582729523281e-08
1880,5.134277003548959e-09
1881,0.0
1882,1.9966155395678697e-09
1883,5.0554711528150165e-09
1884,8.582206056928499e-09
1885,1.4824961702686323e-08
1886,8.38950331427668e-09
1887,7.834709769838355e-09
1888,1.3315290647852862e-08
1889,3.132568426877924e-09
1890,7.209825181320184e-09
1891,7.0116419337296065e-09
1892,1.56712811616444e-08
1893,9.853466487186324e-09
1894,3.780923574225881e-09
1895,1.8055843487019274e-09
1896,7.66613794667137e-09
1897,2.155884004650943e-08
1898,7.355861253444118e-09
1899,6.080336234504102e-09
1900,1.1939421895590385e-08
1901,8.38310842965484e-09
1902,1.4239823542538943e-08
1903,7.020286574288548e-09
1904,7.524475265086039e-09
1905,1.4450125540577119e-08
1906,2.572092316910357e-09
1907,3.599990305858114e-09
1908,1.2278472460991452e-08
1909,4.950885035270858e-09
1910,6.947395991829808e-09
1911,3.7242617878519013e-09
1912,1.4586379215586476e-08
1913,4.772690687104841e-09
1914,4.018046340092951e-09
1915,3.534228465440492e-09
1916,9.888715624128963e-09
1917,3.289927441585405e-09
1918,2.2972752589112133e-09
1919,1.8415696745321952e-09
1920,9.843901693784574e-09
1921,6.815472630705699e-09
1922,1.3280283539529592e-08
1923,9.554353752605493e-09
1924,1.4180787211159895e-08
1925,4.399271169575059e-09
1926,1.0031524944054127e-08
1927,1.2264147031260109e-08
1928,6.8556245125250825e-09
1929,1.1140405931087116e-08
1930,4.201441416995522e-09
1931,4.5621426636444085e-09
1932,6.575722188983946e-09
1933,8.02946331646126e-09
1934,1.0783422155213884e-08
1935,1.3165112555668657e-08
1936,1.8187072292619177e-08
1937,1.2591118370153254e-08
1938,1.8151300906765755e-08
1939,1.988226472349197e-08
1940,1.01431314458722e-08
1941,2.066051862925633e-08
1942,1.517105907566929e-08
1943,1.1612940831184915e-08
1944,0.0
1945,8.714016175304096e-09
1946,4.1763312808029696e-09
1947,1.0728783639279982e-08
1948,1.7395020535104777e-08
1949,7.853606653895895e-09
1950,9.571825110299415e-09
1951,1.1727541604500402e-08
1952,6.326882129314981e-09
1953,1.723812381726475e-08
1954,1.9545072227344917e-09
1955,1.8771215692936494e-09
1956,6.976913269340912e-09
1957,5.301022620862739e-09
1958,1.1581140491045971e-08
1959,8.525822714489095e-09
1960,1.1073333361366622e-08
1961,4.16889545107324e-09
1962,1.585489073363533e-08
1963,1.0345685197421517e-08
1964,1.155953976983426e-08
1965,8.208064727899256e-09
1966,1.5509408868297214e-08
1967,7.3955032653394426e-09
1968,7.635406973349745e-09
1969,4.541757636644661e-09
1970,8.737577245065964e-09
1971,4.1107179882260425e-09
1972,7.69522046084603e-09
1973,3.859242703185828e-09
1974,5.625571564138454e-09
1975,7.4249242310031605e-09
1976,6.2848797277581525e-09
1977,8.227494796564372e-09
1978,5.940591130126904e-09
1979,4.096381456264453e-09
1980,7.95921106799824e-09
1981,1.0120879245789638e-08
1982,9.932003663948308e-09
1983,1.1999100379966876e-08
1984,8.118611560803402e-09
1985,5.414002135495366e-09
1986,6.593933954412989e-09
1987,7.944062296871834e-09
1988,1.0194141530917022e-08
1989,9.329808037250586e-09
1990,7.628111475810329e-09
1991,2.9307325455363298e-09
1992,5.509944056569793e-09
1993,3.877445309274918e-09
1994,1.0549853324270941e-08
1995,9.218166396873784e-09
1996,3.736664533349199e-09
1997,8.630809955612051e-09
1998,8.582632382569955e-09
1999,5.484241505371301e-09
2000,4.859834756842929e-09
2001,4.8193329327261836e-09
2002,1.1391176002462089e-08
2003,8.333845613606172e-09
2004,4.404791198453495e-09
2005,8.557123898356167e-09
2006,8.647569216257978e-09
2007,7.988958827809256e-09
2008,8.089135583588813e-09
2009,7.629108011997232e-09
2010,1.3698999989930627e-08
2011,6.883149605840799e-09
2012,1.3957435707201427e-08
2013,7.53063750247307e-09
2014,1.1260314791705639e-08
2015,9.97458915463767e-09
2016,9.11389658186934e-09
2017,8.553078523210189e-09
2018,1.161660012627408e-08
2019,2.3213988953330045e-08
