year,devons_VERB aider_VERB,devons_VERB céder_VERB
1800,6.288328968651058e-09,6.288328968651058e-09
1801,0.0,9.524730337773235e-09
1802,4.475680270843441e-09,6.713520406265161e-09
1803,5.851017448321727e-09,0.0
1804,0.0,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,2.881669125542885e-09
1807,0.0,1.7081731584767113e-08
1808,0.0,1.5862518409903714e-08
1809,4.518061036407062e-09,0.0
1810,7.020380277111826e-09,4.680253518074551e-09
1811,0.0,5.0141535368197765e-09
1812,0.0,2.1337665856435706e-08
1813,5.751483289628823e-09,0.0
1814,0.0,1.5733386149463513e-08
1815,1.0788894222457657e-08,2.697223555614414e-09
1816,0.0,2.0858434979231788e-08
1817,0.0,0.0
1818,3.5763532135746345e-09,1.9073883805731384e-08
1819,3.1053151161586356e-09,1.035105001712111e-09
1820,0.0,1.898636980968149e-08
1821,2.9584463767662328e-09,0.0
1822,1.0025615893027862e-09,1.604098542884458e-08
1823,0.0,4.941343334508019e-09
1824,0.0,1.6000115010683658e-08
1825,8.805443041381977e-10,1.4969252504215547e-08
1826,0.0,7.927186018719112e-09
1827,1.1982455028203276e-08,5.530363722527909e-09
1828,1.1923991571904935e-08,6.420610709767516e-09
1829,8.57317605795771e-10,4.286587973467704e-09
1830,3.1310507520032616e-09,1.461157062010443e-08
1831,0.0,0.0
1832,0.0,1.0823975493678972e-08
1833,4.6334514003376626e-09,2.20088942626262e-08
1834,2.8003592777992026e-09,5.600718555598405e-09
1835,1.5126175867408165e-09,1.2100940693926532e-08
1836,1.1425274948351216e-08,8.736974699274924e-09
1837,9.045257876039159e-09,4.174734336004349e-09
1838,1.8936485712828244e-09,8.2058102535143e-09
1839,9.788065469251706e-09,1.4682098203877558e-08
1840,2.5478754661634184e-09,9.554533164646273e-09
1841,5.778493683550323e-09,8.346713542550788e-09
1842,2.683306021822318e-09,1.0062397137744483e-08
1843,4.7255288571079745e-09,1.0041748765843295e-08
1844,6.037417232818143e-09,1.0977122322231025e-08
1845,5.580227946389016e-10,1.6182660544927785e-08
1846,4.0981511517657054e-09,8.196302303531411e-09
