year,certaines_DET ondes_NOUN,certaines_DET sondes_NOUN
1800,0.0,3.144164484325529e-09
1801,0.0,7.143547975374531e-09
1802,2.6854081625060644e-08,4.475680270843441e-09
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,4.518061036407062e-09
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,6.293354282149721e-09
1815,0.0,0.0
1816,0.0,0.0
1817,1.2454987263765815e-08,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,1.0947446504872005e-08,0.0
1825,3.522177216552791e-09,0.0
1826,5.284790383086602e-09,0.0
1827,0.0,0.0
1828,9.172301251858528e-10,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,9.334530925997342e-10,0.0
1835,0.0,3.025235173481633e-09
1836,1.3441500135158435e-09,0.0
1837,6.957890930081589e-10,0.0
1838,6.312161904276081e-10,0.0
1839,1.3982950353153e-09,1.3982950353153e-09
1840,6.369688665408546e-10,6.369688665408546e-10
1841,9.630822361827995e-09,0.0
1842,3.3541325272778977e-09,6.037438549100216e-09
1843,5.906911071384968e-10,0.0
1844,2.195424508855126e-09,0.0
1845,0.0,5.022205318283568e-09
1846,0.0,1.7563503984519002e-09
1847,4.853901280910122e-09,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,6.1100964288129944e-09,0.0
1851,1.2253933867611977e-08,6.449438760824933e-10
1852,1.9531636308300904e-09,0.0
1853,1.1943863675867306e-09,0.0
1854,6.234797567117312e-09,5.195664454227256e-10
1855,0.0,5.306937111981824e-09
1856,5.177189343896771e-09,1.5531567143511893e-09
1857,5.369659827891837e-09,0.0
1858,9.787352039936081e-10,2.936205500958522e-09
1859,1.018434669930457e-09,0.0
1860,0.0,7.323494255473406e-09
1861,0.0,1.4147891747029462e-09
1862,0.0,5.873382225018986e-09
1863,9.989241656072068e-10,8.990317823531768e-09
1864,1.342523781033833e-08,0.0
1865,1.4120533631256649e-09,0.0
1866,1.751620715140234e-08,0.0
1867,1.6014277903764196e-08,0.0
1868,9.385760613156435e-09,0.0
1869,2.490594752657671e-08,4.883519144627257e-10
1870,1.834895613228582e-08,5.734048791339319e-10
1871,2.1242354542039266e-09,0.0
1872,2.4189357183956872e-09,3.0236697590169115e-09
1873,2.9930022904522957e-09,1.1972008939764578e-09
1874,2.8080663128093875e-08,0.0
1875,5.721527140956084e-10,5.721527140956084e-10
1876,7.859819461941697e-09,4.836811839936672e-09
1877,6.80329748092845e-09,0.0
1878,3.0195443923020093e-09,1.8117265465633636e-09
1879,3.665595160740054e-09,1.832797580370027e-09
1880,2.5671385017744797e-09,1.2835692508872398e-09
1881,3.4862537301449947e-09,6.972507571312292e-10
1882,5.989846840748214e-09,0.0
1883,8.21514056781325e-09,0.0
1884,6.601696966868076e-10,2.6406787867472303e-09
1885,6.445635691854079e-10,6.445635691854079e-10
1886,6.453463874400711e-10,1.2906927748801422e-09
1887,4.570247291724172e-09,0.0
1888,1.3949351895803375e-08,7.60873763994141e-09
1889,8.14467782106476e-09,6.265136742733546e-10
1890,5.243509182406569e-09,1.3108772956016423e-09
1891,0.0,1.9122659011827636e-09
1892,6.268512375839919e-09,3.761107425503951e-09
1893,1.662772503019383e-08,0.0
1894,5.041231432301174e-09,0.0
1895,4.814891596538473e-09,1.8055843487019274e-09
1896,7.076434549446731e-09,0.0
1897,1.5732126934508983e-08,5.826713556089658e-10
1898,7.921697076085366e-09,1.6975064687230201e-09
