year,seules_ADJ heures_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,2.7190360185613827e-08
1805,0.0
1806,2.881669125542885e-09
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,1.3336041604361526e-08
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,2.1796227045456362e-08
1818,2.2650237241350624e-08
1819,0.0
1820,0.0
1821,6.903041693817613e-09
1822,0.0
1823,0.0
1824,8.421112696055388e-10
1825,1.7610886082763955e-09
1826,3.5231937367541377e-09
1827,0.0
1828,0.0
1829,0.0
1830,1.0436835840010872e-09
1831,1.5591206548037917e-08
1832,0.0
1833,2.3167257001688313e-09
1834,2.0535968481283362e-08
1835,9.075705520444899e-09
1836,3.36037508930076e-09
1837,9.74104708006962e-09
1838,7.574594285131298e-09
1839,1.11863602825224e-08
1840,3.821813088222825e-09
1841,8.346713542550788e-09
1842,9.391571076378114e-09
1843,2.3627644285539873e-09
1844,2.195424508855126e-09
1845,5.022205318283568e-09
1846,2.9272506640865004e-09
1847,5.393223645455691e-10
1848,3.218088684420195e-09
1849,2.513824481908955e-09
1850,5.431196825611551e-09
1851,1.3543821175687754e-08
1852,9.765818376195057e-09
1853,2.329053394589664e-08
1854,6.234797567117312e-09
1855,5.306937111981824e-10
1856,5.694908100650764e-09
1857,2.4407546206361985e-08
1858,7.829881631948865e-09
1859,1.9350258284589472e-08
1860,5.034902272882391e-09
1861,2.8295783494058924e-09
1862,3.6143890103090826e-09
1863,2.4973103585068657e-09
1864,8.630510306417705e-09
1865,7.530950973944073e-09
1866,1.9462451650298362e-09
1867,1.1161466417775046e-08
1868,2.9639244392143382e-09
1869,7.813630631403612e-09
1870,3.4404292748035914e-09
1871,3.18635318130589e-09
1872,2.4794090336399677e-08
1873,1.3767810003173508e-08
1874,1.2546679251101978e-08
1875,1.2587359599081083e-08
1876,9.069021977836655e-09
1877,1.4225077116236662e-08
1878,1.4493812372506909e-08
1879,1.1607718342077078e-08
1880,1.0268554007097919e-08
1881,2.9284532132578533e-08
1882,7.320923423037584e-09
1883,1.3902545781263598e-08
1884,1.3203393933736152e-08
1885,1.0313017106966527e-08
1886,7.744156427236248e-09
1887,1.4363633837888301e-08
1888,1.1413106904001324e-08
1889,1.2530273707511697e-08
1890,6.554386366985909e-09
1891,1.1473596295275001e-08
1892,8.149066310636499e-09
1893,1.539604177480669e-08
1894,1.7014155417882648e-08
1895,1.444467478961542e-08
1896,1.7691087705884456e-08
1897,1.1653426668090106e-08
1898,1.0185038590293516e-08
1899,9.949641111006713e-09
1900,1.6092265298084385e-08
1901,1.7883964531506535e-08
1902,9.820567470342212e-09
1903,1.83607493653426e-08
1904,2.0961039126632386e-08
1905,9.289366276199473e-09
1906,1.800464666246171e-08
1907,1.337139288182243e-08
1908,1.7681000885616527e-08
1909,1.8153245739949142e-08
1910,1.068830179917768e-08
1911,1.1704823110747498e-08
