year,soyons_VERB en_ADP,soyons_VERB sans_ADP
1800,1.0375743109136693e-07,3.45858084394024e-08
1801,1.0239085401764214e-07,2.3811825400343878e-08
1802,2.1483265300048515e-07,4.0281122437590966e-08
1803,1.716298487774992e-07,1.1702034896643454e-08
1804,1.928043786847411e-07,2.2246657849223084e-08
1805,1.6772978028711805e-07,5.970043304159844e-08
1806,1.7001848107156547e-07,1.152667650217154e-08
1807,1.4804165937576386e-07,0.0
1808,1.812859236061115e-07,1.1330369531492579e-08
1809,1.9427662523163747e-07,2.4849335034105025e-08
1810,1.825298929780672e-07,4.680253340438867e-08
1811,9.777599530025327e-08,0.0
1812,1.7603574198332694e-07,2.400487453257938e-08
1813,1.4091134414861983e-07,1.1502966579257645e-08
1814,1.6677388892105682e-07,2.8320094713762956e-08
1815,1.3755839445295237e-07,4.315557666778602e-08
1816,1.7613789893289322e-07,6.952811304472561e-08
1817,1.8059731665687195e-07,2.490997452753163e-08
1818,1.7047283051851991e-07,2.8610825708597076e-08
1819,1.9045932164729606e-07,7.142224500711336e-08
1820,1.09171627293847e-07,2.7292906601417144e-08
1821,2.3568957230324372e-07,4.437669787193954e-08
1822,2.466301509684854e-07,2.2056354964661296e-08
1823,2.5892639676783347e-07,3.360113609574e-08
1824,1.5073791725939145e-07,7.326367779114662e-08
1825,1.8139212443202268e-07,1.2327619813845558e-08
1826,2.149148130570211e-07,4.668231667892542e-08
1827,2.608488376409923e-07,3.2260455640198415e-08
1828,1.981217110369471e-07,5.228211819030548e-08
1829,1.5774643502552976e-07,3.1720752247110795e-08
1830,1.6385832068976924e-07,3.235419265834594e-08
1831,1.387617305503852e-07,5.456922202995429e-08
1832,1.8941957613538563e-07,2.5706941464420652e-08
1833,1.9344658908071466e-07,1.853380560135065e-08
1834,2.5389924296348454e-07,4.387229424196448e-08
1835,2.8664101847653e-07,2.0420337421001022e-08
1836,3.037778961711979e-07,8.53535251366111e-08
1837,1.4333255471399298e-07,4.174734513640033e-08
1838,1.4454851471334962e-07,3.408567295082321e-08
1839,1.8876983554072524e-07,2.516931019158619e-08
1840,2.3121969405792697e-07,3.503328693810204e-08
1841,2.2600331384126093e-07,4.6227950356581005e-08
1842,2.1734779132032145e-07,6.23868650073689e-08
1843,2.3804851867481602e-07,6.911086147809442e-08
1844,2.310684303896693e-07,5.2141333473088025e-08
1845,2.2767329976858264e-07,2.9017184655089068e-08
1846,2.195438026930674e-07,3.8639710098209434e-08
1847,1.41841778322771e-07,3.020205241455187e-08
1848,1.8986723571146058e-07,6.355725279405533e-08
1849,1.684262369572309e-07,5.865590324560799e-08
1850,1.6361480792426164e-07,3.394498193642903e-08
1851,1.5607641223880364e-07,1.3543821397732358e-08
1852,2.0378006926335956e-07,3.125061653896921e-08
1853,1.719916327136417e-07,3.822036309664156e-08
1854,2.0990484550509336e-07,3.6889218124613876e-08
1855,2.3562800066656564e-07,2.0697054736729115e-08
1856,2.2469001015323897e-07,3.727576203260696e-08
1857,1.5864905167362053e-07,4.637433503873467e-08
1858,2.290240326274784e-07,3.572383677763469e-08
1859,2.067422393281504e-07,4.7866429930820686e-08
1860,2.110081744888248e-07,3.20402872011627e-08
1861,1.7873502589083046e-07,4.527325092595902e-08
1862,2.5933240310749284e-07,3.478849586180388e-08
1863,2.1426922813816418e-07,4.744889814389808e-08
