year,leurs_DET eaux_NOUN,leurs_DET seaux_NOUN
1800,2.37384421630793e-06,2.5153315874604232e-08
1801,2.4002320841987057e-06,3.333655484993869e-08
1802,2.9673759058823634e-06,1.7902721083373763e-08
1803,2.1278201174368405e-06,3.900678446910888e-09
1804,3.220821721328093e-06,4.943701892301533e-09
1805,2.1748014358280443e-06,1.4214388555089386e-08
1806,1.948008243601862e-06,2.305335300434308e-08
1807,2.334503134804322e-06,5.4092147649953404e-08
1808,2.0893201906346803e-06,6.798221985349073e-09
1809,2.069272007076961e-06,2.259030518203531e-09
1810,2.2114197371081445e-06,4.680253518074551e-09
1811,1.9028712952007254e-06,2.2563690915688994e-08
1812,2.02974537266698e-06,8.00162425207418e-09
1813,1.9785103546610117e-06,0.0
1814,1.9540865867639923e-06,1.2586708564299443e-08
1815,1.801745327156823e-06,1.3486118000116676e-08
1816,1.5921939109375671e-06,1.8540831092650478e-08
1817,1.3046598770216633e-06,2.3353100786493997e-08
1818,1.6534673044077408e-06,5.960588467246453e-09
1819,1.3715141626846616e-06,5.175525075173937e-08
1820,1.664867284034699e-06,5.933240565525466e-08
1821,1.3411623509540505e-06,3.155676253641104e-08
1822,1.7695212051194176e-06,2.90742860897808e-08
1823,1.4280482449890997e-06,1.7788837070042973e-08
1824,1.7524335866880847e-06,1.6842225392110777e-08
1825,1.8350543555811782e-06,2.993850634069872e-08
1826,1.8408687090243347e-06,5.6371099788066203e-08
1827,1.3263655525008744e-06,3.3182182335167454e-08
1828,1.5528705574752166e-06,1.6510142586412258e-08
1829,1.8449474730175552e-06,1.628903412154159e-08
1830,1.7147720896559804e-06,2.817945699007396e-08
1831,1.8849768714801485e-06,2.3386808933878456e-08
1832,1.4341768022063661e-06,1.7588959622116818e-08
1833,2.2703911355392847e-06,2.20088942626262e-08
1834,1.9247802338639985e-06,6.534171426153534e-09
1835,1.8537128951834347e-06,3.7059130875150004e-08
1836,1.6707784595837438e-06,2.1506400216253496e-08
1837,1.6810264291677868e-06,2.7135774516295896e-08
1838,1.8191650958954142e-06,3.597932263232906e-08
1839,1.5234424424193094e-06,1.6080392128969834e-08
1840,1.603250655790589e-06,2.8026629905752998e-08
1841,1.357303966997847e-06,1.8619590758106597e-08
1842,1.4758182649288187e-06,3.6895456911878455e-08
1843,1.3916682206627229e-06,9.451057714215949e-09
1844,1.4314167691154012e-06,1.756339607084101e-08
1845,1.4346766352701934e-06,5.580227835366713e-09
