year,trois_DET iles_NOUN,trois_DET cils_NOUN
1800,9.432493897065797e-09,0.0
1801,1.6668277424969347e-08,0.0
1802,1.1189200677108602e-08,0.0
1803,1.950339223455444e-09,2.5354410126965377e-08
1804,4.202146608456303e-08,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,5.693910232196231e-09,1.1387820464392462e-08
1808,0.0,0.0
1809,9.036122294858728e-09,0.0
1810,2.3401267590372754e-08,0.0
1811,2.5070767684098882e-09,3.008491944456182e-08
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,6.293354282149721e-09,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,6.227493631882908e-09,0.0
1818,5.9605886892910576e-09,1.1921176934492905e-08
1819,0.0,0.0
1820,1.1866481131050932e-09,7.119888678630559e-09
1821,5.9168927535324656e-09,2.2681422962023134e-08
1822,2.0051231786055723e-09,0.0
1823,1.9765373782121287e-09,0.0
1824,5.894778887238772e-09,0.0
1825,1.3208164340028361e-08,0.0
1826,1.4973572604048968e-08,7.0463874735082754e-09
1827,7.373818444733615e-09,0.0
1828,1.4675681669906737e-08,0.0
1829,1.8860987549551567e-08,0.0
1830,1.1480519646056564e-08,0.0
1831,1.5591206103948707e-09,0.0
1832,6.764984572527055e-09,1.3529969367098715e-09
1833,5.3284690437749305e-08,0.0
1834,1.5868702352150876e-08,0.0
1835,1.0588323107185715e-08,0.0
1836,8.064900303139666e-09,0.0
1837,1.8090515530033713e-08,0.0
1838,1.641162095111781e-08,3.787297142565649e-09
1839,1.1885508133246958e-08,1.2584655095793096e-08
1840,1.910906610724794e-08,7.0066574764382494e-09
1841,8.988767952189392e-09,1.926164561183441e-09
1842,7.379091560011375e-09,6.037438549100216e-09
1843,1.6539350833344457e-08,1.7720733769266417e-09
1844,1.4819115490283252e-08,0.0
1845,2.1204865530144446e-08,1.674068439427856e-09
1846,8.196301859442201e-09,0.0
1847,1.4561703842730367e-08,3.775256551818984e-09
1848,8.849743549088629e-09,5.63165514222419e-09
1849,1.005529792763582e-08,4.1897072478036534e-09
1850,1.0862393651223101e-08,0.0
1851,1.096404567135778e-08,6.449438760824933e-10
1852,1.3672145415810633e-08,1.6276363368206148e-08
1853,1.3735443005202796e-08,6.569124799682413e-09
1854,1.0391328797432209e-08,3.117398783558656e-09
1855,1.539011762474729e-08,5.306937111981824e-10
1856,9.31894050815174e-09,2.5885946719483854e-09
1857,9.763017949637742e-09,0.0
1858,6.8511465389775594e-09,2.4468380654951716e-09
1859,1.1711999148289465e-08,1.018434669930457e-08
1860,7.781212424395889e-09,0.0
1861,9.903523834342565e-09,5.659156698811785e-09
1862,6.776979477596257e-09,0.0
1863,5.993545049154392e-09,4.994620828036034e-10
1864,4.315255153208852e-09,4.794727948009836e-10
1865,7.530951029455224e-09,2.3534221238463715e-09
1866,1.897589108068587e-08,9.731225825149181e-10
1867,1.261730986357179e-08,2.91168689159349e-09
1868,3.4579119567723637e-09,4.939874287401835e-09
1869,7.813630742425914e-09,2.441759683335931e-09
1870,6.880858549607183e-09,1.1468097582678638e-09
1871,1.0621177271019633e-09,3.18635318130589e-09
1872,1.2094678591978436e-09,1.2094678591978436e-09
1873,2.9930022904522957e-09,6.584604861359367e-09
1874,1.792382742227261e-09,1.1351757756017378e-08
1875,5.7215269744226305e-09,6.865832347102696e-09
1876,4.836811839936672e-09,1.934724735974669e-08
1877,5.566334282391949e-09,1.793596560162314e-08
1878,4.227361960484899e-09,7.850815109122777e-09
1879,8.553055264037823e-09,4.887460214320072e-09
1880,8.984984534166074e-09,1.1552122813895949e-08
1881,6.972507682334594e-09,2.1614773970668466e-08
1882,1.3310770263785798e-09,4.725323421439498e-08
1883,7.583206729222525e-09,1.7694148368718743e-08
1884,9.242375753615306e-09,5.941527270181268e-09
1885,6.445635580831777e-09,1.0313017106966527e-08
1886,1.548831352060631e-08,1.0325542199041138e-08
1887,7.834709492282599e-09,9.140494583448344e-09
1888,3.1703073499755874e-09,1.2047167707862627e-08
1889,6.265136576200092e-09,4.385595886446936e-09
1890,1.1797895382859025e-08,9.831579994568074e-09
1891,9.561329838980726e-09,1.9122660788184476e-08
1892,5.01480967862733e-09,2.005923960268774e-08
1893,9.237624942759481e-09,1.539604177480669e-08
1894,4.411077725308132e-09,1.7014155417882648e-08
1895,3.611168697403855e-09,1.2037228991346183e-08
1896,1.1794058063507862e-08,4.717623180994224e-09
1897,6.409384800676321e-09,1.0488084178916779e-08
1898,5.092519295146758e-09,1.640922953072277e-08
1899,5.527578395003729e-09,1.1607914629507832e-08
1900,1.0901211378033793e-08,7.26747462209687e-09
1901,7.2653604799022276e-09,7.824234593556412e-09
1902,7.856454264931756e-09,5.4013122863239005e-09
1903,6.480264325148255e-09,3.7801539676252105e-09
1904,5.374625189347171e-09,1.1286712897629059e-08
1905,6.708986810544104e-09,2.0643036169332163e-09
1906,5.658603086100555e-09,8.230695236477459e-09
1907,3.08570607954195e-09,2.057137349353866e-09
1908,4.4202499438483756e-09,3.929111258571538e-09
1909,1.2652262071366494e-08,5.5009836685826485e-09
1910,6.412980924075384e-09,2.137660271017694e-09
1911,6.384448858476333e-09,4.788336838146279e-09
1912,2.083768435579003e-09,5.730363294986773e-09
