year,quelques_DET airs_NOUN,quelques_DET serres_NOUN
1800,3.4585809238762977e-07,0.0
1801,2.809795489611133e-07,2.3811825844433088e-09
1802,2.0140561218795483e-07,1.7902721083373763e-08
1803,1.8918289867997373e-07,2.5354410126965377e-08
1804,4.202146612897195e-07,1.4831105232815389e-08
1805,3.041879172993589e-07,8.528632911009026e-09
1806,3.429186392622796e-07,4.3225035994964855e-08
1807,1.992868590150465e-07,0.0
1808,1.450287356874469e-07,2.2660739951163578e-09
1809,1.8524050737767084e-07,3.162642769893864e-08
1810,2.948559623128233e-07,0.0
1811,1.5293167621166504e-07,0.0
1812,5.521121124729689e-07,0.0
1813,5.665210984773239e-07,0.0
1814,2.6117418938653714e-07,3.1466771410748606e-09
1815,1.8071397800412115e-07,4.315557688983063e-08
1816,1.2515060632267705e-07,0.0
1817,2.6933909857973504e-07,2.9580593974287694e-08
1818,2.0266001610202977e-07,1.1921177378582115e-09
1819,1.9977527188075328e-07,2.898294049202832e-08
1820,2.254631459308598e-07,0.0
1821,2.1004970562898961e-07,2.9584463767662328e-09
1822,1.9148926355683216e-07,0.0
1823,1.8381797417532653e-07,4.941343334508019e-09
1824,1.1957980028398651e-07,8.421112696055388e-10
1825,2.932212508355292e-07,0.0
1826,1.1186140369545683e-07,2.642395191543301e-09
1827,1.4931982822430356e-07,4.608636583469661e-09
1828,1.6051527040872315e-07,9.172301251858528e-10
1829,1.8603791507310063e-07,0.0
1830,3.1832348135196753e-07,1.0436835840010872e-09
1831,1.38761739654214e-07,0.0
1832,1.4882965615470312e-07,0.0
1833,3.104412300558579e-07,6.950177322551099e-09
1834,2.2962945855908856e-07,2.240287422239362e-08
1835,2.1101014624491654e-07,2.0420337421001022e-08
1836,1.8885307717653177e-07,0.0
1837,2.0456199401053254e-07,4.174734336004349e-09
1838,1.6979716122023092e-07,4.418513555037862e-09
1839,1.7059198764712846e-07,1.2584655095793096e-08
1840,1.7389249640231697e-07,6.369688665408546e-10
1841,1.489567313939233e-07,6.420548537278137e-09
1842,1.2678621041928295e-07,6.708265054555795e-10
1843,1.5417037246834298e-07,8.860366662588604e-09
1844,1.1306436009661525e-07,2.744280691580059e-09
1845,6.807878349945895e-08,8.928364714222425e-09
1846,8.313391930414582e-08,1.5807153141977892e-08
1847,8.41342897572872e-08,7.011190739092399e-09
1848,7.642960653253539e-08,4.02261068899179e-09
1849,7.122502498901895e-08,3.3517659758786067e-09
1850,7.53578577317171e-08,6.788996032014438e-10
1851,6.90089914101577e-08,2.3862924081186065e-08
1852,1.2109614822009007e-07,3.906327261660181e-09
1853,1.260077588938202e-07,3.5831591027601917e-09
1854,1.1534374833033212e-07,9.352196350675968e-09
1855,9.127931832608738e-08,1.2736649068756378e-08
1856,9.991975602474668e-08,2.0708756931497874e-09
1857,1.0446429238308852e-07,2.9289055625270066e-09
1858,1.3506546281405463e-07,2.4468380654951716e-09
1859,1.2934120241503422e-07,8.147477359443656e-09
1860,1.281611448078479e-07,1.327383358784573e-08
1861,1.4713807061639272e-07,1.6977470096435354e-08
1862,1.486417464668932e-07,5.873382252774562e-09
1863,1.378515337435715e-07,4.994620828036034e-09
1864,1.3808816845539695e-07,3.835782358407869e-09
1865,9.225414704383539e-08,3.294791106611683e-09
1866,1.0363755720277368e-07,6.811858188626729e-09
1867,1.2374669466908017e-07,6.79393608038481e-09
1868,1.1015918943702019e-07,1.72895588956834e-08
1869,1.2159963236335614e-07,4.883519033604955e-09
1870,1.536725093842506e-07,7.454262984651905e-09
1871,6.266494367856978e-08,3.18635318130589e-09
1872,8.829115505371021e-08,9.071008832961525e-09
1873,8.200826018267549e-08,2.2148216372031015e-08
1874,9.499628728093512e-08,3.5847653734322193e-09
1875,1.218685312665002e-07,6.293679799540541e-09
1876,1.0520065596431039e-07,5.441413319928756e-09
1877,1.9667715378535178e-07,9.895705588292003e-09
1878,2.9349971697456567e-07,1.3285995414946683e-08
1879,1.3501609119614955e-07,1.5273313058727922e-08
1880,1.9574431320279473e-07,8.984985200299889e-09
1881,1.1922988063517437e-07,2.2312024727799695e-08
1882,1.1713477610086898e-07,9.983077475794744e-09
1883,1.2385904391010172e-07,1.0110942305630033e-08
1884,1.3335427606619987e-07,4.621187876807653e-09
1885,1.0248560755599101e-07,3.2228177904158883e-09
1886,9.292987668274577e-08,3.355801081461607e-08
1887,7.442974159221905e-08,1.566941953967671e-08
1888,8.179393273799462e-08,7.60873763994141e-09
1889,7.580815619689929e-08,2.7566601445982997e-08
1890,6.554386655643896e-08,1.769684337959987e-08
1891,8.350228242193225e-08,3.824531802365527e-09
1892,5.140180192597654e-08,6.8953633913793055e-09
1893,6.89742667425719e-08,3.0792082772457263e-09
1894,1.0649601733803138e-07,1.5753848003896564e-08
1895,6.861220569476245e-08,6.018614495673091e-10
1896,7.607167251677538e-08,1.47425724961181e-08
1897,6.817254760704827e-08,4.661370844871726e-09
1898,5.4320205666869015e-08,1.4145886906291594e-08
1899,6.909473171390346e-08,8.291367592505594e-09
1900,8.772879833696123e-08,1.5573159428683425e-09
1901,6.985923667324201e-08,5.58873880507349e-09
1902,5.990546014800202e-08,1.9641135384773634e-09
1903,4.158169653045718e-08,4.320176216765503e-09
1904,5.8045952933127865e-08,3.7622376325430196e-09
1905,5.212366521734069e-08,5.160758931310738e-09
1906,4.835533462532737e-08,5.144184411776109e-09
1907,7.508551180812617e-08,5.142843206851211e-09
1908,7.367083521003792e-08,4.4202499438483756e-09
1909,7.206288454852938e-08,4.400786846048277e-09
1910,5.4510337355040406e-08,6.947395991829808e-09
1911,4.735132996813718e-08,1.5961122423746588e-09
1912,7.501566834378082e-08,4.688478938419394e-09
1913,1.2727175668914015e-07,6.893886461689647e-09
1914,8.370929860390675e-08,2.0090231700464756e-09
1915,3.887651434109074e-08,2.3561523843085297e-09
1916,1.2086207812345151e-08,0.0
1917,4.934891073560266e-08,0.0
1918,3.79050408838566e-08,0.0
1919,5.7088659133341935e-08,1.8415696745321952e-09
1920,5.3762844842708546e-08,0.0
1921,1.1207665906454167e-07,2.2718242842501013e-09
1922,1.1804696997685937e-07,2.951174193910333e-09
1923,6.900366411599634e-08,1.0615948120573648e-09
1924,7.09039369439779e-08,2.578324886925998e-09
1925,6.708888511397504e-08,0.0
1926,6.79914426982009e-08,0.0
1927,1.0814748030441024e-07,3.3447675740205796e-09
1928,8.798051664982154e-08,3.4278122562625413e-09
1929,8.800921280638363e-08,0.0
1930,1.0503603853351251e-07,2.100720708497761e-09
1931,7.299428173013212e-08,1.1405356659111021e-09
1932,9.425201463741928e-08,7.6716757391182e-09
1933,9.520649668637304e-08,1.1470662197865522e-09
1934,9.585264137967897e-08,2.3963160344919743e-09
1935,9.574627135577884e-08,0.0
1936,7.153581371710516e-08,4.849885826274658e-09
1937,4.910535889024459e-08,3.777335333410292e-09
1938,5.963998495062128e-08,9.075650453382877e-09
1939,3.211750687626136e-08,1.5294050470515685e-09
1940,7.100191878883777e-08,0.0
1941,1.1215709783130023e-07,0.0
1942,6.371844740726829e-08,3.034211770724937e-09
1943,6.677441199975931e-08,0.0
1944,8.675602458652065e-08,0.0
1945,7.842614380138002e-08,0.0
1946,8.909507087651036e-08,0.0
1947,7.152522862874378e-08,4.7683483828109274e-09
1948,9.45854274903013e-08,2.174377566888097e-09
1949,6.282885278707795e-08,9.817008317369869e-10
1950,4.147791021757996e-08,5.317680518146517e-09
1951,5.970384997500133e-08,3.1984206394497505e-09
1952,5.799642188719645e-08,0.0
1953,6.464296520292123e-08,4.3095309543161875e-09
1954,5.277169434769746e-08,2.9317608341017376e-09
1955,7.883910368988722e-08,2.815682353940474e-09
1956,7.936238799466366e-08,4.360570571293465e-09
1957,8.39328593293942e-08,4.417518795207798e-09
1958,5.4596806187134916e-08,0.0
1959,4.2629114460623896e-08,3.100299128533379e-09
1960,9.550750013076481e-08,0.0
1961,6.114380157740129e-08,6.948159270159238e-10
1962,6.278537156845232e-08,0.0
1963,8.729172185084622e-08,1.2932106496776896e-09
1964,4.623815813564747e-08,6.083968329129164e-10
1965,8.59110838580257e-08,3.830430472806512e-09
1966,7.366969256850098e-08,1.6617224263271169e-09
1967,7.642020039000386e-08,2.465167847631733e-09
1968,1.3833560785769805e-07,9.881114926280077e-09
1969,6.994306778196346e-08,5.450109363813738e-09
1970,7.909806853945156e-08,2.759235007143701e-09
1971,9.300499703712717e-08,3.083038491169532e-09
1972,1.769900617176745e-07,2.0520587451500205e-09
1973,7.167164683963279e-08,4.410563136936219e-09
1974,5.569315963960264e-08,2.250228725575454e-09
1975,5.140332159925265e-08,3.4268881066168433e-09
1976,6.284879372486785e-08,2.856763492431469e-09
1977,4.936496633689558e-08,1.7630346071939584e-09
1978,7.36633321007929e-08,2.9702956760857546e-09
1979,4.915657725312883e-08,1.1703946700691858e-09
1980,5.855705387247667e-08,1.7055452050662723e-09
1981,6.768337890150633e-08,1.897664858585557e-09
1982,6.642027328140898e-08,3.1037510339615437e-09
1983,6.94684785251809e-08,1.89459470334441e-09
1984,6.958810372381663e-08,5.219107812592938e-09
1985,5.5343134963692364e-08,8.42178138338312e-09
1986,4.975422962516518e-08,0.0
1987,6.966331089763855e-08,4.277571907795874e-09
1988,5.396898550280582e-08,0.0
1989,6.366221461107102e-08,2.7440609784434855e-09
1990,5.993515972413377e-08,4.358920779878872e-09
1991,8.968041687040795e-08,5.861465202094962e-10
1992,7.052728356882199e-08,0.0
1993,6.813224939783424e-08,1.1078414852150331e-09
1994,4.74743404588196e-08,2.1099706426497278e-09
1995,7.64565588617927e-08,1.626735190995987e-09
1996,6.352329640080256e-08,5.338092190498855e-10
1997,7.096443965792787e-08,1.917957792585412e-09
1998,6.627699811190269e-08,0.0
1999,6.581089673218798e-08,1.3710603763428253e-09
