year,quels_PRON ont_VERB,quels_ADJ sont_VERB
1800,5.973912564627426e-07,8.410639566136524e-06
1801,8.000773732419475e-07,9.748561183187121e-06
1802,5.102275508761522e-07,8.049511137642185e-06
1803,4.5637936807452206e-07,8.275289133052866e-06
1804,5.413353534322596e-07,9.506738933851011e-06
1805,4.0368863096773566e-07,7.655869808331772e-06
1806,6.426122070024576e-07,7.5442096658662194e-06
1807,5.01064093327841e-07,8.902428476176283e-06
1808,4.940041264944739e-07,7.77716604716261e-06
1809,4.7439640837865227e-07,7.511276692184765e-06
1810,6.996979351470145e-07,7.766880798953935e-06
1811,4.613021360455605e-07,6.312819095910527e-06
1812,5.147711874542438e-07,8.142986757775361e-06
1813,4.6011867027573317e-07,8.382786745642079e-06
1814,6.38775475181319e-07,8.2631742088779e-06
1815,4.693168875746778e-07,7.657417484097095e-06
1816,5.029200593753558e-07,7.808007524090499e-06
1817,4.7017577031738256e-07,6.6058136667379586e-06
1818,5.722165212773689e-07,8.026528689697443e-06
1819,5.154822915187651e-07,8.679355346430384e-06
1820,5.363649577816432e-07,8.386042225083656e-06
1821,6.429690273535016e-07,8.245190599609487e-06
1822,5.734652290811937e-07,7.726741955593752e-06
1823,6.937646332971781e-07,7.336906605814875e-06
1824,5.498986723750932e-07,7.360052620697388e-06
1825,5.071935262890293e-07,6.5785464471446176e-06
1826,5.205518789352936e-07,7.667350246265414e-06
1827,6.45209127014823e-07,8.101982928110374e-06
1828,5.118144059679253e-07,8.673328068198316e-06
1829,6.146967166387185e-07,7.946476841880212e-06
1830,6.710885571692415e-07,7.98313556060748e-06
1831,5.753154965759677e-07,7.896945646734821e-06
1832,5.006088770187489e-07,7.529428160069074e-06
1833,4.587117032883725e-07,8.223217662362003e-06
1834,5.992768663531933e-07,7.999692911653256e-06
1835,6.753837240580651e-07,8.315615218634775e-06
1836,5.746241313886458e-07,7.353172861712665e-06
1837,6.679575363932599e-07,7.099136098531744e-06
1838,5.863998566724149e-07,6.592421698314865e-06
1839,6.348259660171607e-07,7.07607193817239e-06
1840,6.427015932786162e-07,8.101606795207772e-06
1841,6.29213772640469e-07,7.675123924855143e-06
1842,5.661775688281523e-07,8.501384400005918e-06
1843,7.448614951499621e-07,8.090696326235047e-06
1844,5.274507515196092e-07,7.794305929564871e-06
1845,7.070148839716239e-07,7.885419961439766e-06
1846,6.949293265279266e-07,8.265970393495081e-06
1847,7.199953699910111e-07,8.091453253200598e-06
1848,7.771684238377929e-07,8.836067308948259e-06
1849,9.158700464695357e-07,8.636662926164718e-06
1850,7.05376706378047e-07,7.89424473168765e-06
1851,6.642922016908415e-07,7.650324391761387e-06
1852,6.158975978109993e-07,7.618640381679143e-06
1853,5.965959957165978e-07,7.531203038979584e-06
1854,5.964622857845825e-07,7.267175988090457e-06
1855,7.594227042773127e-07,6.598645654776192e-06
1856,7.046154451018083e-07,7.3961325597338146e-06
1857,6.921980002516648e-07,6.3474264777596545e-06
1858,6.278586255348273e-07,6.904976885380165e-06
1859,6.528166238695121e-07,6.450255739309796e-06
1860,6.078500405237719e-07,6.753634806955233e-06
1861,5.876090938272682e-07,7.3649204068715335e-06
1862,6.749871488409553e-07,7.251819909015467e-06
1863,5.943598750945966e-07,7.279660053427506e-06
1864,6.376988039846765e-07,6.948519853722246e-06
1865,5.784711518685981e-07,7.378449311090662e-06
1866,6.544249373519051e-07,7.2492765639253776e-06
1867,8.497273142893391e-07,7.1967195367506065e-06
1868,7.992715893578861e-07,7.368810031493922e-06
1869,6.109282537636318e-07,7.251537681440823e-06
1870,6.920997179804544e-07,7.230062124108372e-06
1871,5.491148442615668e-07,7.383842500985338e-06
1872,6.289233027700902e-07,7.238665091335861e-06
1873,7.033555249336132e-07,7.273593951140356e-06
1874,5.257656141566258e-07,6.625841479035444e-06
1875,7.500921839209695e-07,7.1541976467415225e-06
1876,6.281809277197681e-07,6.629455413076357e-06
1877,6.630122584283527e-07,6.2423348197171435e-06
1878,5.634469744109083e-07,6.1900661023628345e-06
1879,7.19067571708365e-07,6.551029429147093e-06
1880,5.904418571844872e-07,6.288847373525641e-06
1881,6.289201763820529e-07,6.549973477376625e-06
1882,5.923292718534867e-07,6.33459541177217e-06
1883,5.965456040257777e-07,6.198007497459912e-06
1884,5.670857774475735e-07,6.008864431805705e-06
1885,6.013778062197161e-07,6.299964269373959e-06
1886,5.491897709930527e-07,6.150796423298743e-06
1887,6.829255028151238e-07,6.545899680077127e-06
1888,6.004562038697259e-07,5.93227920830941e-06
1889,5.958145123940994e-07,6.082194772716321e-06
1890,5.728533665205759e-07,6.229288800341237e-06
1891,5.908902096507518e-07,6.195741661940701e-06
1892,6.50671566404526e-07,6.046606955578682e-06
1893,6.546396917883612e-07,6.455252389514499e-06
1894,6.339348743722439e-07,5.780401920674194e-06
1895,6.807053125612583e-07,6.179311469622917e-06
1896,6.887729995241898e-07,6.024404825666352e-06
1897,6.700720831531726e-07,5.848855153089971e-06
1898,6.314724174671937e-07,5.970130217747283e-06
1899,6.284856652882809e-07,6.298122627867997e-06
1900,7.111742661436438e-07,6.028889316667119e-06
1901,6.158790313293139e-07,6.357190557082504e-06
1902,5.033041077240341e-07,5.415552095655585e-06
1903,5.443422139705945e-07,5.8792196568902e-06
1904,6.073326659361555e-07,5.9475604530234705e-06
1905,5.692317301964067e-07,6.169171371084303e-06
1906,5.48884500517488e-07,5.70232867858067e-06
1907,5.847413007131763e-07,5.6638134253717e-06
1908,4.940857465385307e-07,5.718821626032877e-06
1909,4.730845972744646e-07,5.688566886874469e-06
1910,5.07159882090491e-07,5.676022368561462e-06
1911,5.623635388474213e-07,5.849219178344356e-06
1912,5.073976154790216e-07,5.694418177881744e-06
1913,4.884053481646333e-07,5.572912073148473e-06
1914,4.38636710953233e-07,5.364761392456785e-06
1915,5.31312366547354e-07,5.177645050480351e-06
1916,5.241019493951171e-07,5.132243728667163e-06
1917,4.244006177600568e-07,5.097194048175879e-06
1918,4.502659365357431e-07,5.009208592809955e-06
1919,4.2816494527642135e-07,4.975921058303356e-06
1920,3.8466938434567055e-07,4.928008593196864e-06
1921,4.369475163912284e-07,5.098730639474525e-06
1922,4.6112096185879636e-07,5.109958266302783e-06
1923,4.426850210847988e-07,5.328144141003577e-06
1924,4.512068585427187e-07,4.998082943075133e-06
1925,3.6843896822347233e-07,4.959078552246865e-06
1926,3.611348731169528e-07,4.865289554345509e-06
1927,3.868780922289261e-07,4.66037579371914e-06
1928,4.0448185956165617e-07,4.8594953625524795e-06
1929,3.8880019559428547e-07,4.997586245281127e-06
1930,4.4220169570508006e-07,4.678304804883737e-06
1931,3.9120372008483173e-07,4.733223107677986e-06
1932,3.8029590854193884e-07,4.439708320091995e-06
1933,4.393263708379891e-07,4.54467630106592e-06
1934,4.409221432410959e-07,4.930420089976906e-06
1935,3.123722223108416e-07,4.380392198299887e-06
1936,3.2130493821114214e-07,4.9262714298947685e-06
1937,3.7143797726457706e-07,4.9760100182538736e-06
