year,pouvons_VERB avoir_VERB,pouvons_VERB savoir_VERB
1800,6.885720154059527e-07,2.200915076855381e-07
1801,5.595779271061474e-07,2.0716288418043405e-07
1802,5.930276074650465e-07,1.1636768704192946e-07
1803,5.851017590430274e-07,9.166594594489652e-08
1804,6.327938422145962e-07,1.878606781247072e-07
1805,5.00346459375578e-07,1.3361525930122298e-07
1806,6.080321668378019e-07,2.4782355012575863e-07
1807,3.046241943138739e-07,1.1103124819555887e-07
1808,4.486826412630762e-07,1.4049658147996524e-07
1809,5.421672994998517e-07,1.3780086760561971e-07
1810,4.3058332721557235e-07,2.8081521108447305e-08
1811,3.133845893898979e-07,1.780024518893697e-07
1812,3.4673706750254496e-07,1.8137015445063298e-07
1813,3.4221326927763585e-07,1.6966875193702435e-07
1814,3.1152103474596515e-07,1.1013369771717407e-07
1815,4.42344656903515e-07,6.203614333344376e-08
1816,4.774263970830361e-07,1.969963250303408e-07
1817,5.760431349699502e-07,1.9616605584360514e-07
1818,4.911524911221932e-07,1.3709353652302525e-07
1819,5.827641302857955e-07,2.4635500039948965e-07
1820,5.992573051116779e-07,8.662531314485022e-08
1821,7.524315606133314e-07,1.9821591479285416e-07
1822,6.787341817471315e-07,2.1855842646800738e-07
1823,6.255741027416661e-07,1.2847492314449482e-07
1824,6.905312375238282e-07,1.4905369027928828e-07
1825,6.102172278588114e-07,1.5937851571834472e-07
1826,4.870815359936387e-07,1.8937166146315576e-07
1827,4.737678409583168e-07,1.6038055150602304e-07
1828,6.594884780497523e-07,1.164882235116238e-07
1829,6.044089104761952e-07,1.431720448863416e-07
1830,5.531522901947028e-07,2.0560567293159693e-07
1831,5.799928430860746e-07,2.104812892866903e-07
1832,5.506697675627947e-07,1.312406965325863e-07
1833,5.421138098427036e-07,2.2703912350152677e-07
1834,5.161995773050876e-07,1.8482371899608552e-07
1835,5.967276592855342e-07,2.3143049077134492e-07
1836,6.855165111119277e-07,2.3657040060243162e-07
1837,5.134923526384227e-07,1.941251639436814e-07
1838,5.453707672131713e-07,1.4517972601879592e-07
1839,6.634909937019984e-07,1.566090475080273e-07
1840,6.573518476216123e-07,1.4522889557611052e-07
1841,6.247193482522562e-07,1.1749603601174385e-07
1842,6.889388259878615e-07,2.891262340654066e-07
1843,6.952434432605514e-07,1.7070972546662233e-07
1844,7.255878244905034e-07,2.069187559072816e-07
1845,5.836918148816039e-07,1.506661533312581e-07
1846,5.427122573564702e-07,1.7914774730343197e-07
