year,ses_DET îles_NOUN,ses_DET iles_NOUN,ses_DET cils_NOUN
1800,4.3389470505417194e-07,2.2009150946189493e-08,9.432493897065797e-09
1801,2.619300805140057e-07,1.6668277424969347e-08,2.6193008650921e-08
1802,3.849085032925359e-07,1.7902721083373763e-08,8.951360541686881e-09
1803,1.7553052944485614e-07,5.070882092006457e-08,2.145373123596528e-08
1804,4.2268651512245015e-07,1.7302956623055366e-08,2.4718509461507665e-09
1805,2.5870187414511747e-07,1.1371510844071508e-08,2.2743021466098412e-08
1806,2.0459850702536642e-07,0.0,4.3225035994964855e-08
1807,1.7651121630990474e-07,2.562259648897225e-08,2.562259560079383e-08
1808,2.7646103717415826e-07,1.3596443970698147e-08,2.2660739951163578e-09
1809,3.4337264054329353e-07,6.7770915546105925e-09,2.0331274441787173e-08
1810,1.8721014605205255e-07,1.6380887313260928e-08,2.3401267590372754e-09
1811,1.579458341893769e-07,2.2563691359778204e-08,1.0028307073639553e-08
1812,3.78743580053964e-07,1.8670457180292033e-08,2.1337665856435706e-08
1813,1.4091134414861983e-07,1.1502966579257645e-08,4.601186631703058e-08
1814,3.618678761085903e-07,1.8880061958270744e-08,3.1466771410748606e-09
1815,2.6972236688571627e-07,5.394447111228828e-09,1.6183340889597275e-08
1816,2.2017236567251075e-07,4.6352077731626196e-09,3.476405652236281e-08
1817,2.693390968033782e-07,9.341240447824362e-09,1.8682481339737933e-08
1818,3.433298989552469e-07,1.192117760062672e-08,8.344824387052086e-09
1819,1.8528379541749018e-07,2.0702100700376036e-08,1.7596784473994376e-08
1820,5.684044559473023e-07,9.493184904840746e-09,2.610625848831205e-08
1821,2.50481804964231e-07,1.676452932031225e-08,2.859831660373402e-08
1822,1.965020715033461e-07,2.2056354964661296e-08,1.1028177482330648e-08
1823,2.9252754529807135e-07,2.2730180404550993e-08,3.360113609574e-08
1824,2.560018250719054e-07,1.6842225392110777e-08,3.9579228783281906e-08
1825,3.4605392329467577e-07,1.6730341556581152e-08,3.522177394188475e-08
