year,diverses_ADJ heures_NOUN
1800,2.5153315874604232e-08
1801,1.04772034603684e-07
1802,3.8043282302169246e-08
1803,2.7304748684287006e-08
1804,7.4155526164076946e-09
1805,8.52863308864471e-08
1806,7.204172902675055e-08
1807,2.2775640928784924e-08
1808,2.2660739062985158e-08
1809,5.421673421324158e-08
1810,2.971960952891095e-07
1811,1.4039629547824006e-07
1812,1.2535878113340004e-07
1813,2.8757416004054903e-08
1814,1.0069366851439554e-07
1815,8.361393355471591e-08
1816,8.575134380350846e-08
1817,4.0478710161551135e-08
1818,1.0729059596314983e-07
1819,6.93520334493769e-08
1820,6.763894333516873e-08
1821,5.719663320746804e-08
1822,3.60922172149003e-08
1823,1.176039758910008e-07
1824,3.9579230559638745e-08
1825,4.0505037102178676e-08
1826,7.222546827279075e-08
1827,9.309445658800541e-08
1828,9.355747465633613e-08
1829,5.1439055681612444e-08
1830,5.635891398014792e-08
1831,1.7150327380477393e-08
1832,7.84738247716632e-08
1833,7.066013552048389e-08
1834,5.507373224133971e-08
1835,4.5378527602224494e-08
1836,9.409049983588602e-08
1837,3.896418832027848e-08
1838,8.710783561127755e-08
1839,5.173691519644308e-08
1840,6.051203910173442e-08
1841,6.998397594770722e-08
1842,3.287049921141261e-08
1843,7.147362168780091e-08
1844,7.793757017537928e-08
1845,4.854798324460674e-08
1846,5.620321119614857e-08
1847,7.280851832547341e-08
1848,6.355725190587691e-08
1849,9.133562173246901e-08
1850,9.640374187824818e-08
1851,1.012561909874421e-07
1852,7.096494414327026e-08
1853,1.1167512781184996e-07
1854,1.267742060218069e-07
1855,1.0083180512765466e-07
1856,7.29983704594872e-08
1857,1.332652033170234e-07
1858,5.872411085183771e-08
1859,1.863735394902477e-07
1860,1.1351415807325793e-07
1861,9.243289178506586e-08
1862,1.0436548381065336e-07
1863,8.740586121547267e-08
1864,9.685350477184329e-08
1865,8.048703836749382e-08
1866,8.368854348406174e-08
1867,9.948263723913442e-08
1868,1.3782248231564154e-07
1869,8.30198263468418e-08
1870,1.25575664089439e-07
1871,9.45284810427438e-08
1872,9.73621624433818e-08
1873,6.045864270332046e-08
1874,1.0515312309777869e-07
1875,8.124568751100014e-08
1876,1.3059391856806712e-07
1877,1.3668443121783724e-07
1878,1.1776222663684166e-07
1879,1.5884245696540233e-07
1880,1.04610891726864e-07
1881,9.761510710859511e-08
1882,8.91821585469188e-08
1883,1.0995649812883812e-07
1884,8.450172295226821e-08
1885,1.0635299219075023e-07
1886,9.099384357114104e-08
1887,1.0315700571528197e-07
1888,1.1032669688937347e-07
1889,6.515742229096233e-08
1890,1.1273544942014269e-07
1891,1.1218627338216436e-07
1892,9.966935010652378e-08
1893,5.665743074700913e-08
1894,8.948185836743505e-08
1895,8.30568818166455e-08
1896,7.960989240052285e-08
1897,6.001514807341124e-08
1898,8.657283245838698e-08
1899,7.351679442990644e-08
1900,6.800279805929677e-08
1901,8.047784311182582e-08
1902,7.70914582171045e-08
1903,5.6702312178913417e-08
1904,5.105894107515496e-08
1905,5.676834913259654e-08
1906,7.510509164587731e-08
1907,1.208568249921882e-07
1908,7.12151404513861e-08
1909,5.5559932987669924e-08
1910,6.787071693548086e-08
1911,9.31065475828774e-08
1912,6.251305312288125e-08
1913,7.477215213658184e-08
1914,1.1384464215780099e-07
1915,3.416420912838447e-08
1916,7.25172510929184e-08
1917,9.979446036201267e-08
1918,7.121553124989077e-08
1919,4.9722380879302364e-08
1920,5.3005622557833476e-08
1921,1.1510576275464146e-07
1922,7.156597092716765e-08
1923,4.989495661078536e-08
1924,7.477142105472012e-08
1925,8.688560626524122e-08
1926,4.7928395474627905e-08
1927,5.6861046648926106e-08
1928,6.055801549109674e-08
1929,7.01845621620123e-08
1930,7.772666776872938e-08
1931,5.5886247629644004e-08
1932,4.822196197906692e-08
1933,3.0970788600370724e-08
1934,5.870974462141021e-08
1935,4.4282651323612754e-08
1936,4.607391446143083e-08
1937,6.169647714937554e-08
1938,5.0564334941327616e-08
1939,3.6705722905594484e-08
1940,3.550096194793184e-08
1941,5.017554371988808e-08
1942,6.675266206457309e-08
1943,6.67744117777147e-08
1944,5.1410978585408884e-08
1945,3.703456741277478e-08
1946,4.733175273941015e-08
1947,5.9604353452868963e-08
1948,5.218506160531433e-08
1949,3.6322930441201606e-08
1950,5.530387880980925e-08
1951,5.543929049167673e-08
1952,2.4253048791500476e-08
1953,2.477980309834038e-08
1954,2.8340354063516315e-08
1955,2.9095384324051565e-08
1956,5.0582621868855426e-08
1957,3.799066305987253e-08
1958,3.3088973006023537e-08
1959,4.340418868764573e-08
1960,2.2838749558218296e-08
1961,4.377340445671507e-08
1962,3.99543260698465e-08
1963,4.2029345337368795e-08
1964,5.41473177406715e-08
1965,3.283226135408768e-08
1966,3.3234450191876874e-08
1967,2.317257785655613e-08
1968,3.458390196442451e-08
1969,2.952142613699138e-08
1970,2.8052221878738237e-08
1971,2.671966659040237e-08
1972,2.513771873990933e-08
1973,2.4809416521165417e-08
1974,2.2502286256553816e-08
1975,1.8276736124533954e-08
1976,1.9425991482080462e-08
1977,4.760193306196925e-08
1978,1.663365545301332e-08
1979,4.447499790671827e-08
1980,5.344041653643217e-08
1981,4.933928465788995e-08
1982,3.227901146374279e-08
1983,3.157657957331139e-08
1984,1.333771937339634e-08
1985,1.2031115659283387e-08
1986,2.577628693822831e-08
1987,2.0165694891716157e-08
1988,1.8589316697070757e-08
1989,2.3050113373557224e-08
1990,2.0160008384895178e-08
1991,1.5825955934634095e-08
1992,1.4876849585565566e-08
1993,1.3848019009277124e-08
1994,1.476979427650349e-08
1995,1.7894087434022765e-08
1996,1.5480466686312866e-08
1997,1.3425704992187093e-08
1998,1.1920323395031573e-08
1999,1.2796563642059056e-08
2000,8.394259620736477e-09
2001,1.0953029233595757e-08
2002,1.752488643091965e-08
