year,voulais_VERB avoir_VERB,voulais_VERB savoir_VERB
1800,4.7162465932615305e-08,5.345079756580162e-08
1801,3.333655484993869e-08,3.809892135109294e-08
1802,3.8043282302169246e-08,5.147032311469957e-08
1803,2.5354410126965377e-08,7.216254971353919e-08
1804,1.4336735887354735e-07,4.943701981119375e-08
1805,1.9900143755080535e-08,7.391481915419718e-08
1806,1.152667650217154e-08,8.645007376628655e-09
1807,1.1387820464392462e-08,6.263301344233696e-08
1808,4.078933102391602e-08,5.891792298484688e-08
1809,1.1295152546608733e-07,5.421673421324158e-08
1810,3.978215445954447e-08,8.190443878675069e-08
1811,2.0056614147279106e-08,3.760615285841595e-08
1812,3.7340914360584065e-08,1.0935553973467904e-07
1813,4.3136125782439194e-08,6.614205716459765e-08
1814,4.405347908686963e-08,3.1466772298927026e-08
1815,4.8550024445148665e-08,2.6972236000233352e-08
1816,5.7940098940889584e-08,4.1716869958463576e-08
1817,4.826307531402563e-08,1.2454987086130132e-07
1818,9.894576891156248e-08,7.987188865854478e-08
1819,6.210630232317271e-08,2.898294049202832e-08
1820,4.153268307049984e-08,1.091716228529549e-07
1821,1.1340711836282935e-07,1.2524090209353744e-07
1822,4.712039469723095e-08,1.5639960793123464e-07
1823,6.522573414713406e-08,1.2254531611688435e-07
1824,4.8000341479337294e-08,5.642145595174952e-08
1825,8.805442774928451e-08,8.893497494000258e-08
1826,5.460950447400137e-08,6.78214817639855e-08
1827,5.8068820862899884e-08,6.636436467033491e-08
1828,9.997808092521154e-08,8.163348041989593e-08
1829,1.1316592463117559e-07,8.744639501401252e-08
1830,1.0958677876260481e-07,1.5237780814914004e-07
1831,5.14509785887185e-08,1.3096612860863388e-07
1832,8.253281436054749e-08,1.6506562872109498e-07
1833,8.68772147555319e-08,1.5522061858064262e-07
1834,1.0267984151823839e-07,1.0828055962974759e-07
1835,1.194967893525245e-07,1.3613558280667348e-07
1836,8.333729795140243e-08,1.3239878171589226e-07
1837,7.375364674544471e-08,1.871672594688789e-07
1838,8.900148174006972e-08,9.910094433962513e-08
1839,6.362242288560083e-08,7.2012191765225e-08
1840,5.350538501147639e-08,1.1656530318759906e-07
1841,9.695028069245382e-08,1.4767262257464608e-07
1842,6.507016792056675e-08,1.6032753080708062e-07
1843,5.7887728388550386e-08,1.4412863436064072e-07
1844,6.202074587235984e-08,1.0538037997775973e-07
1845,6.138250796539069e-08,1.3559953515596135e-07
1846,5.73741125720062e-08,1.200172761173235e-07
1847,6.633665350364026e-08,1.0193192423457731e-07
1848,7.803865287314693e-08,1.504456434986423e-07
1849,6.284561493430374e-08,1.248532868203256e-07
1850,4.2091777174846357e-08,1.357799135348614e-07
1851,5.546517201082679e-08,1.335033772420502e-07
1852,4.6224872818356744e-08,1.2695564066689258e-07
1853,5.6733352238325097e-08,1.30188112734686e-07
1854,4.624141425324524e-08,8.572846610377383e-08
1855,8.544168395019369e-08,1.358575900667347e-07
1856,5.901995692170203e-08,1.3305376000971592e-07
1857,9.763018482544794e-08,9.958278468502613e-08
1858,5.9213480341213653e-08,1.6393815371884557e-07
1859,8.860381939257422e-08,1.4512694690438366e-07
1860,7.277722602339054e-08,1.4280813331879472e-07
1861,8.86601156935285e-08,1.5421201737808587e-07
1862,5.69266269678792e-08,1.301180105883759e-07
1863,5.743813957792554e-08,1.388504529131751e-07
1864,6.281093334337129e-08,1.6254128354376007e-07
1865,5.883555331820389e-08,1.7838939925240993e-07
1866,5.5954547661940524e-08,1.3380434893406346e-07
1867,6.69687949539366e-08,1.3976097079648753e-07
1868,5.77965266757019e-08,1.274487573255101e-07
1869,6.788091866383184e-08,1.797135098513536e-07
1870,7.282241654138488e-08,2.075725689110186e-07
1871,7.328612383616928e-08,1.8799484280407341e-07
1872,1.0582844112150269e-07,1.8746752061815641e-07
1873,6.824045328812645e-08,1.4665711489669775e-07
1874,7.946230340394322e-08,2.2225546558729548e-07
1875,1.1843561509294886e-07,1.556255426748976e-07
1876,6.650616057868319e-08,1.8863566708660073e-07
1877,6.617753456339415e-08,1.6266065472336777e-07
1878,5.978697714681402e-08,9.904105269242791e-08
1879,9.04180126326537e-08,1.521221975053777e-07
1880,7.123809098175116e-08,1.1487944817645257e-07
1881,6.414706632540401e-08,1.5967042088504968e-07
1882,6.655385220710741e-08,2.1297232422057277e-07
1883,5.8769852984141835e-08,1.4218512944808026e-07
1884,6.40364632431556e-08,1.6372209188375564e-07
1885,6.1878104418156e-08,1.1602143956679356e-07
1886,6.388929563172496e-08,9.228453023979455e-08
1887,7.834709236931303e-08,1.8085121666899795e-07
1888,5.833365435137239e-08,1.242760419017941e-07
1889,5.951880055476977e-08,1.1465200344673576e-07
1890,6.423298515301212e-08,1.428856251095567e-07
1891,4.079500826037474e-08,1.1473596117639318e-07
1892,5.390920776449093e-08,1.297582059578417e-07
1893,5.665743074700913e-08,1.4780199819597328e-07
1894,4.7891699495039575e-08,1.373735614151883e-07
1895,7.282523739604585e-08,1.1977043357092043e-07
1896,5.955999426987546e-08,1.1676117139813869e-07
1897,5.2440423559119154e-08,1.3401441378846357e-07
1898,6.620275172508627e-08,1.1825962076272845e-07
1899,5.140648084989152e-08,1.5698321931267856e-07
1900,5.917800649513083e-08,1.4171574491683714e-07
1901,2.9061443029831935e-08,8.886095059779109e-08
1902,4.2228439411928775e-08,9.231333564230226e-08
1903,4.3741785304973746e-08,9.666394618079721e-08
1904,3.547252447333449e-08,1.0802996541769971e-07
1905,3.8705692873008957e-08,1.2179391717381804e-07
1906,3.395161840558103e-08,1.0031159547452262e-07
1907,5.708556116701402e-08,1.3319964864422218e-07
1908,4.469363901193901e-08,1.1738219996004773e-07
1909,2.6954818821423032e-08,8.306485455022994e-08
1910,5.878565900729882e-08,1.143648233892236e-07
1911,3.6710581241550244e-08,9.949099677442064e-08
1912,4.219631222213138e-08,1.1356538465179256e-07
1913,5.88631863251976e-08,9.704471182203633e-08
1914,3.683209115479258e-08,1.0647822534792795e-07
1915,4.712304768617059e-09,7.893110165468897e-08
1916,3.186363883855847e-08,8.020847275247434e-08
1917,5.702540661900457e-08,8.77313937053259e-08
1918,5.054005569604669e-08,5.513460621386912e-08
1919,5.616787390749778e-08,9.207848705727883e-08
1920,4.543338860685253e-08,1.499301873764125e-07
1921,4.0892835784234194e-08,7.64847456480311e-08
1922,4.795657915224183e-08,9.517536625480716e-08
1923,5.6264525483129546e-08,1.8047111893793044e-07
1924,6.059063650809549e-08,1.8821771163857193e-07
1925,4.2892892793133797e-08,1.5617412429946853e-07
1926,4.458455293843144e-08,1.4824364313881233e-07
1927,9.030872405446644e-08,2.1629496416153415e-07
1928,5.484499610020066e-08,1.7024801479692542e-07
1929,5.7930112262738476e-08,2.0609752482414478e-07
1930,5.146765857944047e-08,1.6070512742771825e-07
1931,9.238338805062085e-08,1.2089678591564734e-07
1932,5.698959171240858e-08,1.0959536922428015e-07
1933,3.785318369864399e-08,1.0208889023033407e-07
1934,6.11060571031885e-08,1.6774211530901084e-07
1935,5.505410882733486e-08,1.3165112022761605e-07
1936,3.8799086610197264e-08,1.2367209478725272e-07
1937,3.903246792447135e-08,1.4605697629122005e-07
1938,3.5006078036303734e-08,1.361347585771e-07
1939,5.352917753498332e-08,1.5905811778793577e-07
1940,5.325144059042941e-08,7.100192078723921e-08
1941,6.788455664263893e-08,1.682356440824151e-07
1942,5.461581054078124e-08,1.365395263519531e-07
1943,6.096794180621146e-08,1.9741999324196513e-07
1944,5.462416652335378e-08,1.799384250489311e-07
1945,5.8819608739213436e-08,2.1131489802428405e-07
1946,6.26449718765798e-08,2.0185601101729844e-07
1947,7.867775053682635e-08,2.2768863061628508e-07
1948,6.088257009650988e-08,1.7721177414387057e-07
1949,3.7304630495782476e-08,1.560904365760507e-07
1950,4.998619829166273e-08,1.7548346420426242e-07
1951,6.929911222641749e-08,2.1216189338701952e-07
1952,4.8506098693223976e-08,1.697713400972134e-07
1953,5.4946518446286063e-08,1.5729787605778256e-07
1954,6.938500973774353e-08,1.9251896787864098e-07
1955,5.5375085850073447e-08,1.5861677127304574e-07
1956,5.05826207586324e-08,1.8401608770091116e-07
1957,4.770920369878695e-08,1.4136060144664953e-07
1958,5.9560154141991006e-08,1.9274327200946573e-07
1959,4.650448559573306e-08,1.8601794238293223e-07
1960,8.651041838447782e-08,2.4361332862099516e-07
1961,6.600751589758147e-08,1.88989929483796e-07
1962,6.024858834052793e-08,1.9913743187771615e-07
1963,4.9142006020019835e-08,1.8169609461438085e-07
1964,4.380457241381919e-08,1.928617905377905e-07
1965,4.6512369067386317e-08,1.6525571311376552e-07
1966,5.4836839069594134e-08,1.5343236725584575e-07
1967,4.092178684800274e-08,1.479100717460824e-07
1968,6.647295691664112e-08,2.3759589851124474e-07
1969,3.905911682977603e-08,2.0301656888932484e-07
1970,6.99006221793752e-08,1.6095538057925296e-07
1971,6.114692752134943e-08,1.8138543111945182e-07
1972,5.335352781798974e-08,1.5903455619081797e-07
1973,5.8991279416886755e-08,1.880002429288652e-07
1974,4.725480096112733e-08,2.312109899094139e-07
1975,4.9118728639996334e-08,1.46785041010844e-07
1976,5.142174330785565e-08,2.1368590807924193e-07
1977,5.7004783116099134e-08,2.0686272250713955e-07
1978,7.544551294813573e-08,1.92475155813554e-07
1979,6.378650851956991e-08,1.9955228935941705e-07
1980,6.424220089229493e-08,2.4844109702826245e-07
1981,4.617651327976091e-08,2.1506868108644994e-07
1982,5.4005269589652016e-08,1.7753455949787167e-07
1983,5.999550012347754e-08,2.2419372669446602e-07
1984,7.712681338034599e-08,2.5573626771802083e-07
1985,6.797580454076524e-08,1.726465228557572e-07
1986,8.392279937652347e-08,2.5236784040316707e-07
1987,5.866384356068011e-08,1.9615721669197228e-07
1988,4.3175187869337606e-08,1.8649282651495014e-07
1989,7.299202309241082e-08,2.733084727424284e-07
1990,6.48389431034957e-08,2.0486928065110988e-07
1991,8.030207254705601e-08,2.2039108671378926e-07
1992,5.620142928819405e-08,2.1433682206861704e-07
1993,7.311754046668284e-08,1.7836248389357934e-07
1994,7.384897315887429e-08,2.473940696745558e-07
1995,5.693573257303797e-08,1.7948312347471074e-07
1996,6.032043842196799e-08,1.6921752887810726e-07
1997,5.801822311468641e-08,1.850829249860908e-07
1998,6.103205407725909e-08,2.026454950510015e-07
1999,6.855301393215996e-08,2.097722386906753e-07
2000,6.803768570762259e-08,1.8644092847353022e-07
2001,8.061429923600372e-08,2.1073628886369988e-07
2002,8.324320788233308e-08,2.1336548172712355e-07
2003,1.200073853624417e-07,2.4709854073989845e-07
2004,9.470301165492856e-08,2.3169201313066878e-07
2005,8.782311766708517e-08,2.040198552322181e-07
2006,8.318137645346724e-08,2.3471972099287086e-07
2007,1.0665259964071083e-07,3.471202774107951e-07
2008,1.1026768476085635e-07,3.755061754873168e-07
2009,1.3827758493789588e-07,4.1817048668235657e-07
2010,1.6911178590817144e-07,6.17872103703121e-07
2011,1.7093154269787192e-07,6.74166244607477e-07
2012,2.219572792228064e-07,8.622972131888673e-07
2013,2.669192724624736e-07,1.06433014934737e-06
2014,2.732791699600057e-07,1.0103967724717222e-06
2015,2.9724276373599423e-07,1.085456915461691e-06
2016,2.8688060638160096e-07,1.0710899687182973e-06
2017,2.993577368215483e-07,1.0998252264471375e-06
2018,3.598564717322006e-07,1.2816982462027227e-06
2019,3.3086311646002287e-07,1.2856978628406068e-06
