year,des_DET herbes_NOUN,des_DET serbes_NOUN
1800,2.9618028563049847e-06,3.144164395507687e-08
1801,2.5050040903806803e-06,0.0
1802,3.3746628105291165e-06,0.0
1803,5.143044385036433e-06,9.751696339321825e-09
1804,2.9835241761588804e-06,0.0
1805,2.7860202029827974e-06,5.685755422035754e-09
1806,2.391785463906615e-06,2.881669125542885e-09
1807,1.4918045012635162e-06,2.8469551160981155e-09
1808,2.27060618840369e-06,2.2660739951163578e-09
1809,1.8998446114082412e-06,4.518061036407062e-09
1810,1.544483602344826e-06,0.0
1811,1.4816824318586441e-06,0.0
1812,1.157568366494388e-06,3.200649700829672e-08
1813,1.2308174461850285e-06,8.627225156487839e-09
1814,8.999496756700864e-07,0.0
1815,1.3836756840301945e-06,0.0
1816,3.1426708844151108e-06,0.0
1817,3.1557824105021837e-06,3.113746815941454e-09
1818,2.026600146365354e-06,2.384235475716423e-09
1819,1.6603084027622117e-06,5.175524897538253e-09
1820,1.4192311112992684e-06,0.0
1821,1.1636556465077774e-06,9.86148829262845e-10
1822,1.1970585518383814e-06,1.0025615893027862e-09
1823,1.3855527392081513e-06,3.9530747564242574e-09
1824,1.0248494568543265e-06,7.57900142644985e-09
1825,1.4044681773128787e-06,8.805443041381977e-10
1826,1.1547267622091795e-06,5.284790494108904e-09
1827,1.1908717159059279e-06,0.0
1828,1.4079482983930802e-06,2.293075357373553e-08
1829,1.3588484186755068e-06,1.714635211591542e-09
1830,1.2190224758512613e-06,1.0436835840010872e-09
1831,1.2691242181617213e-06,1.5591206103948707e-09
1832,1.177107350258666e-06,2.705993873419743e-09
1833,1.64950871983649e-06,0.0
1834,1.1789512086579634e-06,1.120143711119681e-08
1835,1.4506002941061524e-06,6.806779140333674e-09
1836,1.1479041255313405e-06,1.142527511488467e-08
1837,1.1341361698669061e-06,6.957890930081589e-10
1838,1.0093147366774247e-06,1.1361891649741551e-08
1839,9.711158863723313e-07,1.0487212986909356e-08
1840,9.76473310210224e-07,9.93671420701503e-08
1841,2.6792949974208113e-06,1.2841097074556274e-08
1842,9.71356792334177e-07,4.561620414733625e-08
1843,9.888168683858112e-07,6.43853282356055e-08
1844,1.1427184984924565e-06,3.732221642849254e-08
1845,8.42056400607305e-07,3.124927516751086e-08
1846,1.0906935923316041e-06,1.6392603718884402e-08
1847,9.76173502920119e-07,8.629157832729106e-09
1848,9.51749731470386e-07,3.057184322363682e-08
1849,9.259253435089931e-07,2.9327952066893204e-08
1850,9.742209705621008e-07,2.308258650884909e-08
1851,9.500023159247917e-07,2.902247508984601e-08
1852,1.0540573036621481e-06,5.1433307390880145e-08
1853,1.0438936519641118e-06,5.852493045743756e-08
1854,9.154760753915525e-07,7.118060096900081e-08
1855,1.1187023645220506e-06,8.650307137259006e-08
1856,9.422484454901792e-07,5.332504926514048e-08
1857,1.1017566361459785e-06,2.587199809944707e-08
1858,8.108821045738068e-07,4.746865822635726e-08
1859,8.962225361841547e-07,4.1755821911237945e-08
1860,8.275548570857438e-07,5.675708178443095e-08
1861,9.134821592482467e-07,7.828499803963496e-08
1862,8.701641398545235e-07,5.963741878112216e-08
1863,8.985322974552901e-07,2.5972028638854283e-08
1864,9.100393825178799e-07,4.9865171547480713e-08
1865,8.830040112428605e-07,5.271665731720887e-08
1866,8.11584218496364e-07,3.0166798836717135e-08
1867,8.81755854109656e-07,6.211598702066112e-08
1868,9.390700643763239e-07,1.59063944238369e-07
1869,9.376356970847155e-07,1.6896976862135205e-07
1870,1.2557566613224935e-06,5.734048658112556e-08
1871,8.581910968530337e-07,4.779529860776677e-08
1872,9.742263733514278e-07,9.010535584330626e-08
1873,7.698001613931638e-07,1.6820672499306966e-07
1874,7.671397970199223e-07,2.4495896866483235e-08
1875,8.410644731782213e-07,4.577221685009292e-08
1876,1.0544249775534809e-06,2.8476728708426435e-07
1877,9.759639763018413e-07,9.710161086307068e-08
1878,1.021813790913484e-06,9.360587571727308e-08
1879,8.821865655761485e-07,6.048231959709938e-08
1880,1.0518849986596024e-06,7.18798811583099e-08
1881,8.513431790646564e-07,1.0877111811247175e-07
1882,7.999773092848272e-07,4.991538871124135e-08
1883,8.316249964224198e-07,6.508919325742824e-08
1884,9.493240327174135e-07,5.809493419661749e-08
1885,8.05704468476165e-07,4.898683059195719e-08
1886,1.072565655846347e-06,1.0390076710109497e-07
1887,8.552891399560281e-07,7.638841892365633e-08
1888,1.1444809153715596e-06,3.931181247196491e-08
1889,9.980363024908456e-07,4.57354966121315e-08
1890,8.06844965950404e-07,5.309053108248918e-08
1891,8.739055914475102e-07,2.6134302721914082e-08
1892,8.274436522626161e-07,4.576013878931917e-08
1893,7.377782953454926e-07,8.37544647525057e-08
1894,9.193945658125813e-07,7.939939195011902e-08
1895,7.511230952772507e-07,6.199172686294219e-08
1896,7.465638773851424e-07,1.0968474012384988e-07
1897,8.396294362000845e-07,1.9169887155445764e-07
1898,7.751946231593365e-07,9.50603609162215e-08
1899,8.191871394558348e-07,6.356715331889973e-08
1900,7.080596624575719e-07,6.956011211478597e-08
1901,6.332041078138673e-07,9.333193817795404e-08
1902,5.332568200344667e-07,7.660042783408372e-08
1903,6.437062829434126e-07,1.2690517992020034e-07
1904,7.083755910741729e-07,6.772027560941751e-08
1905,6.946381496675258e-07,7.070240215512058e-08
1906,8.930304531418187e-07,1.0134043776366397e-07
