year,vos_DET eaux_NOUN,vos_DET sots_NOUN
1800,1.0375742931501009e-07,0.0
1801,1.2144030847593967e-07,7.143547975374531e-09
1802,9.84649659585557e-08,0.0
1803,5.265916058760922e-08,5.851017448321727e-09
1804,8.404293216912606e-08,2.2246657849223084e-08
1805,1.7625842474444653e-07,0.0
1806,5.76333825108577e-08,8.645007376628655e-09
1807,1.1957211132340717e-07,0.0
1808,7.024829073998262e-08,2.039466551195801e-08
1809,2.0783080856290326e-07,0.0
1810,1.193464669313471e-07,4.680253518074551e-09
1811,4.262030373070047e-08,5.0141535368197765e-09
1812,9.868670147739067e-08,0.0
1813,8.627225156487839e-08,2.8757416448144113e-09
1814,2.8320094713762956e-08,1.2586708564299443e-08
1815,5.933891955578474e-08,0.0
1816,2.5493642752394408e-08,6.952811659743929e-09
1817,6.850242650902061e-08,1.556873407970727e-09
1818,7.391129952516451e-08,7.152706427149269e-09
1819,6.728182633253255e-08,9.315945348475907e-09
1820,9.01852530432734e-08,2.3732962262101864e-09
1821,1.0354562363090736e-07,6.903041693817613e-09
1822,3.5089655625597516e-08,1.0025615893027862e-09
1823,7.412015357033397e-08,4.941343334508019e-09
1824,6.736890156844311e-08,8.421112696055388e-10
1825,1.1799293408998324e-07,1.6730341556581152e-08
1826,3.52319382557198e-08,1.7615968683770689e-09
1827,8.387718608560135e-08,3.6869092223668076e-09
1828,2.843413443587295e-08,1.8344602503717056e-09
1829,2.4862209901943544e-08,0.0
1830,5.322786122974321e-08,1.0436835395921662e-08
1831,7.016043013230444e-08,4.677361609140007e-09
1832,5.953186388296672e-08,0.0
1833,6.950177233733257e-08,3.4750886612755494e-09
1834,6.254136053485126e-08,7.467624740797874e-09
1835,7.487457054367042e-08,3.781543966852041e-09
1836,4.234072398245914e-08,2.016224964762614e-09
1837,4.0355768504696243e-08,4.87052354003481e-09
1838,5.6178239615789494e-08,1.2624323808552163e-09
1839,4.334714465148437e-08,2.0974426639952526e-09
1840,4.840963396812725e-08,3.1848443882154243e-09
1841,5.778493594732481e-08,3.2102742686390684e-09
1842,3.5553803456878086e-08,6.708265054555795e-10
1843,4.134837811031744e-08,1.7720733769266417e-09
1844,3.348022492577485e-08,1.811225303072206e-08
1845,2.8459162138005922e-08,3.9061593959388574e-09
1846,4.1566958541849885e-08,4.0981511517657054e-09
1847,2.8044762956369595e-08,2.6966118227278457e-09
1848,2.654923214606697e-08,7.24069959545659e-09
1849,2.262441967104678e-08,1.6758829879393033e-09
1850,4.1412874907109654e-08,4.073397619208663e-09
1851,4.5791015423901626e-08,5.159551008659946e-09
1852,5.403752667554329e-08,1.9531636308300904e-09
1853,3.881755716861335e-08,5.971931837933653e-10
1854,4.676097908884458e-08,2.5978321716024766e-09
1855,3.980202833986368e-08,1.5920811335945473e-09
1856,3.36517302912398e-08,8.801221973442352e-09
1857,4.393358032928063e-08,2.4407544874094356e-09
1858,3.3766365703513657e-08,3.9149408159744326e-09
1859,2.7497736532211547e-08,2.5460866748261424e-09
1860,5.8587955015232396e-08,8.238931314963338e-09
1861,5.046081197335184e-08,9.431927461278633e-10
1862,6.957699216769697e-08,1.3553959066214816e-09
1863,5.344244291549671e-08,7.991393324857654e-09
1864,8.582563282288902e-08,6.712618905169165e-09
1865,7.954566783041628e-08,1.882737743486018e-09
1866,4.3303953534135076e-08,5.352174259343201e-09
1867,4.949867715708933e-08,6.79393608038481e-09
1868,4.347089188616593e-08,0.0
1869,4.053320767916091e-08,1.953407657850903e-09
1870,4.300536593504489e-08,0.0
1871,2.230447138096281e-08,3.18635318130589e-09
1872,4.233137573805834e-08,1.1489944995446422e-08
1873,4.3697831131339626e-08,0.0
1874,3.2262889249068394e-08,5.974609140757536e-10
1875,3.4901315615343265e-08,1.1443054281912168e-09
1876,6.227394910851558e-08,1.3301232115736639e-08
1877,6.061119695033312e-08,3.0924081073635534e-09
1878,2.4760263173106978e-08,3.0195443923020093e-09
1879,2.565916623620268e-08,9.774920428640144e-09
1880,6.482024983434087e-08,1.2835692508872398e-09
1881,2.161477319351235e-08,7.669758161910067e-09
1882,2.1297232422057277e-08,6.655385131892899e-10
1883,2.1485751844352308e-08,7.58320695126713e-09
1884,1.9805090012425808e-08,4.621187876807653e-09
1885,2.127059772760731e-08,2.5782542767416317e-09
1886,2.774989432685615e-08,3.2267319927115068e-09
1887,3.3297517243457975e-08,7.834709769838355e-09
1888,7.22830080235326e-08,1.9021844099853524e-09
1889,2.380751951136517e-08,3.132568426877924e-09
1890,2.0318598359381213e-08,7.209825181320184e-09
1891,3.6970476458009216e-08,1.2748440081367107e-09
1892,3.008885940403161e-08,5.641661360300532e-09
1893,3.4487133149241345e-08,1.2316833108982905e-09
1894,4.348062176973144e-08,0.0
1895,2.9491210362664333e-08,3.0093072478365457e-09
1896,1.592197840238896e-08,1.7691086373616827e-09
1897,3.379494017963225e-08,1.7480140668268973e-09
1898,3.168678830434146e-08,5.6583548957434e-10
1899,2.2110313580014918e-08,1.1055156790007459e-09
1900,2.906989848838748e-08,2.07642125715779e-09
1901,2.6825947685438223e-08,3.353243460679778e-09
1902,1.669496474399068e-08,0.0
1903,2.75411240480139e-08,0.0
1904,1.7198800605910947e-08,3.7622376325430196e-09
1905,2.7868098939620722e-08,2.0643036169332163e-09
1906,1.3374879870298173e-08,1.0288369045596824e-09
1907,4.0628462372183094e-08,0.0
1908,2.2101251051509507e-08,4.911389073214423e-10
1909,2.8605114721358404e-08,8.251475058784763e-09
1910,2.2979847358328698e-08,1.068830135508847e-09
1911,2.4473720827700163e-08,5.320374141248863e-10
1912,2.6047105805560022e-08,0.0
1913,2.598464909908671e-08,0.0
1914,2.276892807628883e-08,6.696743715117748e-10
1915,1.8849219074468238e-08,7.068456930880984e-09
1916,8.789969641043172e-09,2.197492410260793e-09
1917,3.509255963596303e-08,0.0
1918,1.8378202071289707e-08,0.0
1919,1.8415697411455767e-08,9.207848372660976e-10
1920,4.391894270483476e-08,4.543339038320937e-09
1921,1.6660043622440668e-08,0.0
1922,2.8036154453570106e-08,2.2133805899215986e-09
1923,1.2739137744688378e-08,0.0
1924,2.5783249313349188e-08,1.289162443462999e-09
1925,2.74954441437103e-08,3.299453377181294e-09
1926,4.12407112904134e-08,0.0
1927,3.6792442870137165e-08,2.2298449753321847e-09
1928,9.14083297942625e-09,2.2852082448565625e-09
1929,3.230717737778832e-08,1.1140406375176326e-09
1930,3.7812974085227324e-08,1.05036033204442e-08
1931,1.596749932275543e-08,3.4216069977333063e-09
1932,1.643930525041526e-08,5.4797681947604815e-09
1933,1.3764794637438627e-08,0.0
1934,2.7557634396657704e-08,0.0
1935,3.949533677882755e-08,1.196828414151696e-09
1936,1.9399542861009422e-08,0.0
1937,8.813782592653752e-09,2.5182236296217297e-09
1938,2.8523471029551217e-08,7.779128452511941e-09
1939,1.8352860564618823e-08,0.0
1940,2.028626333583361e-08,0.0
1941,2.3612020783048138e-08,0.0
1942,2.7307905936524435e-08,0.0
1943,3.193558839598154e-08,0.0
1944,2.8918675454292497e-08,0.0
