year,vos_DET heures_NOUN,vos_DET soeurs_NOUN
1800,5.973912431400663e-08,6.288328968651058e-09
1801,7.143547975374531e-08,2.6193007762742582e-08
1802,7.832440473976021e-08,1.5664880947952042e-08
1803,2.925508790774245e-08,4.4857801695386e-08
1804,1.211206934748077e-07,1.4831105898949204e-08
1805,1.0802935435094696e-07,3.411453231016992e-08
1806,4.610670600868616e-08,1.4408345627714425e-08
1807,6.26330107778017e-08,2.8469550272802735e-08
1808,4.7587552121086674e-08,3.3991109926745366e-08
1809,2.4849335034105025e-08,2.0331274441787173e-08
1810,1.8018975822542416e-07,3.2761775514700275e-08
1811,8.774768422981083e-08,2.757784489659798e-08
1812,1.0402111882967802e-07,4.800974684471271e-08
1813,6.326631307729258e-08,8.052076339026826e-08
1814,6.608021863030444e-08,1.2586708564299443e-08
1815,3.776113022269101e-08,2.1577788444915313e-08
1816,3.476405652236281e-08,4.8669681618207505e-08
1817,5.137682246303399e-08,9.341240336802059e-09
1818,3.45714128435759e-08,2.384235475716423e-09
1819,3.312336027683216e-08,5.175525008560555e-09
1820,4.9839222526770754e-08,5.933240565525466e-09
1821,1.0255947635595675e-07,6.311352462873288e-08
1822,1.012587205195814e-07,9.023054303725075e-09
1823,4.941343334508019e-08,1.3835761869529506e-08
1824,6.06320114115988e-08,1.1789557774477544e-08
1825,5.195211216779683e-08,3.522177216552791e-09
1826,3.7874332003973166e-08,7.927185796674507e-09
1827,9.40161830054187e-08,2.7651818612639545e-09
1828,4.310981671640235e-08,2.1096292046607346e-08
1829,3.943660908944935e-08,1.0287811325060403e-08
1830,5.948996473215118e-08,1.0436835395921662e-08
1831,1.0757932500382594e-07,1.2472964883158966e-08
1832,8.929779782285152e-08,8.117981509236927e-09
1833,6.486832138108412e-08,1.1583628833911064e-08
1834,8.12104157255078e-08,1.0267983796552471e-08
1835,1.0437061348511634e-07,9.832014313815307e-09
1836,8.53535250255888e-08,6.72075017860152e-09
1837,8.140732354888769e-08,4.174734336004349e-09
1838,5.8703107042035185e-08,5.049729523420865e-09
1839,4.754203164480941e-08,2.0974426639952526e-09
1840,4.840963518937258e-08,4.458782232319436e-09
1841,4.879616843922463e-08,8.346713098461578e-09
1842,1.2007794669699479e-07,6.037438549100216e-09
1843,9.27385014337645e-08,5.31621990873532e-09
1844,6.696044613230256e-08,6.586273526565378e-09
1845,8.537749018877605e-08,5.022205318283568e-09
1846,5.737411346018462e-08,2.3418005312692003e-09
1847,4.476375803363908e-08,1.3483059113639229e-08
1848,5.47075091339444e-08,2.413566457803995e-09
1849,8.211826951765033e-08,4.1897072478036534e-09
1850,6.72110589405861e-08,3.394498016007219e-09
1851,6.642922234512127e-08,5.804494884742439e-09
1852,5.9245963246468136e-08,7.161599979710331e-09
1853,7.226037301855115e-08,6.569125243771623e-09
1854,7.585670180887405e-08,1.195002835574499e-08
1855,1.050773583699538e-07,3.714855978387277e-09
1856,9.991975402634523e-08,5.694908267184218e-09
1857,6.248331591018896e-08,1.2691924067276261e-08
1858,9.053300398242925e-08,6.361778992491907e-09
1859,7.53641646866754e-08,1.5276520048956854e-09
1860,8.650877381111144e-08,5.492620802627357e-09
1861,9.101810088951723e-08,5.659156532278331e-09
1862,9.081152585466157e-08,7.680576952218132e-09
1863,9.989241567254226e-08,6.493007298491449e-09
1864,9.493561625717462e-08,1.0068928690820655e-08
1865,1.1484700102037948e-07,1.1296426682960714e-08
1866,6.9091704024693e-08,1.9462451206209153e-08
1867,6.842464017609018e-08,1.0190904120577216e-08
1868,5.28566540536346e-08,1.3831647049933338e-08
1869,6.885761716368677e-08,5.860223195597314e-09
1870,1.014926662712412e-07,7.454263428741115e-09
1871,4.779529882981137e-08,6.37270636261178e-09
1872,7.438227267453357e-08,9.675742762560446e-09
1873,9.158587221946846e-08,5.387403856360606e-09
1874,5.616132670027696e-08,8.961913322558246e-09
1875,1.3788879993370529e-07,4.577221712764867e-09
1876,6.227395243918465e-08,7.859819461941697e-09
1877,9.33907227107511e-08,2.6594708102400944e-08
1878,9.602151163079498e-08,5.4351798062235446e-09
1879,7.331190388093489e-08,2.443730107160036e-09
1880,8.856627897735336e-08,5.776061628992579e-09
1881,1.3875289917031353e-07,6.275256869692214e-09
1882,8.319231525888426e-08,2.1297231755923463e-08
1883,6.761692328272062e-08,5.0554711528150165e-09
1884,7.65796857038481e-08,7.2618666635548834e-09
1885,5.5432466172788963e-08,1.9336907075562237e-09
1886,4.775563211545375e-08,4.517424767591649e-09
1887,5.353718068867863e-08,2.6115699047757346e-09
1888,7.164894944011735e-08,3.804368819970705e-09
1889,6.515742256851809e-08,3.132568426877924e-09
1890,4.325895225365528e-08,3.932631886804927e-09
1891,5.736798081024119e-08,1.2748440081367107e-09
1892,5.39092064322233e-08,8.149066310636499e-09
1893,5.173069805852748e-08,8.621783398332639e-09
1894,6.364554794302535e-08,4.4110775032635274e-09
1895,5.717683881911739e-08,4.213029924926559e-09
1896,5.838058569906934e-08,6.48673198488936e-09
1897,6.118049356018673e-08,4.078699378240458e-09
1898,6.67685909894189e-08,1.13167097914868e-09
1899,5.03009616181771e-08,2.2110313580014918e-09
1900,3.73755817406618e-08,3.6337372000261325e-09
1901,6.091725568424522e-08,2.235495621949468e-09
1902,3.977329843252164e-08,4.910283846193408e-10
1903,6.264255625332282e-08,4.860198243861191e-09
1904,7.148251590649579e-08,2.6873125946735854e-09
1905,7.48310065579183e-08,5.1607592088664944e-09
1906,5.349951714972434e-08,4.629765903985117e-09
1907,5.7599844893729824e-08,5.142843206851211e-09
1908,6.237464300618001e-08,2.9468334439286537e-09
1909,5.941062175551792e-08,1.2652262071366494e-08
