year,ses_DET ondes_NOUN,ses_DET sondes_NOUN
1800,8.929427242065913e-07,4.4018303668735825e-08
1801,6.405381327567738e-07,1.4287095950749062e-08
1802,7.720548182987841e-07,2.6854081625060644e-08
1803,5.890024374899383e-07,1.1702034896643454e-08
1804,1.4509764696413185e-06,4.943701892301533e-09
1805,1.111565200773157e-06,0.0
1806,8.328023675119312e-07,2.881669125542885e-09
1807,6.377179602168326e-07,1.4234775136401367e-08
1808,6.254364244284716e-07,0.0
1809,6.280105009359715e-07,2.259030518203531e-09
1810,8.471258690079253e-07,0.0
1811,8.900122452359938e-07,2.5070767684098882e-09
1812,5.681153538716899e-07,8.00162469616339e-09
1813,7.591957853492204e-07,2.0130190847567064e-08
1814,7.30029082518513e-07,0.0
1815,8.010753926868119e-07,0.0
1816,4.7279119108623036e-07,0.0
1817,4.2969706548490194e-07,0.0
1818,3.600195661590533e-07,1.9073883805731384e-08
1819,5.361843886664275e-07,1.7596784473994376e-08
1820,5.304317340915077e-07,1.1866481131050932e-08
1821,6.173291762223698e-07,2.9584464655840748e-08
1822,6.516650188359563e-07,0.0
1823,4.5361531597620797e-07,2.569498569471307e-08
1824,7.427421593320105e-07,5.052667617633233e-09
1825,7.317323067468351e-07,1.937197424695114e-08
1826,6.526716678223465e-07,2.554315425840059e-08
1827,4.977327643373997e-07,2.3964910056406552e-08
1828,4.980559298317644e-07,4.586150570418113e-09
1829,4.792405290388047e-07,1.2859763920403111e-08
1830,6.888311676611636e-07,7.305785310052215e-09
1831,6.579488933677879e-07,1.091384405071949e-08
1832,5.317277924632435e-07,2.705993873419743e-09
1833,5.919234284945674e-07,1.3900354645102198e-08
1834,6.412822504131555e-07,1.3068343296396279e-08
1835,5.785762482446444e-07,2.2689263801112247e-08
1836,7.769186840533848e-07,5.376600054063374e-09
1837,6.01857585103005e-07,9.045257876039159e-09
1838,6.615145498045649e-07,1.009945904684173e-08
1839,5.544239680688179e-07,1.538124494437909e-08
1840,4.2549520173906785e-07,1.0191502197720581e-08
1841,5.881222406856068e-07,1.5409316489467528e-08
1842,4.6756607474662815e-07,4.695785538189057e-09
1843,6.267232777190657e-07,5.316220130779925e-09
1844,4.110932385614774e-07,1.6465684371524958e-09
1845,3.5657657027066136e-07,5.4128212856330293e-08
1846,3.752735384665584e-07,8.781752214304106e-09
1847,3.866941220564968e-07,4.853901280910122e-09
1848,3.0893651992158766e-07,3.218088856504764e-08
1849,4.516504752416495e-07,5.865590679832167e-09
1850,5.729912686547323e-07,6.1100964288129944e-09
1851,4.959618680189237e-07,1.1608989325395669e-08
1852,3.925858860220899e-07,1.3021090872200602e-09
1853,3.6189906804651173e-07,3.5831591027601917e-09
1854,3.366790481962312e-07,3.117398783558656e-09
1855,4.797471220285843e-07,9.021793090369101e-09
1856,4.1831690000826427e-07,3.6240324075009767e-09
1857,4.5251590519157503e-07,1.2203773103180993e-08
1858,3.1123779709041344e-07,8.808616946964776e-09
1859,5.336597435068313e-07,3.055304009791371e-09
1860,4.2613581480166474e-07,2.0139609091529564e-08
1861,5.18755989498132e-07,4.244367357575385e-09
1862,4.16106545220174e-07,3.6143890103090826e-09
1863,4.769862860243279e-07,9.989241656072068e-10
1864,3.5385092900241943e-07,7.671564716815737e-09
1865,3.38422095902402e-07,5.6482134525026595e-09
1866,3.2015734241497285e-07,5.838735384067206e-09
1867,2.8583058409026307e-07,2.523461972714358e-08
1868,2.9293454417711473e-07,2.4699371437009177e-09
1869,3.49659969423044e-07,1.4650557433881772e-09
1870,3.5780463392143247e-07,2.8670243956696595e-09
1871,2.803990923894162e-07,9.559059321873065e-09
1872,3.0297169484327924e-07,4.23313739617015e-09
1873,2.2267937199726973e-07,1.7958012854535355e-09
1874,2.778193111119265e-07,5.974609140757536e-10
1875,2.7692191889583384e-07,1.2015206607429718e-08
1876,2.605832383206774e-07,2.418405919968336e-09
1877,2.585252991682552e-07,2.4739263970730008e-09
1878,2.8685670372397e-07,1.8117265465633636e-09
1879,2.48649537071266e-07,1.832797580370027e-09
1880,2.8751951308692014e-07,2.5671385017744797e-09
1881,2.830838061740337e-07,4.8807553554297556e-09
