year,mais_CONJ en_PRON,mais_CONJ cent_DET
1800,1.597235609551717e-06,7.860410988769218e-08
1801,1.6239664546446875e-06,2.6193007762742582e-08
1802,2.2691698404742056e-06,4.2518962573012686e-08
1803,1.5583210881686682e-06,4.4857802805609026e-08
1804,1.8934378545054642e-06,5.9324422263529186e-08
1805,1.84218481535936e-06,2.2743021688143017e-08
1806,1.440834523691592e-06,1.729001475325731e-08
1807,1.4889574799781258e-06,2.8469552049159574e-08
1808,1.6700965375093801e-06,1.1330369975581789e-08
1809,1.6671644971211208e-06,1.3554183553310395e-08
1810,1.9563460114113695e-06,7.020380055067221e-08
1811,1.2435100984475866e-06,3.008491944456182e-08
1812,2.109761680912925e-06,2.6672081432366213e-08
1813,1.8778592902890523e-06,9.489947139229571e-08
1814,1.5796318848515511e-06,2.8320094713762956e-08
1815,1.761286966939224e-06,3.776112933451259e-08
1816,1.6084170795238606e-06,5.5622493277951435e-08
1817,1.7577100948074076e-06,1.712560715461109e-08
1818,1.8382455380105966e-06,5.483741416512089e-08
1819,1.74311679757011e-06,3.9333990287104825e-08
1820,1.7253864257327223e-06,4.9839218974057076e-08
1821,2.0620372538360243e-06,2.3667572346397492e-08
1822,1.936948990532983e-06,2.90742860897808e-08
1823,1.828297058636963e-06,3.4589405117912975e-08
1824,1.872013399406569e-06,5.726356722135506e-08
1825,1.9521667695698852e-06,5.81159262935671e-08
1826,1.837345564581483e-06,2.9947146096276356e-08
1827,2.1393290694504685e-06,2.7651818612639545e-08
1828,2.106877616370184e-06,1.559291185060374e-08
1829,1.9898341747648374e-06,4.20085635721712e-08
1830,1.96212516812011e-06,5.0096812032052185e-08
1831,1.8054616930385237e-06,1.091384405071949e-08
1832,1.8062509070659871e-06,2.841293511579579e-08
1833,1.7977791912926477e-06,6.02348677603004e-08
1834,1.7838289068095037e-06,3.827157701863371e-08
1835,1.593542606315168e-06,4.61348363955949e-08
1836,1.8058655655295297e-06,6.115882378310289e-08
1837,1.8528863279243524e-06,4.0355767616517824e-08
1838,1.6007642784643394e-06,2.4617432092810532e-08
1839,1.6395008515246445e-06,5.033862215952922e-08
1840,1.7656776662988705e-06,1.528725279698051e-08
1841,1.7560199694344192e-06,2.6966304300657384e-08
1842,1.7072534319595434e-06,2.1466448174578545e-08
1843,1.7844778312792187e-06,3.721353980523645e-08
1844,1.8375703234596585e-06,3.841992901598701e-08
1845,2.022274543378444e-06,2.622707162558413e-08
1846,1.8564624042483047e-06,1.5221703675294407e-08
1847,1.532214810140431e-06,1.7797638030003782e-08
1848,1.8093703602062305e-06,1.609044320005637e-08
1849,1.760515090154513e-06,4.1897074254393374e-08
1850,1.7590288621249783e-06,1.9009188889640427e-08
1851,1.6852383737386845e-06,3.74067443686954e-08
1852,1.6328447713931382e-06,1.8229527221080843e-08
1853,1.709166838281817e-06,2.030456824897442e-08
1854,1.7743194007380225e-06,2.286092337655532e-08
1855,1.672746577696671e-06,3.8209947206269135e-08
1856,1.7514431647214224e-06,3.36517302912398e-08
1857,1.767594426382857e-06,1.4156376515472857e-08
1858,1.7450848872613278e-06,2.1532174265814774e-08
1859,1.734903435135493e-06,2.2914780739569096e-08
1860,1.6052183582360158e-06,3.3871161875254074e-08
1861,1.7986686202675628e-06,1.4147891302940252e-08
1862,1.7855081182460708e-06,1.0843167363994155e-08
1863,1.6262485473816923e-06,2.6970952582416885e-08
1864,1.7692546521175245e-06,1.294576557064886e-08
1865,1.8643810335561284e-06,2.1180800224840368e-08
1866,1.756972835664783e-06,1.556996132023869e-08
1867,1.7125571503129322e-06,2.4749338578544666e-08
1868,1.5165413174145215e-06,2.074747162961188e-08
1869,1.6911626516957767e-06,3.369628132077196e-08
1870,1.729962491481274e-06,3.1537266576009415e-08
1871,1.6473445896281191e-06,3.3987766379084405e-08
1872,1.5015543795016129e-06,7.256807155187062e-09
1873,1.4348452737067419e-06,1.9155213859534115e-08
1874,1.4739360381099686e-06,2.3898436118940936e-08
1875,1.6506605788890738e-06,2.0597497929486508e-08
1876,1.5018300700830878e-06,2.7811667635546655e-08
1877,1.4812633821748022e-06,2.535774612510977e-08
1878,1.5242659401337733e-06,3.200717069162806e-08
1879,1.5597107676512678e-06,2.932476217409885e-08
1880,1.6404014786530752e-06,2.0537108014195837e-08
1881,1.5311626953007362e-06,1.4642266066289267e-08
1882,1.4788266184950771e-06,1.9300616216355593e-08
1883,1.4692463423671143e-06,2.8437025179073316e-08
1884,1.5870479046498076e-06,2.9047466654219534e-08
1885,1.599806807917048e-06,2.320428871271929e-08
1886,1.567546348724136e-06,1.677900574037494e-08
1887,1.6126443824759917e-06,1.4363634504022116e-08
1888,1.5477440058475622e-06,1.1413106459912115e-08
1889,1.4942351072022575e-06,2.7566601445982997e-08
1890,1.5914049527054885e-06,1.3764211992395303e-08
1891,1.529175420955653e-06,1.8485238229004608e-08
1892,1.4925327889159234e-06,1.7551834652351772e-08
1893,1.5168180311775359e-06,1.2316832942449452e-08
1894,1.5300137476970121e-06,4.4110773700367645e-08
1895,1.5744695360808691e-06,2.1667012406467734e-08
1896,1.627579990781669e-06,1.8870492279887685e-08
1897,1.5015440339993802e-06,3.1464253424928756e-08
1898,1.4598555821976333e-06,2.6028432742464247e-08
1899,1.616263972437082e-06,1.879376654301268e-08
1900,1.499176136121605e-06,3.2703634467168285e-08
1901,1.6380593592657533e-06,1.4530721070826758e-08
1902,1.3989398439662182e-06,1.129365290175599e-08
1903,1.5790244560776046e-06,1.3500550455347593e-08
1904,1.4903835108270869e-06,1.666133808697623e-08
1905,1.4506893251109432e-06,1.7030504562143278e-08
1906,1.5628033054326806e-06,2.9321851613417493e-08
1907,1.5593101352351368e-06,2.2114226894132116e-08
1908,1.5618217616975016e-06,2.161011192214346e-08
1909,1.5287233736671624e-06,2.0903737851796222e-08
1910,1.4717791145812953e-06,2.672075272158736e-08
1911,1.5668501589516382e-06,2.6601871372378127e-08
1912,1.6711823889181687e-06,3.125652803248613e-08
1913,1.4652160018613358e-06,1.3787773367468503e-08
1914,1.6172636208011681e-06,2.0759905794420774e-08
1915,1.4631706335421768e-06,3.062998121805549e-08
1916,1.6118606822601578e-06,1.4283700222605944e-08
1917,1.3598366308542609e-06,2.4126133979507358e-08
1918,1.5150530146001984e-06,1.8378202071289707e-08
