year,petits_ADJ airs_NOUN,petits_ADJ cerfs_NOUN
1800,1.792173822678933e-07,1.5720821977538435e-08
1801,1.8335106233280385e-07,2.3811825844433088e-08
1802,6.042168365638645e-08,8.951360541686881e-09
1803,9.166594150400442e-08,1.950339267864365e-08
1804,1.1370514130248921e-07,4.943701892301533e-09
1805,7.675769686521505e-08,2.55858996212055e-08
1806,3.9190699663294026e-07,2.881669125542885e-09
1807,1.9643989901396708e-07,1.1387820464392462e-08
1808,1.087715486569607e-07,3.3991110370834576e-08
1809,1.6490922405409947e-07,9.036122072814123e-09
1810,1.3338723192646285e-07,2.3401267590372754e-09
1811,1.2033968488367464e-07,4.512738271955641e-08
1812,1.787029546562735e-07,0.0
1813,2.386865673997818e-07,8.627225156487839e-09
1814,1.3530711839848664e-07,1.5733386149463513e-08
1815,1.6183340889597275e-08,0.0
1816,2.5493642752394408e-08,4.4034472068688046e-08
1817,1.821541957269801e-07,1.0898113522728181e-08
1818,6.318224166079744e-08,1.5497530370112145e-08
1819,1.418093802385556e-07,8.280840013696888e-09
1820,1.82743802312757e-07,1.6613073583471305e-08
1821,1.6863144558509902e-07,1.0847637454958203e-08
1822,1.2431763707354548e-07,1.804610860745015e-08
1823,9.882686669016039e-08,8.894418535021487e-09
1824,9.768490372152883e-08,8.421112696055388e-09
1825,2.562383940585278e-07,1.584979791857677e-08
1826,9.953022583886195e-08,2.1139161532346407e-08
1827,6.359918103271411e-08,1.474763688946723e-08
1828,1.3941897236691148e-07,2.2013523448549677e-08
1829,1.1830983287497432e-07,8.573175946935407e-09
1830,1.857756772860597e-07,5.218417697960831e-09
1831,9.354723573551382e-08,0.0
1832,1.1365174401589684e-07,2.705993873419743e-09
1833,8.687721697597794e-08,8.108539617524002e-09
1834,1.0361329572106115e-07,1.8669061851994684e-09
1835,1.240346492181743e-07,3.100866052818674e-08
1836,1.1694104951054385e-07,4.704525213838906e-09
1837,1.2941677152156217e-07,1.948209416013924e-08
1838,8.016445707248465e-08,5.680945491803868e-09
1839,1.3773206630762758e-07,8.38977065598101e-09
1840,9.936714623348664e-08,3.1848443882154243e-09
1841,8.282507391044192e-08,1.1556987367100646e-08
1842,7.312008731830133e-08,7.379091560011375e-09
1843,5.6706346396318e-08,6.497602011990011e-09
1844,5.3239045172404076e-08,8.232842019229025e-09
1845,5.357019006169139e-08,5.580227835366713e-09
1846,7.43521662016633e-08,1.5807153808111707e-08
1847,6.148275133455172e-08,1.0786447290911383e-09
1848,3.942158599556933e-08,7.24069959545659e-09
1849,2.5976186535103807e-08,1.0893239199560867e-08
1850,4.2091777174846357e-08,5.431196825611551e-09
1851,3.9341575330809064e-08,4.514607354622058e-09
1852,7.0313888045348e-08,5.208436570924846e-09
1853,9.555090940693844e-08,1.1346670270029335e-08
1854,7.325886675069171e-08,1.0391328908454511e-09
1855,8.066544765483741e-08,9.021793090369101e-09
1856,6.730346280292565e-08,1.2425253714809514e-08
1857,7.810414454079151e-08,2.4407544874094356e-09
1858,7.976691640543265e-08,6.361778659424999e-09
1859,8.198399092940178e-08,2.036869339860914e-09
1860,9.795173458448936e-08,1.8308735638683515e-09
1861,9.2432888898486e-08,3.3011746669586728e-09
1862,9.939569925454528e-08,9.03597288659519e-09
1863,1.023897271967833e-07,1.1487627737949424e-08
1864,8.582563137959909e-08,2.445311331200628e-08
1865,5.883555331820389e-08,1.3179163982357522e-08
1866,1.1142253875107144e-07,3.8924903300596725e-09
1867,8.443892340892489e-08,5.82337378318698e-09
1868,7.55800723117872e-08,4.939874287401835e-09
1869,8.106641535832182e-08,6.8369265804335555e-09
1870,9.461180727754481e-08,3.4404292748035914e-09
1871,5.2043770182308435e-08,4.248470908407853e-09
1872,6.47065334646868e-08,6.652073114565837e-09
1873,6.883905034893445e-08,2.9930022904522957e-09
1874,4.7796871516236905e-08,1.1949218281515073e-09
1875,6.980262895472933e-08,5.721527251978387e-09
1876,9.250402532856583e-08,1.3905833817773328e-08
1877,1.2740720611859047e-07,6.184815992682502e-10
1878,1.5339284908932882e-07,1.8117265465633636e-09
1879,1.1057878879228156e-07,2.443730107160036e-09
1880,8.85662760907735e-08,1.9253538763308597e-09
1881,1.289913882374094e-07,1.3945015142624584e-09
1882,1.0448954412822786e-07,1.3310770263785798e-09
1883,8.720687627583601e-08,4.423537203201988e-09
1884,8.978307874940583e-08,1.5844072720483382e-08
1885,8.894977576723306e-08,9.023889857573408e-09
