year,suis_VERB avant_ADV,suis_VERB savant_ADJ
1800,0.0,4.087413785214267e-08
1801,1.904946067554647e-08,2.8574191901498125e-08
1802,0.0,2.2378401354217203e-09
1803,1.950339223455444e-09,3.900678446910888e-09
1804,0.0,7.4155526164076946e-09
1805,0.0,1.9900143755080535e-08
1806,0.0,0.0
1807,0.0,0.0
1808,1.5862518409903714e-08,1.3596443970698147e-08
1809,4.518061036407062e-09,4.518061036407062e-09
1810,0.0,7.020380277111826e-09
1811,0.0,1.0028307073639553e-08
1812,0.0,5.3344164641089264e-09
1813,0.0,2.0130190847567064e-08
1814,0.0,2.8320094713762956e-08
1815,0.0,8.091670444798638e-09
1816,0.0,4.6352077731626196e-09
1817,1.556873407970727e-09,2.490997452753163e-08
1818,0.0,2.8610825708597076e-08
1819,1.035105001712111e-09,4.140420006848444e-09
1820,0.0,2.3732962262101864e-09
1821,0.0,9.861488514673056e-09
1822,0.0,1.5038423839541792e-08
1823,0.0,1.8777104315859106e-08
1824,0.0,2.7789671008804362e-08
1825,0.0,1.1447076175841175e-08
1826,0.0,2.8185549894033102e-08
1827,9.217273055917019e-10,2.027800150017356e-08
1828,0.0,6.420610709767516e-09
1829,0.0,2.1432940755516938e-08
1830,0.0,7.305785310052215e-09
1831,0.0,2.182768810143898e-08
1832,0.0,8.117981842303834e-09
1833,0.0,2.3167257001688313e-09
1834,0.0,1.9602515166639023e-08
1835,0.0,1.663879345414898e-08
1836,0.0,1.2097349788575684e-08
1837,0.0,1.3219993100221927e-08
1838,0.0,1.2624323808552163e-08
1839,0.0,6.292327547896548e-09
1840,2.5478754661634184e-09,9.554533164646273e-09
1841,6.420548537278137e-09,3.2102742686390684e-09
1842,2.683306021822318e-09,1.2745703159566801e-08
1843,0.0,7.088293507706567e-09
1844,0.0,4.9397050894128824e-09
1845,0.0,8.928364714222425e-09
1846,0.0,3.5127007969038004e-09
1847,0.0,1.4022381478184798e-08
1848,4.82713291560799e-09,8.045221711050488e-10
1849,7.54147322368226e-09,1.256912263158938e-08
1850,6.788996032014438e-10,2.0366988096043315e-09
1851,0.0,9.674158363282004e-09
1852,6.510545436100301e-10,7.812654523320361e-09
1853,0.0,7.166318205520383e-09
1854,0.0,1.1950028522278444e-08
1855,0.0,1.0083180512765466e-08
