year,ces_DET eaux_NOUN,ces_DET sots_NOUN
1800,5.684649579507095e-06,5.0306631749208464e-08
1801,5.643402516852802e-06,5.238601596957437e-08
1802,6.4516930251556914e-06,8.727576528144709e-08
1803,6.761826284673589e-06,1.1702035562777269e-08
1804,5.571551923821971e-06,6.179627121127851e-08
1805,5.142765701293683e-06,1.6772978206347489e-07
1806,5.339733093023824e-06,7.492339904047185e-08
1807,6.146575913135166e-06,4.555128185756985e-08
1808,5.429513464605407e-06,2.4926814390369145e-08
1809,5.292908269893815e-06,6.551188391767937e-08
1810,5.354210145469551e-06,5.3822915901946544e-08
1811,7.263001293722482e-06,7.771937760026049e-08
1812,6.075900216728769e-06,1.1735716043403954e-07
1813,5.115944532008143e-06,4.026038169513413e-08
1814,6.104553847308125e-06,6.293354282149721e-09
1815,9.742371503307368e-06,1.618334155573109e-08
1816,5.126539804223285e-06,2.0858434979231788e-08
1817,4.107031941202877e-06,7.472992469281792e-08
1818,4.881721963556629e-06,9.179306381668084e-08
1819,4.499601629959216e-06,6.314140732488482e-08
1820,3.7462481827787997e-06,7.831877546493615e-08
1821,3.828229665714389e-06,1.2031015561575487e-07
1822,5.578252512350446e-06,1.2130995230563713e-07
1823,3.3670313541733776e-06,6.917880579493385e-08
1824,3.2926551227774326e-06,1.0189546273409178e-07
1825,3.863828311523321e-06,1.0214313839185252e-07
1826,5.975336648589291e-06,5.549029991058774e-08
1827,4.558863054171525e-06,3.318218294579012e-08
1828,3.9239105262822704e-06,8.255071026752603e-08
1829,4.626085683412384e-06,3.0006116702452346e-08
1830,4.214394380142039e-06,6.157733456468861e-08
1831,5.174721195544407e-06,9.198811623534198e-08
1832,3.6436207437873236e-06,1.1635773511375902e-07
1833,6.72777133559066e-06,1.1236119767943364e-07
1834,3.985844699627705e-06,5.2273373185585115e-08
1835,4.484911244162504e-06,6.352993864311429e-08
1836,3.472611638244416e-06,8.602560264137082e-08
1837,4.68266074449275e-06,5.635891486832634e-08
1838,4.6318646127474494e-06,5.365337529816827e-08
1839,3.5265000803974544e-06,3.705481976812308e-08
1840,4.054306941725372e-06,4.331388137046588e-08
1841,3.982024338711199e-06,4.365973182984817e-08
1842,3.382978036370332e-06,2.0124794719578176e-08
1843,3.3887948802657775e-06,3.36693946056954e-08
1844,3.5006043503926776e-06,3.6773358802477674e-08
1845,3.841986853103663e-06,2.0646844234306627e-08
1846,4.366872587979742e-06,2.3418005756781213e-08
1847,3.4074387258442584e-06,2.534815113364175e-08
1848,4.2366138472971215e-06,3.700802153616678e-08
1849,4.424331052632624e-06,7.876650132132568e-08
1850,3.560828531590232e-06,3.8018376891102434e-08
1851,4.572652017031942e-06,4.6435958189761095e-08
1852,4.258547846802685e-06,3.385483471340933e-08
1853,4.6945356189098675e-06,3.463720577023821e-08
1854,4.657913279970671e-06,4.9878378760581654e-08
1855,4.0794425331114326e-06,4.988520885262915e-08
1856,4.2546141116872604e-06,5.177189388305692e-08
1857,4.6891776719348854e-06,4.8326938451026535e-08
1858,3.8738339753763285e-06,6.117094986102245e-08
1859,4.827889483749459e-06,4.43019092521979e-08
1860,4.979060690857295e-06,4.851814788819908e-08
1861,4.061859499415732e-06,6.555189635548686e-08
1862,4.4687403146781435e-06,3.20777031603825e-08
1863,4.13854286307469e-06,5.593975194173595e-08
