year,vieux_ADJ airs_NOUN,vieux_ADJ cerfs_NOUN
1800,2.2009151834367913e-08,4.7162465932615305e-08
1801,1.6668277424969347e-08,3.809892135109294e-08
1802,4.475680270843441e-09,4.923248297927785e-08
1803,5.851017803593095e-08,1.677291692203653e-07
1804,3.213406074564773e-08,1.0628959179470598e-07
1805,1.7057265822018053e-08,1.9900143755080535e-08
1806,2.0171682990621775e-08,8.645007376628655e-09
1807,5.693910232196231e-09,4.27043254092041e-08
1808,6.798221985349073e-09,4.758755522971114e-08
1809,4.0662548883574345e-08,0.0
1810,2.3401266702194334e-08,7.020380143885063e-08
1811,7.521229861140455e-09,2.5070767684098882e-09
1812,2.6672082320544632e-09,0.0
1813,8.627225156487839e-09,0.0
1814,9.440030979135372e-09,3.1466771410748606e-09
1815,8.091670444798638e-09,8.091670444798638e-09
1816,3.244645441213834e-08,2.595716352971067e-07
1817,1.71256075987003e-08,1.2299300067297736e-07
1818,1.668964877410417e-08,1.1921177378582115e-09
1819,1.6561680027393777e-08,1.0351049795076506e-08
1820,3.322614716694261e-08,1.898636980968149e-08
1821,4.2404398215012407e-08,2.5639868894700157e-08
1822,4.0102463572111446e-08,6.616906489398389e-08
1823,8.894418535021487e-09,3.557767236372911e-08
1824,1.431589158329416e-08,7.57900142644985e-09
1825,1.6730341556581152e-08,4.3146670236637874e-08
1826,2.6423952803611428e-08,1.9377566218281572e-08
1827,2.765181922326221e-08,1.1060727445055818e-08
1828,1.7427371545863934e-08,4.1275356466030644e-08
1829,4.115124596637543e-08,5.143905745796928e-09
1830,3.235419043789989e-08,2.922314124020886e-08
1831,3.897801548191637e-08,2.0268567268999504e-08
1832,4.8707889277466165e-08,1.3529969367098715e-09
1833,6.718504863556518e-08,1.1583628278799551e-08
1834,4.0138484536100805e-08,2.14694217959277e-08
1835,5.445423312266939e-08,4.4622218808854086e-08
1836,3.024337402735e-08,9.409050427677812e-09
1837,3.896418832027848e-08,4.03557665062948e-08
1838,1.5149188570262595e-08,2.1461350030449466e-08
1839,3.5656523067473245e-08,1.8876983531868063e-08
1840,5.987507023519356e-08,8.280595042986505e-09
1841,8.667740569734406e-08,7.704658244733764e-09
