year,les_DET airs_NOUN,les_DET cerfs_NOUN
1800,1.3324968762162825e-05,9.338168780459455e-07
1801,9.998585923653991e-06,7.453101709131715e-07
1802,9.871112979453756e-06,1.1054929984766204e-06
1803,1.2858586558195384e-05,2.0790616126475925e-06
1804,1.5327947807008968e-05,1.250756612947157e-06
1805,1.2190259582212093e-05,1.27645213821026e-06
1806,1.3604359764940455e-05,4.0631533959611943e-07
1807,9.542993836930691e-06,4.5835976658636923e-07
1808,1.1763189775138017e-05,1.1058440820832516e-06
1809,9.46985633731856e-06,5.80570841179906e-07
1810,1.557588387868236e-05,1.7738161322000678e-06
1811,1.0391833313860843e-05,7.67165472481679e-07
1812,1.0028703343323286e-05,6.161251078218299e-07
1813,1.183942828220097e-05,4.2560977653316456e-07
1814,1.101022309057953e-05,3.681612259498479e-07
1815,8.515134723552364e-06,2.966945975568791e-07
1816,7.467319932175087e-06,1.2190596194727732e-06
1817,9.496927731333926e-06,1.4790297315769863e-06
1818,1.0029286769963619e-05,8.058715668113337e-07
1819,9.241417828320664e-06,5.579215915929581e-07
1820,1.0386730480149708e-05,7.04868978296247e-07
1821,9.884169799079245e-06,6.695950571788956e-07
1822,9.61155804191094e-06,8.301209959427069e-07
1823,8.369647432004967e-06,6.84870221867584e-07
1824,9.600068523241134e-06,4.875824268779638e-07
1825,1.0828053007116978e-05,8.294727198432383e-07
1826,9.133879913747478e-06,7.539634321318545e-07
1827,6.846590473230663e-06,4.885154663014646e-07
1828,7.461666939434508e-06,5.971167880147732e-07
1829,8.055356147451675e-06,7.158602262080649e-07
1830,9.430724787762301e-06,7.086611546469612e-07
1831,8.018557679179139e-06,4.5214498367585065e-07
1832,9.112434710800699e-06,5.060208563278934e-07
1833,1.0465808713888691e-05,6.741671729759702e-07
1834,8.686714238592685e-06,7.15958499597491e-07
1835,8.70738324465492e-06,1.1155554560104974e-06
1836,8.332386045140083e-06,5.255626560618509e-07
1837,7.959827073023007e-06,8.25205843213439e-07
1838,7.293702950050829e-06,5.964993095020077e-07
1839,7.055097526631471e-06,6.201438287334327e-07
1840,6.677344650540817e-06,5.051163184388585e-07
1841,7.537724059147877e-06,5.361157970895647e-07
1842,6.920917101638224e-06,4.7092019883621106e-07
1843,7.585655282582593e-06,5.611565443430777e-07
1844,7.089025793050041e-06,8.287727535361e-07
1845,6.053989366705537e-06,7.282197529434598e-07
1846,5.999107713705598e-06,5.503231257364405e-07
1847,5.701716169426163e-06,4.1366024561284576e-07
1848,6.272859550904286e-06,5.438570020999123e-07
1849,6.230932918072085e-06,4.3908134106374064e-07
1850,6.899656739278726e-06,3.6389018553961705e-07
1851,6.306261127519974e-06,4.6242475026936347e-07
1852,6.749482395207451e-06,5.455837222001492e-07
1853,6.968049916622476e-06,9.113167873664452e-07
1854,6.6852613400669725e-06,5.398295357395e-07
1855,7.634559651137351e-06,5.85885850057366e-07
1856,6.480805353703545e-06,4.2452951065641287e-07
1857,7.01619282494903e-06,6.067715849766842e-07
1858,6.3020758886978e-06,5.148147201872177e-07
1859,6.959473168421937e-06,5.250030694625707e-07
1860,7.022773090170631e-06,5.24087571562859e-07
1861,7.099411860167493e-06,5.517677594824022e-07
1862,6.448973493888843e-06,4.621900090429065e-07
1863,6.414591609882336e-06,3.965728980759309e-07
1864,6.506445842546782e-06,8.194190215249364e-07
1865,5.8444885695507764e-06,3.972576756439139e-07
1866,5.933615113917767e-06,3.298885524749551e-07
1867,6.235862642256507e-06,5.493382566612581e-07
1868,5.725807923795401e-06,5.947608201495314e-07
1869,5.786481651171016e-06,4.619809170769429e-07
1870,6.216282130822037e-06,4.6101752726457335e-07
1871,5.228805733281661e-06,5.331831001154086e-07
1872,5.312587347816589e-06,5.303516656951501e-07
1873,4.743908711191125e-06,5.704662378036574e-07
1874,5.086184728497756e-06,4.2001501832089616e-07
1875,5.059546225538725e-06,4.1366641401197057e-07
1876,5.622189149789847e-06,4.842857919129528e-07
1877,5.453770590690965e-06,5.201430139933905e-07
1878,5.661645488430622e-06,4.752762863269311e-07
1879,4.9705468612160075e-06,3.775562911201291e-07
1880,5.092560776631672e-06,3.908468442226365e-07
1881,4.6862222120580554e-06,4.2113944886956745e-07
1882,4.654776411427974e-06,3.687083451886508e-07
1883,4.673151266842979e-06,4.815336316355001e-07
1884,4.776327870104069e-06,4.390128589548681e-07
1885,4.115538224880311e-06,5.304758055046932e-07
1886,4.749103958090473e-06,4.37544863451933e-07
1887,4.286238905137907e-06,3.786776143765991e-07
1888,4.136617135941378e-06,4.0262902611942764e-07
1889,4.393740184127637e-06,3.3831737944467477e-07
1890,3.71699246670687e-06,4.666723150137386e-07
1891,3.5829491729089114e-06,3.5058208958105297e-07
1892,3.7648685022872996e-06,2.6453122536906903e-07
1893,3.584814301405004e-06,3.5965151834460585e-07
1894,3.7456348422892916e-06,3.598178843766675e-07
1895,3.4932039127966164e-06,2.8407860064305623e-07
1896,3.2740304334311077e-06,3.862553847877592e-07
1897,3.1312759176671534e-06,4.113659615168075e-07
1898,3.361628749587453e-06,3.5591052061079154e-07
1899,3.362978596044286e-06,4.493921235138032e-07
1900,3.5008463044050586e-06,4.864016833749929e-07
1901,3.4393098715668202e-06,3.6382691881442497e-07
1902,3.139144510555525e-06,4.090266401135523e-07
1903,3.284413992332702e-06,3.7477527925489085e-07
1904,2.8754244212336744e-06,3.472007890081841e-07
1905,2.86680175776155e-06,4.474378147989455e-07
1906,2.9651078818915266e-06,3.940445179040353e-07
1907,3.1772486011050205e-06,4.098846115851984e-07
1908,3.5833495246606617e-06,3.467440707893843e-07
1909,3.83418556992865e-06,6.007073984903855e-07
1910,4.158283601896073e-06,5.05022233809882e-07
1911,3.5673109337608366e-06,4.687249521850845e-07
1912,3.4496786867066476e-06,4.52698714958899e-07
1913,3.7995920649791515e-06,3.086339974700536e-07
1914,3.5224870913452833e-06,3.0068378897851744e-07
1915,3.3504486083302254e-06,2.862725168029101e-07
1916,3.2621775183372392e-06,2.8677275021316007e-07
1917,3.5257055444049e-06,3.257028127201522e-07
1918,3.842192910497033e-06,2.297275338847271e-07
1919,3.598427042561525e-06,2.5045347129548645e-07
1920,3.47338261974528e-06,3.5589489488785375e-07
1921,3.3978916675891924e-06,2.786771009510858e-07
1922,3.2521939488106e-06,3.570920648066078e-07
1923,3.3121758917786792e-06,2.802610241658954e-07
1924,3.4781603801548044e-06,3.648329629513114e-07
1925,3.682189920084511e-06,3.7723749679585694e-07
1926,3.2412969517281454e-06,2.3852736674712105e-07
1927,3.245539367924266e-06,2.987992324676725e-07
1928,3.1455890976417322e-06,3.062179114721175e-07
1929,3.111515525233699e-06,2.77396112302597e-07
1930,3.3779589330151794e-06,2.741440519038463e-07
1931,2.9756575230521776e-06,3.250526745546267e-07
1932,2.972226369024611e-06,5.392092150557914e-07
1933,2.59695791271497e-06,2.2138378463765207e-07
1934,2.801293334186994e-06,2.743781788439037e-07
1935,2.5468508866310913e-06,3.363087941465892e-07
1936,3.1948622023492135e-06,2.7765596177786733e-07
1937,2.445195036671066e-06,2.493041417750419e-07
1938,2.598229063011104e-06,3.254268960972695e-07
1939,2.720811654199906e-06,3.8541006563974634e-07
1940,2.842612751408069e-06,2.7386455103695084e-07
1941,3.3233918941277807e-06,2.833442431793287e-07
1942,3.5469934971388284e-06,2.366685141197422e-07
1943,3.6464634760591252e-06,3.541946900220694e-07
1944,3.6148344975117652e-06,2.923999389281562e-07
1945,3.5596755836309057e-06,2.3527843850956742e-07
1946,3.1893250564962727e-06,2.7285364900819786e-07
1947,2.9229974742861486e-06,3.02790126749386e-07
1948,3.0191232767151632e-06,3.055000510343575e-07
1949,2.5946352124606165e-06,2.709494251185163e-07
1950,2.7098902108946277e-06,3.0310779308706515e-07
1951,2.9883909462569136e-06,4.7016780335695785e-07
1952,2.2639694776671604e-06,3.258344540846281e-07
1953,2.347617026998705e-06,2.779647463313495e-07
1954,2.7832183491227624e-06,3.5962933253586016e-07
1955,2.5031416512888427e-06,2.449643616841968e-07
1956,2.667797218691703e-06,2.7297172677798187e-07
1957,2.60545267138923e-06,2.8978923583000693e-07
1958,2.5495054600810363e-06,2.688479154855372e-07
1959,2.1237049807609765e-06,2.557746752174239e-07
1960,2.7551836652150996e-06,2.830620788873972e-07
1961,2.3227696104299866e-06,2.8140045688074267e-07
1962,2.598933818376281e-06,2.834854568867229e-07
1963,2.8651081862562933e-06,2.8191991807702266e-07
1964,2.677554412855443e-06,3.023732397799961e-07
1965,2.7135862268323763e-06,2.61563671166698e-07
1966,2.6227519995813964e-06,2.77507643531294e-07
1967,3.0997019209166865e-06,2.721545191430863e-07
1968,3.874295273931239e-06,3.058654090004609e-07
