year,leurs_DET iles_NOUN,leurs_DET cils_NOUN
1800,1.8864987794131594e-08,7.545994584745586e-08
1801,1.1905912700171939e-08,5.2386017301842e-08
1802,1.1189200677108602e-08,1.7902721083373763e-08
1803,1.950339223455444e-09,8.776526527753958e-08
1804,1.7302956178966156e-08,3.460591457837836e-08
1805,5.685755422035754e-09,6.822906328807221e-08
1806,0.0,3.7461697743879085e-08
1807,1.7081731584767113e-08,2.8469550272802735e-08
1808,1.5862518409903714e-08,2.4926814390369145e-08
1809,9.036122072814123e-09,3.388545821714217e-08
1810,6.786367867661625e-08,1.1700633351097167e-08
1811,1.2535384286138651e-08,1.2535384286138651e-08
1812,1.600324850414836e-08,3.200649700829672e-08
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,5.394447111228828e-09,1.6183340889597275e-08
1816,4.6352077731626196e-09,9.270415546325239e-09
1817,4.670620223912181e-09,2.9580593974287694e-08
1818,3.5763532135746345e-09,5.2453181353939726e-08
1819,1.656168058250529e-08,5.175524897538253e-09
1820,2.254631414899677e-08,3.085285271708926e-08
1821,2.5639868672655552e-08,8.875339574387908e-09
1822,1.5038423839541792e-08,4.010246357211145e-09
1823,1.087095569118901e-08,2.7671523294969802e-08
1824,3.3684450784221553e-09,2.189489212156559e-08
1825,8.805443485471187e-09,2.0252519661312363e-08
1826,3.435113882233054e-08,5.6371099788066203e-08
1827,1.474763688946723e-08,7.281645508783186e-08
1828,1.2841221419535032e-08,3.8523666034961934e-08
1829,1.800366966620004e-08,1.8860987438529264e-08
1830,8.349468672008697e-09,6.575206512593468e-08
1831,4.677361831184612e-09,6.236482219534878e-09
1832,8.117981842303834e-09,3.92369123858316e-08
1833,8.57188530156705e-08,5.3284690437749305e-08
1834,1.8669062740173104e-08,5.0406466556296436e-08
1835,1.8907719834260206e-08,2.4201881387853064e-08
1836,1.7473950730817478e-08,6.653542783396915e-08
1837,2.852735292435682e-08,4.940102449335626e-08
1838,3.09295935529974e-08,4.86036455527028e-08
1839,1.887698375391267e-08,3.705481788074394e-08
1840,2.1019971874203236e-08,5.477932346620307e-08
1841,1.9903700465562224e-08,6.998397639179643e-08
1842,1.609983613093391e-08,3.152884531232303e-08
1843,2.126488007903049e-08,5.7887728388550386e-08
1844,1.8112251365387522e-08,4.50062032086862e-08
1845,8.37034219713928e-09,7.868121731924305e-08
1846,1.8148954339380907e-08,5.2105063597096546e-08
1847,1.5101026207275936e-08,2.588747349818732e-08
1848,1.850400987990497e-08,7.723412970284116e-08
1849,1.5920887719289567e-08,4.8600607982507427e-08
1850,1.5614690873633208e-08,4.412847420809385e-08
1851,1.9348317170653218e-08,4.5791015423901626e-08
1852,1.4974254503030693e-08,6.640756566866912e-08
1853,1.911018188138769e-08,6.091370607919089e-08
1854,1.091089552041069e-08,3.117398605922972e-08
1855,1.2736649068756378e-08,4.8823821430232783e-08
1856,1.0354378687793542e-08,4.34883880018333e-08
1857,5.369659827891837e-09,5.516105355818368e-08
1858,1.125545512348225e-08,6.949019848434546e-08
1859,1.5785737605966688e-08,8.503929649350539e-08
1860,1.052752293673187e-08,7.277722280374377e-08
1861,9.431927516789784e-09,7.404063229188296e-08
1862,1.2650361869148696e-08,3.298130124562704e-08
1863,4.994620939058336e-09,2.8968801246698206e-08
1864,1.1986820425136102e-08,7.048250383334675e-08
1865,9.413688717430091e-09,6.824924114745556e-08
1866,1.2164032114903023e-08,6.033360000490262e-08
1867,6.308654931785895e-09,1.077324132126023e-07
1868,7.903798504571569e-09,6.273639741039005e-08
1869,4.395167230164532e-09,1.0743742251406729e-07
1870,8.601073187008978e-09,3.956493621615209e-08
1871,1.0621177271019633e-09,1.1789506970671937e-07
1872,2.1165687758006868e-08,8.405801565913862e-08
1873,8.979006427267677e-09,1.0714947951129261e-07
1874,4.182226565063729e-09,7.169530924500123e-08
1875,8.58229043387837e-09,4.520006413599731e-08
1876,1.813804439976252e-09,1.07619065659037e-07
1877,8.04026067946495e-09,1.0081250356730465e-07
1878,6.6429974854287366e-09,5.857916107743222e-08
1879,4.887460103297769e-09,1.0385852933225692e-07
1880,1.9253538763308597e-09,1.2643157543124062e-07
1881,6.275256814181063e-09,1.0877111789042715e-07
1882,3.9932310791357395e-09,1.530738635846518e-07
1883,2.5277356319186595e-09,7.64639978001469e-08
1884,1.1222884843675729e-08,9.836528480633433e-08
1885,7.090199150017185e-09,7.799219070570018e-08
1886,6.453463874400711e-09,1.2197046472817163e-07
1887,6.528924623161458e-09,1.0903303948595067e-07
1888,7.608737417896805e-09,1.6231973631875007e-07
1889,6.265136742733546e-09,1.1778457209565829e-07
1890,8.520702587944129e-09,8.91396594870919e-08
1891,5.0993759215245404e-09,1.3640830331951292e-07
1892,8.149066310636499e-09,8.713232091395184e-08
1893,1.1700991287000306e-08,1.2070496802074615e-07
1894,6.9316932194141145e-09,1.0649601200896086e-07
1895,1.5648397688750038e-08,5.89824222796409e-08
1896,5.307326134129653e-09,7.66613794667137e-08
1897,1.6314797735006437e-08,1.0954221429937405e-07
1898,1.0750874412934763e-08,1.0354789647948337e-07
1899,1.2160672469008205e-08,1.5643047390767606e-07
1900,7.267474289029963e-09,1.0849301190773986e-07
1901,3.912117352289357e-09,1.285409896301104e-07
1902,7.856454153909453e-09,6.186957790532688e-08
1903,9.180374016537485e-09,8.100330717297766e-08
1904,1.9348650681649815e-08,1.1017981904615226e-07
1905,5.1607592088664944e-09,7.070239638196085e-08
1906,1.3374879870298173e-08,9.105206544290922e-08
1907,1.337139243773322e-08,9.308546172759335e-08
1908,6.3848060172233545e-09,8.3493614910779e-08
1909,3.85068837926994e-09,8.856583733063417e-08
1910,9.619471330601925e-09,1.052797671263761e-07
1911,7.980561100850991e-09,9.736284400929662e-08
1912,6.772247651554153e-09,8.803922213473925e-08
1913,4.772690687104841e-09,1.2408995747614782e-07
1914,6.696743715117748e-09,9.710278148222784e-08
1915,1.1780761921542648e-09,4.476689596799588e-08
1916,3.2962386153911893e-09,5.493730981243061e-08
1917,3.2899273305631027e-09,4.386569685266295e-08
1918,1.1486376294556067e-09,7.581008087953478e-08
1919,1.0128633542993981e-08,6.445493871964914e-08
1920,1.0601124422748853e-08,1.0676846562418518e-07
1921,2.8019165654313838e-08,7.799930079599449e-08
1922,6.640141769764796e-09,8.410846569217867e-08
1923,4.246379248229459e-09,1.0509788372914386e-07
