year,mes_DET eaux_NOUN,mes_DET sots_NOUN
1800,4.4018303668735825e-08,2.829747991484055e-08
1801,8.334139067756041e-08,0.0
1802,5.818384352096473e-08,0.0
1803,4.095712213825209e-08,1.950339223455444e-09
1804,9.145848345326613e-08,1.730295728918918e-08
1805,2.2743021688143017e-08,1.7057265822018053e-08
1806,2.939302561344448e-07,0.0
1807,1.0818429707626365e-07,0.0
1808,1.291662137248295e-07,1.3596443970698147e-08
1809,2.710836577435316e-07,3.388545888327599e-08
1810,2.9251584621192706e-07,1.6380887757350138e-08
1811,3.008492077682945e-08,7.521229861140455e-09
1812,6.934741492159446e-08,2.6672082320544632e-09
1813,7.189353823378042e-08,1.4378708002027452e-08
1814,9.440031245588898e-08,3.1466771410748606e-09
1815,2.4275012222574333e-08,3.236668177919455e-08
1816,2.3176038865813098e-08,9.270415546325239e-09
1817,2.9580595417577626e-08,7.784366928831332e-09
1818,9.65615354342475e-08,8.344824387052086e-09
1819,4.45095160728215e-08,1.1386155129855524e-08
1820,9.967844061264941e-08,1.3053129244156025e-08
1821,5.226588806195309e-08,5.029358973729359e-08
1822,9.023054303725075e-08,9.023054303725075e-09
1823,1.561464593180517e-07,5.929612356680991e-09
1824,5.81056784909606e-08,1.9368560089105813e-08
1825,4.781355640304241e-07,1.8491431275080572e-08
1826,4.4039921487382117e-08,7.927186018719112e-09
1827,4.147772969531616e-08,1.8434546111834038e-09
1828,2.2013522782415862e-08,9.172301140836225e-09
1829,4.4580514835246277e-08,9.430493719264632e-09
1830,4.0703659553997795e-08,8.349468672008697e-09
1831,5.4569221807909685e-08,6.236482441579483e-09
1832,2.4353944638733083e-08,2.705993829010822e-08
1833,4.40177885252524e-08,6.950176989484191e-09
1834,8.121042216480134e-08,1.120143711119681e-08
1835,7.865611451052246e-08,1.2100940693926532e-08
1836,5.3765998930810355e-08,8.736974699274924e-09
1837,7.375364274864182e-08,2.0873672124110954e-08
1838,1.6916594525184792e-07,1.8936485712828244e-09
1839,3.495737765923934e-08,6.9914751765765e-10
1840,3.1848443160509277e-08,1.0828470564661075e-08
1841,4.558589550285319e-08,1.0272877659645019e-08
1842,5.0982814414624045e-08,4.024959032733477e-09
1843,5.6706348061652534e-08,5.906910960362666e-09
1844,3.787107349939589e-08,2.7442805805577564e-09
