year,grandes_ADJ herbes_NOUN
1800,3.6472309261625924e-07
1801,1.5239568540437176e-07
1802,1.7007585029205075e-07
1803,3.393590191080875e-07
1804,8.651478111687538e-08
1805,2.3311596919484145e-07
1806,2.0171682990621775e-08
1807,1.1387820109121094e-07
1808,7.251436784372345e-08
1809,1.197286110254936e-07
1810,8.190443878675069e-08
1811,4.763445815569867e-08
1812,5.867858021701977e-08
1813,4.3136125782439194e-08
1814,0.0
1815,1.1058616422587875e-07
1816,1.1356259221884102e-07
1817,1.9927979622025305e-07
1818,6.318224166079744e-08
1819,7.763287612760905e-08
1820,1.4595771347103437e-07
1821,5.719663320746804e-08
1822,5.413832582235045e-08
1823,1.1365089847004128e-07
1824,7.410579172528742e-08
1825,7.836844417852262e-08
1826,1.5678212150760373e-07
1827,9.493790997794349e-08
1828,8.805409379419871e-08
1829,1.0287811136322489e-07
1830,1.5968359434737067e-07
1831,9.822459645647541e-08
1832,1.1500473817704915e-07
1833,3.069661431709392e-07
1834,1.6708810335330782e-07
1835,1.5882484660778573e-07
1836,1.5323310265102918e-07
1837,1.384620276212445e-07
1838,1.1551256307029689e-07
1839,1.50316722624666e-07
1840,1.2994165388136025e-07
1841,1.9775289672452345e-07
1842,1.4758182942387066e-07
1843,1.0927785609737839e-07
1844,1.125155080217155e-07
1845,1.389476693702818e-07
1846,1.4284982796652912e-07
1847,1.919987653309363e-07
1848,1.5446825329945568e-07
1849,4.0304985304828733e-07
1850,2.708809461182682e-07
1851,1.6446068684672355e-07
1852,1.2565352847104805e-07
1853,1.6124215562740574e-07
1854,1.6937866575972294e-07
1855,1.7353684711451933e-07
1856,1.568688361430759e-07
1857,1.708528145627497e-07
1858,1.3555482780702732e-07
1859,2.2660171339339286e-07
1860,2.1878939548969356e-07
1861,2.098603886224737e-07
1862,3.57372726966787e-07
1863,2.1077299550142925e-07
1864,1.7548704533965065e-07
1865,1.958047306516164e-07
1866,2.3160318107784406e-07
1867,1.8586267458431394e-07
1868,1.6449780559923965e-07
1869,2.4222254069172777e-07
1870,1.7202145841110905e-07
1871,1.2001930826954776e-07
1872,1.8565332027264958e-07
1873,1.7179833378122567e-07
1874,2.664675662344962e-07
1875,2.5575226914043014e-07
1876,1.952862760390417e-07
1877,2.888309040827153e-07
1878,3.0316223842419276e-07
1879,2.5475887355241866e-07
1880,1.880428897038655e-07
1881,2.440377784296288e-07
1882,1.7636770621720643e-07
1883,2.4898196215872304e-07
1884,2.436026136365399e-07
1885,2.6556020316093054e-07
1886,3.2848132036633615e-07
1887,2.5266939474022365e-07
1888,2.3396867732117244e-07
1889,2.1990629761603486e-07
1890,3.1985405257728416e-07
1891,1.746536355540229e-07
1892,2.2002478772265022e-07
1893,3.978337019816536e-07
