year,avions_VERB eu_VERB,avions_VERB su_VERB
1800,8.740777275306755e-07,2.2009151834367913e-08
1801,6.905429472681135e-07,4.286128785224719e-08
1802,5.706492629542481e-07,4.2518962573012686e-08
1803,3.5106106111015833e-07,2.9255089017965474e-08
1804,4.6470796633002465e-07,4.2021465418429216e-08
1805,4.065315124535118e-07,1.421438877713399e-08
1806,5.129371061229904e-07,2.305335300434308e-08
1807,8.085352760645037e-07,2.8469551160981155e-09
1808,4.282879899619729e-07,1.5862518409903714e-08
1809,3.411136049180641e-07,0.0
1810,7.230991627693584e-07,4.44624070894406e-08
1811,3.334412213007454e-07,2.2563691359778204e-08
1812,3.4673706750254496e-07,3.7340914360584065e-08
1813,6.642962944169994e-07,3.4508900625951355e-08
1814,6.041619826646638e-07,4.090680150170556e-08
1815,4.531335662250058e-07,2.1577788444915313e-08
1816,7.416332437060191e-07,5.5622493277951435e-08
1817,5.417919624051137e-07,7.940054302935096e-08
1818,5.507583864527987e-07,3.9339884239097955e-08
1819,3.7988354506524047e-07,4.7614829412623294e-08
1820,6.372300163093314e-07,5.93324074316115e-08
1821,5.404095304584189e-07,2.9584464655840748e-08
1822,4.962680009157339e-07,4.712039469723095e-08
1823,6.670813377240847e-07,7.412015179397713e-08
1824,6.374782515194966e-07,7.242157096243318e-08
1825,7.167630542426195e-07,2.0252519661312363e-08
1826,4.765119570038223e-07,1.4092774947016551e-08
1827,5.880619937670417e-07,4.516463647519231e-08
1828,4.586150623708818e-07,3.944089499441361e-08
1829,5.315368980518542e-07,3.429270378774163e-08
1830,5.604580906037882e-07,3.1310506187764986e-08
1831,5.659607609231898e-07,4.365537620287796e-08
1832,6.169665880406683e-07,4.058990654698391e-08
1833,9.151066251433804e-07,2.0850531967653296e-08
1834,7.056905246827228e-07,3.547121707470069e-08
1835,7.033671636236249e-07,9.832014313815307e-08
1836,4.334883669798728e-07,6.04867480547e-08
1837,5.879417699361511e-07,5.287997240088771e-08
1838,4.797242922904843e-07,5.23909449157145e-08
1839,5.495299433277978e-07,6.012668762878093e-08
1840,4.560696993394231e-07,3.121147429396842e-08
1841,6.542538812936982e-07,3.531301828729738e-08
1842,5.70202530525421e-07,5.702025163145663e-08
1843,4.979526124770928e-07,5.316219997553162e-08
1844,4.956170869263588e-07,2.8540519281250454e-08
1845,4.386059231364925e-07,5.524425716885162e-08
1846,5.456395228975452e-07,5.21050615986951e-08
1847,4.713677412837569e-07,5.9325458323655766e-08
1848,5.736243338105851e-07,6.516629724728773e-08
1849,7.223055717986426e-07,6.452149392544015e-08
1850,7.114867912605405e-07,3.530277936647508e-08
1851,5.604562147709657e-07,4.450112811582585e-08
1852,4.0495592656952795e-07,5.729280161403949e-08
1853,5.111973564453365e-07,3.4637203327747557e-08
1854,5.793165769318875e-07,4.46827144173767e-08
1855,4.70194635227017e-07,4.4578271740647324e-08
1856,4.56110370805618e-07,3.9346637947801355e-08
1857,5.696721245840308e-07,4.002837528105374e-08
1858,5.72560111322673e-07,4.4532452392331834e-08
1859,6.181898584145529e-07,4.68479939286226e-08
1860,6.124271862972819e-07,6.682688535875059e-08
1861,5.960978342045564e-07,3.489813238388706e-08
1862,5.792058459519467e-07,5.511943257374696e-08
1863,5.598969892162131e-07,3.795911851511846e-08
1864,5.015285182707885e-07,5.178306139441702e-08
1865,5.507008040694927e-07,7.436813831418476e-08
1866,5.37163657554629e-07,7.395731671522299e-08
1867,5.216772365201905e-07,4.31900204489466e-08
1868,5.532659201890056e-07,5.08807040944248e-08
1869,5.938359208812471e-07,6.348574999037737e-08
1870,6.433602948163752e-07,5.8487298559839473e-08
1871,1.3403926004684763e-06,2.5278401949435647e-07
1872,1.041956579683756e-06,5.624025689598966e-08
1873,7.278981684066821e-07,1.2450888675630267e-07
1874,6.77520688441291e-07,7.946230340394322e-08
1875,7.352162469942414e-07,5.549881265665135e-08
1876,6.052060825822991e-07,2.5997863417615008e-08
1877,5.87557508424652e-07,7.483627229021295e-08
1878,5.084912686470489e-07,4.589707458535486e-08
1879,6.060450914446847e-07,5.009646741882534e-08
1880,6.109789865149651e-07,3.9790645445236805e-08
1881,5.78718129418121e-07,4.322954794133693e-08
1882,5.537280571843439e-07,3.7270154962243396e-08
1883,6.136078241070209e-07,6.19295192905156e-08
1884,6.337629088193353e-07,7.393900602892245e-08
1885,5.839746108904365e-07,5.220964993668531e-08
1886,6.524451805489662e-07,6.001721430948237e-08
1887,5.732395607083163e-07,7.051238526400994e-08
1888,5.960177986708004e-07,5.5163347667530616e-08
1889,6.290197234193329e-07,5.826577265111155e-08
1890,5.892393346584868e-07,5.2435090935887274e-08
1891,5.85153372867353e-07,4.143242904319777e-08
1892,5.804642455586873e-07,4.5133290882404253e-08
1893,6.792733415750263e-07,3.818218274886931e-08
1894,5.784813197351468e-07,3.7179081147087345e-08
1895,6.548252713400871e-07,4.5741469278937075e-08
1896,6.091630666560377e-07,6.191880430606034e-08
1897,6.26371729595121e-07,6.059782009515402e-08
1898,5.912980896027875e-07,5.2056865484928494e-08
1899,5.422554636425048e-07,5.3617512207893014e-08
1900,5.227390715845104e-07,5.7620688664883346e-08
1901,5.583150368693168e-07,4.470991044058792e-08
1902,4.7580650175405026e-07,6.13785502423525e-08
1903,5.3030163371659e-07,5.400220359774721e-08
1904,4.971528255737212e-07,5.213386344848914e-08
1905,5.042061843596457e-07,4.5930754311029887e-08
1906,5.411682195699541e-07,5.041300710217911e-08
1907,5.281700055093097e-07,2.9314207949937554e-08
1908,4.6019715682632523e-07,7.023286485718927e-08
1909,5.038900781073608e-07,6.986249445617432e-08
1910,4.7402616587532975e-07,5.50447509795049e-08
1911,5.09691858496808e-07,5.7992078694724114e-08
