year,beaux_ADJ cils_NOUN
1800,0.0
1801,1.4287095950749062e-08
1802,2.6854081625060644e-08
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,1.6561680027393777e-08
1820,1.1866481131050932e-09
1821,0.0
1822,4.010246357211145e-09
1823,3.9530747564242574e-09
1824,0.0
1825,1.584979791857677e-08
1826,0.0
1827,0.0
1828,0.0
1829,1.2859763920403111e-08
1830,2.7135772739939057e-08
1831,1.7150327380477393e-08
1832,6.764984572527055e-09
1833,1.50587169400751e-08
1834,4.667265685043276e-09
1835,1.0588323107185715e-08
1836,2.688300027031687e-09
1837,4.87052354003481e-09
1838,6.312161904276081e-09
1839,4.894032734625853e-09
1840,5.732719632334238e-09
1841,1.0914932957462042e-08
1842,7.379091560011375e-09
1843,6.497602011990011e-09
1844,2.195424508855126e-09
1845,6.696273757711424e-09
1846,8.781752214304106e-09
1847,4.314578916364553e-09
1848,1.287235473768078e-08
1849,4.1897072478036534e-09
1850,6.1100964288129944e-09
1851,6.449438760824933e-09
1852,1.4974254725075298e-08
1853,8.360704129017904e-09
1854,2.0782657816909023e-09
1855,9.552486801567284e-09
1856,2.5885946719483854e-09
1857,9.274867096564776e-09
1858,1.1744822003834088e-08
1859,1.2221216039165483e-08
1860,6.408057640072684e-09
1861,9.903524222920623e-09
1862,9.035972858839614e-09
1863,1.6981710260211003e-08
1864,4.315255264231155e-09
1865,5.6482134525026595e-09
1866,7.784980660119345e-09
1867,1.6014277903764196e-08
1868,1.778354707937524e-08
1869,3.4184632902167778e-09
1870,1.2614907340946502e-08
1871,3.18635318130589e-09
1872,1.2094679036067646e-08
1873,2.3944017879529156e-09
1874,1.0156835372754358e-08
1875,5.721527251978387e-09
1876,1.269663130187837e-08
1877,6.80329748092845e-09
1878,3.6234530931267273e-09
1879,1.710611030603104e-08
1880,7.059631101924424e-09
1881,1.2550513517339823e-08
1882,3.9932310791357395e-09
1883,3.791603475633565e-09
1884,5.281357573494461e-09
1885,8.379326565943757e-09
1886,9.034849313138693e-09
1887,5.876032105334161e-09
1888,1.268122939990235e-09
1889,1.1277245803853475e-08
1890,1.3108772733971819e-08
1891,1.529812720946211e-08
1892,1.6298132621272998e-08
1893,1.7859408174558666e-08
1894,1.449354058991048e-08
1895,1.023164486468886e-08
1896,1.0024948871034667e-08
1897,8.157399200570126e-09
1898,1.4145887128336199e-08
1899,9.39688327150634e-09
1900,1.1939421895590385e-08
1901,1.2854099118442264e-08
1902,1.4730851205513318e-08
1903,8.100330184390714e-09
1904,1.9348650681649815e-08
1905,6.708986699521802e-09
1906,1.0288369267641428e-08
1907,8.742834012309686e-09
1908,1.080505640516094e-08
1909,4.400786846048277e-09
1910,8.01622590529405e-09
1911,1.1172785363555704e-08
1912,2.6047106693738442e-09
1913,1.113627856597077e-08
1914,2.1429579888376793e-08
1915,0.0
1916,1.2086208478478966e-08
1917,1.0966424213165737e-08
1918,1.1486376294556067e-09
1919,1.3811772170413406e-08
1920,7.572231730534895e-09
1921,1.6660044011018726e-08
1922,1.475587119159627e-08
1923,1.6985516992917837e-08
1924,6.445812328337297e-09
1925,2.4195990988573612e-08
1926,3.009457216762712e-08
1927,1.8953683067479687e-08
1928,1.1426041446327417e-08
1929,2.0052731031228177e-08
1930,1.1553964007759987e-08
1931,9.124285327288817e-09
1932,6.575722188983946e-09
1933,1.8353059516584835e-08
1934,1.0783422155213884e-08
1935,1.555876849579363e-08
1936,9.699771652549316e-09
1937,2.5182236296217297e-09
1938,2.852347158466273e-08
1939,7.647025235257843e-09
1940,0.0
1941,2.9515025978810172e-09
1942,3.034211770724937e-09
1943,1.7419411690866582e-08
1944,9.639558484764166e-09
1945,2.3963544037997053e-08
1946,2.9234318077442367e-08
1947,1.1920871401116528e-08
1948,1.195907639583993e-08
1949,2.4542520904446974e-08
1950,2.3397795700930146e-08
1951,6.396841278899501e-09
1952,7.381362632230548e-09
1953,1.723812381726475e-08
1954,9.772536557761669e-09
1955,2.0648336374051723e-08
1956,1.4825940475304833e-08
1957,7.951533653738352e-09
1958,1.4062814024384807e-08
1959,6.200598257066758e-09
1960,2.353083417006019e-08
1961,1.389631876236308e-08
1962,6.976152100435229e-09
1963,9.69907976156037e-09
1964,9.125952438182594e-09
1965,1.0396882466068291e-08
1966,1.163205709531212e-08
1967,1.232583901611406e-08
1968,1.122853987567396e-08
1969,8.629339909305145e-09
1970,6.898087434592526e-09
1971,7.707596338946132e-09
1972,6.156176013405457e-09
1973,1.3231689521830958e-08
1974,5.06301445213353e-09
1975,2.2845920710778955e-09
1976,3.9994687561772935e-09
1977,5.289103821581875e-09
1978,8.316828115084718e-09
1979,6.437170796402825e-09
1980,3.97960553399912e-09
1981,8.855769451088236e-09
1982,3.1037510339615437e-09
1983,6.315316269933646e-09
1984,5.219107812592938e-09
1985,3.609334831011779e-09
1986,4.7955883708539204e-09
1987,4.277571630240118e-09
1988,7.195864348830128e-09
1989,4.390497743145261e-09
