year,longues_ADJ ailes_NOUN,longues_ADJ selles_NOUN
1800,2.924072930454713e-07,0.0
1801,1.0715321963061797e-07,0.0
1802,1.3427040812530322e-07,0.0
1803,1.6967950955404376e-07,0.0
1804,7.415552971679062e-08,0.0
1805,2.2743021688143017e-08,0.0
1806,5.4751712497136396e-08,0.0
1807,3.701041606518629e-08,0.0
1808,9.290903335568146e-08,0.0
1809,7.454800510231507e-08,0.0
1810,8.658469141664682e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,1.8670457180292033e-08,0.0
1813,6.326631307729258e-08,0.0
1814,0.0,0.0
1815,3.776112933451259e-08,0.0
1816,9.502176112619054e-08,0.0
1817,1.5101672090622742e-07,0.0
1818,1.454383635746126e-07,0.0
1819,1.2421260464634543e-08,0.0
1820,3.559944161679596e-08,0.0
1821,3.550135829755163e-08,0.0
1822,8.221005032282847e-08,0.0
1823,6.028439258898288e-08,3.9530747564242574e-09
1824,2.189489300974401e-08,6.736890156844311e-09
1825,6.251864448358901e-08,0.0
1826,7.310627125889368e-08,0.0
1827,2.488663675137559e-08,0.0
1828,9.906085551847355e-08,0.0
1829,4.8009784592295546e-08,8.57317605795771e-10
1830,6.679574937606958e-08,1.0436835840010872e-09
1831,7.171954763407484e-08,0.0
1832,4.6001897402447867e-08,0.0
1833,6.950177322551099e-08,0.0
1834,1.2508272106970253e-07,0.0
1835,1.2025310525132227e-07,0.0
1836,9.409050250042128e-08,0.0
1837,9.253994903701823e-08,0.0
1838,5.3653376852480505e-08,0.0
1839,8.389770300709642e-08,0.0
1840,4.58617570586739e-08,0.0
1841,9.309795245826535e-08,0.0
1842,6.238686722781495e-08,0.0
1843,8.151537400635789e-08,0.0
1844,1.0702694197561868e-07,0.0
1845,7.589110140315825e-08,0.0
1846,5.913046408068112e-08,0.0
1847,4.853901458545806e-08,0.0
1848,6.516629724728773e-08,0.0
1849,6.033178578945808e-08,0.0
1850,9.911934029105396e-08,0.0
1851,4.9660677348128957e-08,0.0
1852,6.836072685700856e-08,0.0
1853,1.5586742563300504e-07,0.0
1854,7.897409659562982e-08,0.0
1855,8.119613426060823e-08,0.0
1856,5.4360487666826884e-08,0.0
1857,6.150701636897793e-08,0.0
1858,6.508589223130912e-08,0.0
1859,6.008764330545091e-08,0.0
1860,9.062824091188304e-08,0.0
1861,3.678451676591976e-08,0.0
1862,1.0346188616949803e-07,0.0
1863,6.642845562510047e-08,0.0
1864,7.815406632971644e-08,0.0
1865,8.613525181999648e-08,0.0
1866,8.514822269489741e-08,0.0
1867,5.871901720411188e-08,0.0
1868,7.755602382530924e-08,4.93987406535723e-10
1869,6.690421372468336e-08,0.0
1870,9.977244985748257e-08,0.0
