year,tes_DET herbes_NOUN
1800,0.0
1801,2.3811825844433088e-08
1802,2.4616241489638924e-08
1803,5.851017448321727e-09
1804,9.887403784603066e-09
1805,1.1371510844071508e-08
1806,1.4408345627714425e-08
1807,2.8469551160981155e-09
1808,4.5321479902327155e-09
1809,2.259030518203531e-09
1810,7.020380277111826e-09
1811,1.504245972228091e-08
1812,0.0
1813,0.0
1814,6.293354282149721e-09
1815,0.0
1816,2.3176038865813098e-09
1817,7.784367039853635e-09
1818,1.3113295338484932e-08
1819,6.210630232317271e-09
1820,2.3732962262101864e-09
1821,4.930744035291923e-09
1822,1.1028177482330648e-08
1823,1.9765373782121287e-09
1824,1.0947446504872005e-08
1825,1.0566531649658373e-08
1826,1.4092774947016551e-08
1827,3.6869091668556564e-09
1828,9.172301251858528e-10
1829,8.57317605795771e-10
1830,8.349468672008697e-09
1831,0.0
1832,9.470978779013706e-09
1833,2.3167257001688313e-09
1834,1.0267984462686286e-08
1835,6.050470346963266e-09
1836,1.2769425516978572e-08
1837,9.74104708006962e-09
1838,4.418513332993257e-09
1839,8.38977065598101e-09
1840,5.095750932326837e-09
1841,1.926164561183441e-09
1842,2.683306021822318e-09
1843,4.13483786099178e-09
1844,8.781698090931656e-09
1845,5.580227835366713e-09
1846,5.854501328173001e-10
1847,9.168480197274675e-09
1848,3.218088684420195e-09
1849,0.0
1850,1.425689166723032e-08
1851,9.674158363282004e-09
1852,3.906327261660181e-09
1853,8.360704129017904e-09
1854,8.313063126763609e-09
1855,5.837630823180007e-09
1856,5.177189343896771e-09
1857,3.905207379695241e-09
1858,1.0766087521485446e-08
1859,3.055304009791371e-09
1860,5.95033897154984e-09
1861,9.903524222920623e-09
1862,1.0843167252971853e-08
1863,1.0988165932701577e-08
1864,5.2742007428108195e-09
1865,3.294791106611683e-09
1866,4.865612801552288e-09
1867,4.85281148598915e-09
1868,9.87974813071446e-10
1869,3.906815315701806e-09
1870,4.587239033071455e-09
1871,6.37270636261178e-09
1872,7.861540751719076e-09
1873,5.986004469882289e-09
1874,2.3898436563030145e-09
1875,8.58229043387837e-09
1876,1.813804439976252e-09
1877,5.566334282391949e-09
1878,1.268208649207736e-08
1879,9.163987790827832e-09
1880,6.417846254436199e-10
1881,6.972507571312292e-10
1882,2.6621540527571597e-09
1883,4.423537092179686e-09
1884,1.4523733327109767e-08
1885,5.80107206715752e-09
1886,1.9360391623202133e-09
1887,4.570247291724172e-09
1888,1.9021844099853524e-09
1889,3.132568426877924e-09
1890,2.6217545912032847e-09
1891,3.1871101313640793e-09
1892,3.1342561879199593e-09
