year,deux_DET ailes_NOUN,deux_DET selles_NOUN
1800,1.0375742718338188e-06,8.489244152087849e-08
1801,1.5168133558063346e-06,8.572257570449437e-08
1802,1.3292770120187924e-06,1.9245425164626795e-07
1803,2.94891282237586e-06,9.361628405812894e-08
1804,1.0628959479230815e-06,2.743754592415826e-07
1805,1.083136410784391e-06,2.444874764861993e-07
1806,8.472107424495334e-07,1.152667650217154e-07
1807,6.491057717994408e-07,1.395008073501458e-07
1808,8.860349289818714e-07,1.1330369886763947e-07
1809,7.951787637239249e-07,9.262025457701384e-08
1810,6.552354747668687e-07,1.8955026837019773e-07
1811,6.117267048466601e-07,1.6546707115594472e-07
1812,4.1341727730070943e-07,1.6536691127555514e-07
1813,4.428642150777762e-07,2.3868655785186377e-07
1814,4.090680283397319e-07,4.09068032780624e-07
1815,5.93389177794279e-07,4.0188631977855493e-07
1816,1.9166584337426684e-06,8.1116134253989e-08
1817,2.0986654121202264e-06,2.0706416670179806e-07
1818,7.987188901381614e-07,2.574974327096413e-07
1819,8.539616018765628e-07,1.180019719715375e-07
1820,4.4261975506998397e-07,1.5426425292730528e-07
1821,6.123984395145499e-07,1.4693617167438333e-07
1822,6.416394029429284e-07,2.325942887182464e-07
1823,5.682544674812107e-07,5.988908062803944e-07
1824,7.065313667453665e-07,2.282121478458521e-07
1825,8.012953003344592e-07,1.664228790332345e-07
1826,5.85730944635543e-07,4.1485607304991845e-07
1827,5.530363971217866e-07,3.097003826724176e-07
1828,6.438955555410075e-07,2.5865888986231766e-07
1829,5.392527819836346e-07,3.1635018871156717e-07
1830,7.357969238341866e-07,4.7278865622502053e-07
1831,4.6305881440389385e-07,1.9956743813054345e-07
1832,7.130294026325146e-07,4.5054799002741674e-07
1833,5.710729098495904e-07,1.7838788224366908e-07
1834,6.226132391873307e-07,3.5471217785243425e-07
1835,9.363103075088475e-07,2.0117813193110123e-07
1836,7.62805150600343e-07,2.4799567199806916e-07
1837,6.582165070767587e-07,5.851586450944524e-07
1838,6.791886129065006e-07,2.6384837070736467e-07
1839,6.760756576795757e-07,3.915226045592135e-07
1840,5.809155929625831e-07,3.280389719861887e-07
1841,6.516856601024301e-07,4.918140135146132e-07
1842,5.49406912853101e-07,3.843835756356384e-07
1843,6.62755434532869e-07,2.439554265265542e-07
1844,5.334881301166661e-07,1.8057366801826902e-07
1845,6.182892455797173e-07,1.6684881831707798e-07
1846,6.264316283477456e-07,2.7750336784038154e-07
1847,5.301538976709708e-07,1.6988654660821112e-07
1848,4.3766007173928756e-07,1.995215033190334e-07
1849,6.670014300880212e-07,4.474607582238832e-07
1850,6.028628725118779e-07,3.6321129215366454e-07
1851,6.952494793210917e-07,2.844202491303349e-07
1852,8.17073445347205e-07,4.0235170928326625e-07
1853,6.891609523052011e-07,2.7112571032716914e-07
1854,4.733250253963206e-07,2.6238105022002856e-07
1855,6.920246065078572e-07,2.0590915994489478e-07
1856,4.83031763920394e-07,9.318940552560662e-08
1857,6.56562951562023e-07,1.503504778455067e-07
1858,6.038795934415475e-07,2.0798122690735e-07
1859,5.525008148765664e-07,1.4614537491297597e-07
1860,9.479348150875921e-07,1.7942561036932148e-07
1861,6.192060340026728e-07,1.7826343423621438e-07
1862,7.825152019691473e-07,1.6219571286058e-07
1863,5.638926836581959e-07,1.6082679277218404e-07
1864,5.322148197706156e-07,1.1699136059917237e-07
1865,5.135167260306162e-07,1.317916389353968e-07
1866,5.804675931031511e-07,8.466166434573097e-08
1867,6.682321220807808e-07,1.848921122871161e-07
1868,5.893269587886607e-07,1.8919717348353515e-07
1869,5.718601077120411e-07,1.201345689594291e-07
1870,6.290251377549794e-07,8.88777584862055e-08
1871,6.415191045050506e-07,1.2108142133371302e-07
1872,5.061622916358033e-07,1.1006157585313758e-07
1873,6.051850558463912e-07,1.8736193929669298e-07
1874,6.016431424171742e-07,1.828230438150058e-07
1875,5.561324201153184e-07,1.5104831696532983e-07
1876,7.708668992023604e-07,1.239433062849571e-07
1877,6.413654176640193e-07,1.3359202633012046e-07
1878,6.117596704768857e-07,1.6788666101774652e-07
1879,5.571704599915961e-07,1.0691319030087243e-07
