year,deux_DET heures_NOUN,deux_DET soeurs_NOUN
1800,1.6107554699829052e-05,5.345079623353399e-08
1801,1.3696562405129953e-05,5.476719988628531e-08
1802,1.4049160284912432e-05,7.608656460433849e-08
1803,1.2802027100633495e-05,4.290746136170753e-08
1804,1.3043957494573988e-05,5.6852570651244605e-08
1805,1.3702670912607573e-05,6.538618801954499e-08
1806,1.5978855003595527e-05,5.4751712497136396e-08
1807,1.605682703598177e-05,2.562259560079383e-08
1808,1.1976201392371877e-05,2.039466640013643e-08
1809,1.5478876889574167e-05,8.584316213422483e-08
1810,1.35657149655799e-05,5.148279003108769e-08
1811,1.350060801996733e-05,6.518399731092472e-08
1812,1.3490739291910359e-05,5.867858199337661e-08
1813,1.6552768556721276e-05,2.8757417114277928e-08
1814,2.266236811010458e-05,4.090680416624082e-08
1815,1.8637815514921385e-05,6.473336622292436e-08
1816,1.4262534136832983e-05,2.3176038865813098e-08
1817,1.5514243159486796e-05,3.269434234454138e-08
1818,1.7846002947408124e-05,3.695564831929232e-08
1819,1.2478190541287404e-05,2.1737204591865122e-08
1820,1.8903304408013355e-05,3.322614627876419e-08
1821,1.5439145670370635e-05,3.1556761759254925e-08
1822,1.7077633458484343e-05,3.308453244699194e-08
1823,2.0854445153872803e-05,3.1624597385260245e-08
1824,1.6881804981494497e-05,3.621078459303817e-08
1825,1.7957821398795204e-05,2.7296874094417944e-08
1826,1.859629810496699e-05,3.699353401387384e-08
1827,1.638185909769163e-05,3.0417001251059617e-08
1828,1.4965527043386828e-05,1.926183262890291e-08
1829,1.5288544886971067e-05,4.02939258070667e-08
1830,1.6875319715836667e-05,2.191735437584441e-08
1831,1.623200500944222e-05,3.2741533706470705e-08
1832,1.6506561962614796e-05,3.923691038743016e-08
1833,1.950683059703806e-05,1.9692169006546578e-08
1834,1.9818142618532875e-05,3.5471216852656084e-08
1835,1.7809558812587056e-05,5.672315950278062e-08
1836,1.6008827401492454e-05,2.822715106098883e-08
1837,1.6787302797638404e-05,2.6439985201243132e-08
1838,1.6327670095961366e-05,2.9667160283963767e-08
1839,1.4533878527345223e-05,2.377101604444931e-08
1840,1.57770817850178e-05,1.1465439875291139e-08
1841,1.6832751498441212e-05,1.9903700465562224e-08
1842,1.653318929584202e-05,2.4149755084579283e-08
1843,1.4146461069231009e-05,1.9492806979659605e-08
1844,1.2907998439004587e-05,2.085653205696758e-08
1845,1.376753846216161e-05,1.4508592771633744e-08
1846,1.6126809669003705e-05,2.1076205003467408e-08
1847,1.4196043593983632e-05,1.3483059113639229e-08
1848,1.668176776092878e-05,2.3331142129379145e-08
1849,1.756828169163782e-05,1.5920888385423382e-08
1850,1.6575334427670896e-05,1.9009188889640427e-08
1851,1.5814668586244807e-05,1.4833708705808135e-08
1852,1.5501608686463442e-05,2.8646399918841325e-08
1853,1.6080023897302453e-05,1.254105730374988e-08
1854,1.5527762627698394e-05,1.1950028078189234e-08
1855,1.5755765559788415e-05,1.539011762474729e-08
1856,1.5193497290511004e-05,1.138981625681268e-08
1857,1.7757952946340083e-05,1.9526036509898148e-08
1858,1.6777478322183015e-05,1.4191660790974225e-08
1859,1.6445174367163418e-05,1.4258085601071002e-08
1860,1.830186943152512e-05,1.7851017525272184e-08
1861,1.680062126752091e-05,1.0375120262917648e-08
1862,1.738927812766633e-05,1.445755623552536e-08
1863,1.5469839070192393e-05,1.448440001272644e-08
1864,1.5318196460611944e-05,1.7740492741502578e-08
1865,1.539420480867193e-05,2.4946275212212043e-08
1866,1.5660461940569803e-05,1.9949013607689636e-08
1867,1.5268885647401476e-05,2.8631587767335986e-08
1868,1.8126868326362455e-05,1.8771522225513593e-08
1869,1.7193894677802746e-05,1.3673853827000926e-08
1870,1.661440586531171e-05,2.121598097204469e-08
1871,2.461457756908203e-05,2.4428707723345156e-08
1872,2.053253120948284e-05,1.9956219121652907e-08
1873,1.8682918209833588e-05,1.5563611344138195e-08
1874,2.0490520284965896e-05,1.8521287892259153e-08
1875,1.8516578279559326e-05,1.6592428819794947e-08
1876,1.6249269322088367e-05,1.3301232559825849e-08
1877,1.6582109651608334e-05,2.6594708102400944e-08
1878,1.5807918543941923e-05,2.596808174049059e-08
1879,1.600765449438768e-05,1.5884246140629443e-08
1880,1.591240811649186e-05,1.0268554451187129e-08
1881,1.748007707647048e-05,2.370652524286143e-08
1882,1.682547838299797e-05,2.0631694352957197e-08
1883,1.759430352876734e-05,3.4756364897248204e-08
1884,1.802461258648691e-05,1.5844073608661802e-08
1885,1.8110303244611714e-05,2.127059822720767e-08
1886,1.7061667904272326e-05,1.677900562935264e-08
1887,1.7910146937083482e-05,1.6975204131242094e-08
1888,1.7513412160496955e-05,1.7119659911912777e-08
1889,1.7658915339779924e-05,3.94703618677994e-08
1890,1.7237381314316735e-05,1.966315876789082e-08
1891,1.7638103770423186e-05,2.7409146508006188e-08
1892,1.7339331861876417e-05,1.5044429702015805e-08
1893,1.7376588743900356e-05,2.648119085124634e-08
1894,1.7293313987920556e-05,1.8274463942091757e-08
1895,1.7881905478134286e-05,1.6852121031973866e-08
1896,1.663610902369328e-05,2.063960141684973e-08
1897,1.6854350747053104e-05,2.2141511846207607e-08
1898,1.615290608469877e-05,2.0370077735698544e-08
1899,1.619967395072308e-05,2.2110313580014918e-08
1900,1.545636081345947e-05,2.3878843569136166e-08
1901,1.5626672507096373e-05,2.9620316033263094e-08
1902,1.4631173144152854e-05,2.504244756007523e-08
1903,1.565577866813328e-05,1.8900770948349077e-08
1904,1.4278766457209713e-05,2.8485513503540005e-08
1905,1.5047740873797011e-05,2.993240344473236e-08
1906,1.4887784004713467e-05,2.932185139137289e-08
1907,1.391036255427025e-05,2.31427956243202e-08
1908,1.4780825097204797e-05,2.3574666885295414e-08
1909,1.4753637799458375e-05,2.475442661964422e-08
1910,1.4705499609135586e-05,2.7255167567297178e-08
1911,1.4490039404790878e-05,2.9794094524859815e-08
1912,1.4362374486154295e-05,2.3963337980603683e-08
