year,pouvais_VERB avoir_VERB,pouvais_VERB savoir_VERB
1800,1.9179402954705438e-07,9.432493897065797e-09
1801,1.04772034603684e-07,7.143547975374531e-09
1802,1.3427040812530322e-07,4.475680270843441e-09
1803,5.460949736857401e-08,2.145373123596528e-08
1804,1.5819846055364906e-07,1.9774807569206132e-08
1805,1.6204403152642044e-07,2.55858996212055e-08
1806,1.152667650217154e-07,2.305335300434308e-08
1807,7.686778502602465e-08,2.2775640928784924e-08
1808,7.024829073998262e-08,2.945896149242344e-08
1809,1.4683698168482806e-07,6.7770917766551975e-09
1810,1.4040760731859336e-07,1.6380887757350138e-08
1811,1.930449116116506e-07,2.2563691359778204e-08
1812,5.867858021701977e-08,8.00162425207418e-09
1813,1.0927818294703684e-07,1.4378708002027452e-08
1814,1.0384034254684593e-07,2.8320094713762956e-08
1815,1.348611817775236e-07,2.697223555614414e-09
1816,1.321034233114915e-07,0.0
1817,2.2886038664182706e-07,2.3353100786493997e-08
1818,1.9550731167328195e-07,2.2650237241350624e-08
1819,1.1800197086131448e-07,2.2772310259711048e-08
1820,1.8393045309039735e-07,3.322614716694261e-08
1821,2.958446430056938e-07,5.818278125957477e-08
1822,2.967582304336247e-07,2.8071724500478012e-08
1823,3.597297961732693e-07,2.7671523739059012e-08
1824,2.7537038249647594e-07,4.7158231097910175e-08
1825,2.236582474779425e-07,3.0819052199149155e-08
1826,2.0082204343907506e-07,5.460950447400137e-08
1827,2.0001482425868744e-07,2.8573547083965423e-08
1828,2.623278021474107e-07,2.2930752408001354e-08
1829,2.5976723350140674e-07,5.3153691226270894e-08
1830,3.4441558227626956e-07,7.201416707403041e-08
1831,2.432228143334214e-07,3.1182413096075834e-08
1832,4.045460855195415e-07,4.058990654698391e-08
1833,3.4287540984223597e-07,4.749287541017111e-08
1834,2.4363126271964575e-07,3.733812548034621e-08
1835,3.1235552455655125e-07,7.638718813041123e-08
1836,2.473236122568778e-07,3.36037508930076e-08
1837,1.6977253380900947e-07,3.965997663613052e-08
1838,1.60328909259988e-07,2.7773513266993177e-08
1839,2.055493695252153e-07,4.334714631681891e-08
1840,2.1529547211684985e-07,4.395085184683012e-08
1841,1.823435837877696e-07,1.7977535904378783e-08
1842,2.542432468999323e-07,3.018719141323345e-08
1843,1.9197460687792045e-07,3.0125246297529884e-08
1844,1.9264849981937004e-07,3.2382512671347286e-08
1845,1.858215910033323e-07,4.743193926515232e-08
1846,1.7270778585043445e-07,2.6345256642912318e-08
1847,1.396844879764103e-07,2.2651539310913904e-08
1848,2.083712473677224e-07,2.896279838182636e-08
1849,2.4467891535095987e-07,3.1841775438579134e-08
1850,1.6022030990825442e-07,2.1045888587423178e-08
1851,1.4769214828902477e-07,3.740674614505224e-08
1852,1.58206248102033e-07,2.278690836021724e-08
1853,1.845326949023729e-07,3.523439673358553e-08
1854,2.561462508765544e-07,1.9743524148907454e-08
1855,2.494260513685731e-07,2.2289135870323662e-08
1856,2.0605213535418443e-07,3.209857268871019e-08
1857,2.118574968790199e-07,5.662550606189143e-08
1858,2.1336427380447276e-07,4.3553715300959084e-08
1859,2.210003202662847e-07,4.99032992706816e-08
1860,2.4671021492395084e-07,2.5174511364411956e-08
1861,2.09388787197895e-07,4.715963797252698e-08
1862,2.408086743344029e-07,4.111367601922211e-08
1863,2.2975255831170216e-07,3.646073309937492e-08
1864,2.1096802527154068e-07,2.828889478223573e-08
1865,2.466386490596051e-07,2.7770381549885315e-08
1866,2.067885418455262e-07,2.4814625021463144e-08
1867,1.9847999510602676e-07,2.3778776281346836e-08
1868,2.1043862830083526e-07,3.408512938563035e-08
1869,2.2903704177679174e-07,4.102156125895817e-08
1870,2.2362790730312554e-07,5.447346396181274e-08
1871,2.63405183886789e-07,2.8677177965619194e-08
1872,2.2556575629550935e-07,3.205089882385437e-08
1873,2.3704578211436456e-07,2.6338419445437466e-08
1874,2.8498885740191326e-07,3.584765551067903e-08
1875,3.2498275004400057e-07,4.863298030954866e-08
1876,2.3579457320010988e-07,3.688068872520489e-08
1877,2.1708703457079537e-07,2.2265338017746217e-08
1878,2.059329204939786e-07,1.4493812372506909e-08
1879,2.1138265537956613e-07,4.459807456669296e-08
1880,2.2975889635290514e-07,3.9790645445236805e-08
1881,1.9104670911929134e-07,1.8825771164188154e-08
1882,2.389283224601968e-07,3.1945848633085916e-08
1883,1.965314453400424e-07,2.9068958795619437e-08
1884,1.7824581277636753e-07,2.9047466654219534e-08
1885,1.6565283544878184e-07,1.9981470700258797e-08
1886,1.7101679361530842e-07,4.323820945728585e-08
1887,2.3699996631876274e-07,2.8074376601239237e-08
1888,1.4646819579411385e-07,3.1703073943845084e-08
1889,1.67279154084099e-07,3.884384724983647e-08
1890,2.0777405040917074e-07,5.1124214195397144e-08
1891,1.625426051532486e-07,3.7607897240832244e-08
1892,1.5984706180915964e-07,3.19694137829174e-08
1893,1.6997229579374107e-07,2.155445777418663e-08
1894,1.8274464252954203e-07,4.0329851458409394e-08
1895,1.7694726750505652e-07,2.467631965430428e-08
1896,1.7632116566801415e-07,2.94851449922362e-08
1897,1.579039405896765e-07,2.7968225069230357e-08
1898,1.7993568235397106e-07,3.1120951149432585e-08
1899,2.0230936570442282e-07,4.09040801230276e-08
1900,1.6455638274237572e-07,3.322274011452464e-08
1901,1.4977820228523342e-07,4.5827658112784775e-08
1902,1.4829056738108193e-07,1.6203935970793282e-08
1903,1.5606636338816315e-07,2.6461078661554893e-08
1904,1.4726472841175564e-07,2.3110889202371254e-08
1905,1.5740315006951278e-07,2.5287718585786934e-08
1906,1.4455159202952927e-07,1.4403716441790948e-08
1907,1.6662812640788616e-07,5.502842270743713e-08
1908,1.6404040081852145e-07,2.504808449543816e-08
1909,1.4742636267328635e-07,3.025541062129378e-08
1910,1.9132059492221742e-07,2.5651923252212327e-08
1911,1.745082727211411e-07,3.085817112946643e-08
1912,1.3336118342976988e-07,1.719108944087111e-08
1913,1.8507434162984282e-07,2.7575547179026216e-08
1914,1.372832514334732e-07,2.276892807628883e-08
1915,2.1912217107455945e-07,2.591767689352764e-08
1916,1.2965205087311915e-07,2.6369908923129515e-08
1917,9.431124681213987e-08,1.5352993543160665e-08
1918,1.3324196856956405e-07,3.101321510712296e-08
1919,1.7034518862146797e-07,5.248473655683483e-08
1920,1.771902162772676e-07,4.619061400035207e-08
1921,1.249503327471757e-07,6.058198209757393e-08
1922,1.4608312426389602e-07,4.352981974875547e-08
1923,1.4862327191167424e-07,1.9108707505210987e-08
1924,1.6114530865252163e-07,6.961477083677892e-08
1925,1.8586921157748293e-07,1.5397448649423495e-08
1926,2.0397433786456531e-07,3.4553028882555736e-08
1927,1.861920537749029e-07,3.7907366134959375e-08
1928,1.725332197111129e-07,3.7705934374798744e-08
1929,2.0721155635783362e-07,4.790374674712439e-08
1930,1.7015837272538192e-07,6.302162347537887e-08
1931,1.6195606633573334e-07,4.44808918587114e-08
1932,1.9946357099343004e-07,2.7398842306070037e-08
1933,1.9385419136597193e-07,3.326492148403304e-08
1934,1.3898633710596187e-07,2.7557634396657704e-08
1935,2.094449769174389e-07,5.146362269670135e-08
1936,1.6610859177035309e-07,5.2136272188363364e-08
1937,1.4983430673964904e-07,3.021868266728234e-08
1938,1.2705909568921925e-07,4.6674770715071645e-08
1939,1.4376406909377693e-07,4.7411557346777045e-08
1940,1.141102288215734e-07,3.0429394115571995e-08
1941,1.7709015764921787e-07,5.017554371988808e-08
1942,1.365395263519531e-07,5.461581054078124e-08
1943,1.800005833274554e-07,4.3548528338988035e-08
1944,1.5744612369417155e-07,8.032965581605822e-08
1945,1.568522947081874e-07,4.357008265287732e-08
1946,2.1299290153820039e-07,6.12528623378239e-08
1947,2.68219594090624e-07,6.198852986472048e-08
1948,2.0330429606474354e-07,5.870819563824625e-08
1949,1.7376105176936107e-07,4.613993809243766e-08
1950,1.6378456280108367e-07,3.509669355139522e-08
1951,2.0896347052712372e-07,7.676209179408033e-08
1952,1.6871686625563598e-07,4.639713679921442e-08
1953,1.4975620388213429e-07,4.955960619668076e-08
1954,1.719966320479216e-07,5.961246785091134e-08
1955,1.604938972832315e-07,5.349796339260138e-08
1956,2.1541220007748052e-07,6.279221764771137e-08
