year,des_DET airs_NOUN,des_DET serres_NOUN
1800,1.9305169658423438e-06,4.055972313565803e-07
1801,1.514432067750704e-06,3.357467521780677e-07
1802,1.609007057368217e-06,4.386166665426572e-07
1803,1.7045964781914336e-06,5.851017395031022e-07
1804,2.031861363605003e-06,3.7077763259674157e-07
1805,1.6289689126480766e-06,5.771041704516477e-07
1806,2.4321286673512077e-06,3.486819775133654e-07
1807,1.6853974180719433e-06,3.387876668092815e-07
1808,1.8400520644945573e-06,3.149842804361924e-07
1809,1.6468332475483294e-06,8.990941502418082e-07
1810,2.5975406430234216e-06,2.2699229873524018e-07
1811,2.2062274780410007e-06,8.173070007444494e-07
1812,1.7150148821087896e-06,2.1871108213389334e-07
1813,2.2286997882758897e-06,2.6169247746565816e-07
1814,2.0359000529879268e-06,2.454408121188578e-07
1815,1.151714417169103e-06,3.695196217901042e-07
1816,1.3418926556596489e-06,1.9236112791531923e-07
1817,1.6627408570002444e-06,5.822706757863116e-07
1818,1.6308170760481744e-06,2.670343706157041e-07
1819,1.495726777989148e-06,2.3082841060784176e-07
1820,1.940169710223927e-06,2.2071654370847682e-07
1821,1.4900709235377008e-06,2.840108626056548e-07
1822,1.6903187969319333e-06,2.6267113639733e-07
1823,1.6691858242268154e-06,3.6862423158368074e-07
1824,1.5318003860897988e-06,2.2147526124172146e-07
1825,1.7681329573804305e-06,3.25801385869795e-07
1826,1.4621254500468694e-06,1.5502052519433818e-07
1827,1.1825761010442193e-06,3.023265584545243e-07
1828,1.3740107824844472e-06,2.971825523445659e-07
1829,1.3717082136821546e-06,3.549294954052762e-07
1830,1.652151127018442e-06,2.7761982757112946e-07
1831,1.4437456314908559e-06,2.7596434115650936e-07
1832,1.6290083664216581e-06,3.4366121148821094e-07
1833,1.692368128303201e-06,2.6758182836150723e-07
1834,1.4617875230271693e-06,4.023182813561732e-07
1835,2.072286044096927e-06,3.153807739408876e-07
1836,1.4785650712667575e-06,3.0848243826042676e-07
1837,1.4423708147859315e-06,2.525714544177049e-07
1838,1.5433235649453536e-06,2.6826687582470754e-07
1839,1.7059199706181971e-06,2.0764681618601344e-07
1840,1.4790416997811917e-06,2.254869773121726e-07
1841,1.596790447422336e-06,2.3113975267108344e-07
1842,1.6992035796192795e-06,1.9722298949531591e-07
1843,1.7130041811697083e-06,2.0556050478459653e-07
1844,1.6449218165348611e-06,2.4972952972213136e-07
1845,1.343718853519249e-06,2.617127006221409e-07
1846,1.5087050151407766e-06,2.9331050832581695e-07
1847,1.3671822181038351e-06,2.615713592390989e-07
1848,1.5519232903216107e-06,1.9871697332085603e-07
1849,1.539298523312027e-06,2.907656870831943e-07
1850,1.2220192786571715e-06,2.661286409022523e-07
1851,1.2756989651308004e-06,4.998314850901409e-07
1852,1.5840156546431672e-06,3.1120408228169083e-07
1853,1.6166019918273378e-06,3.5294117406436953e-07
1854,1.4360816216196781e-06,2.914767618378278e-07
1855,1.7979903113030105e-06,3.99612357426804e-07
1856,1.812533945155792e-06,3.4583624319850514e-07
1857,1.770035183312757e-06,2.850801341658382e-07
1858,1.914895452870269e-06,2.945992946257192e-07
1859,1.8591524533206893e-06,2.586824161543433e-07
