year,vingt - six hommes
1800,1.3779073526620778e-07
1801,7.844948690660658e-09
1802,3.941606863122615e-08
1803,1.071427835341865e-08
1804,0.0
1805,9.366705633340189e-09
1806,1.8959589453970693e-08
1807,6.229897042686616e-09
1808,6.972414468009447e-08
1809,2.4709592594263086e-08
1810,4.6157225597198703e-08
1811,1.9315123722662975e-08
1812,0.0
1813,0.0
1814,3.439378781777691e-09
1815,4.7302680883376524e-08
1816,2.0265126465801586e-08
1817,8.530617989777056e-09
1818,4.8222947413023576e-08
1819,2.0350963580995085e-08
1820,1.268975182711074e-07
1821,3.7801125785108525e-08
1822,2.1929523974506537e-08
1823,5.3979358760614105e-09
1824,9.1875387298046e-09
1825,4.228709826747945e-08
1826,5.7663548602704395e-08
1827,9.05458872324516e-08
1828,5.312247286504146e-08
1829,3.746197485554603e-08
1830,4.337289993827653e-08
1831,3.2517515791141705e-08
1832,4.5961446204501044e-08
1833,3.67539598755684e-08
1834,3.989210028976231e-08
1835,3.4858341990684494e-08
1836,3.9654842964864656e-08
1837,4.630502559166416e-08
1838,2.3399627124831568e-08
1839,5.884785547749516e-08
1840,5.775587652578906e-08
1841,3.2993012877291505e-08
1842,4.181068558040124e-08
1843,2.904380203005985e-08
1844,2.0345511941854966e-08
1845,1.9521295246960335e-08
1846,5.125283664142444e-08
1847,4.594667757373827e-08
1848,1.4975327644606296e-08
1849,2.4770370643523165e-08
1850,1.8575166293999246e-08
1851,2.0469849815185626e-08
1852,2.6394068708412988e-08
1853,2.745557736716364e-08
1854,2.6710964107223845e-08
1855,3.316139246534178e-08
1856,2.7788587431132328e-08
1857,2.6748486092742496e-08
1858,2.626883954803816e-08
1859,2.3969320528394178e-08
1860,2.8602498147733968e-08
1861,3.201583043122014e-08
1862,1.2872821031351123e-08
1863,2.8509589355962817e-08
1864,1.102403290875742e-08
1865,1.289901341294808e-08
1866,1.0144681539259182e-08
1867,2.448732594473313e-08
1868,2.272162724636928e-08
1869,1.7679131047998453e-08
1870,1.1938247723719542e-08
1871,2.682932986886044e-08
1872,2.2553939160729897e-08
1873,1.5745019510404745e-08
1874,2.7531688928661424e-08
1875,2.9548761659725642e-08
1876,2.523515796326592e-08
1877,1.9741923651395155e-08
1878,2.725203473996629e-08
1879,9.408740730965093e-09
1880,2.4027742906440608e-08
1881,2.305317714501598e-09
1882,1.6120793588925153e-08
1883,2.2293149992691497e-08
1884,2.618943284460329e-08
1885,1.9175626420064873e-08
1886,2.9156996816936953e-08
1887,2.3048396968761153e-08
1888,1.8171449789328165e-08
1889,2.4199217740772383e-08
1890,2.0241128217968196e-08
1891,1.6865296714740907e-08
1892,2.075156579905979e-08
1893,2.309600155570024e-08
1894,2.2268190846830294e-08
1895,1.9925872507542408e-08
1896,2.992003000912291e-08
1897,1.6104603650646254e-08
1898,2.809166632644633e-08
1899,3.660246150616331e-08
1900,1.7781614403133972e-08
1901,1.1717957271173418e-08
1902,1.6221457954657126e-08
1903,4.768793804288407e-09
1904,1.4244544210839649e-08
1905,1.709368846469772e-08
1906,1.4756708299756838e-08
1907,2.841844815026917e-09
1908,1.7359566228947187e-08
1909,2.7903900523540415e-08
1910,2.8312121536089307e-08
1911,2.8771869553523288e-08
1912,6.897265869554303e-09
1913,9.946869994337248e-09
1914,1.7727824985769303e-08
1915,2.207976557144775e-08
1916,1.572136909544497e-08
1917,1.8091534936814924e-08
1918,1.0110157377951623e-08
1919,2.2296880786143447e-08
1920,1.7521090356353852e-08
