year,devrais_VERB avoir_VERB,devrais_VERB savoir_VERB
1800,6.288328791015374e-08,0.0
1801,1.1905912700171939e-08,2.3811825844433088e-09
1802,1.3427040812530322e-08,6.713520406265161e-09
1803,1.1702034896643454e-08,5.851017448321727e-09
1804,4.449331569844617e-08,0.0
1805,2.842877755426798e-08,0.0
1806,1.729001475325731e-08,1.729001475325731e-08
1807,0.0,0.0
1808,2.039466551195801e-08,0.0
1809,6.7770917766551975e-09,2.259030518203531e-09
1810,2.574139479349924e-08,1.1700633351097167e-08
1811,1.2535384286138651e-08,5.0141535368197765e-09
1812,5.067695596494559e-08,1.0668832928217853e-08
1813,1.1502966579257645e-08,0.0
1814,1.2586708564299443e-08,6.293354282149721e-09
1815,0.0,5.394447111228828e-09
1816,0.0,0.0
1817,5.60474440192138e-08,1.2454987263765815e-08
1818,2.8610825708597076e-08,2.384235475716423e-09
1819,2.070209959015301e-08,7.24573512300708e-09
1820,2.8479554714522237e-08,3.5599443393152796e-09
1821,1.1932401378089708e-07,2.070912508145284e-08
1822,6.717162648328667e-08,3.60922172149003e-08
1823,4.15072847204101e-08,1.680056804787e-08
1824,1.431589158329416e-08,9.263223965660927e-09
1825,3.169959583715354e-08,1.6730341556581152e-08
1826,1.3211976401805714e-08,1.3211976401805714e-08
1827,3.96342727526644e-08,5.530363722527909e-09
1828,2.2013523448549677e-08,6.420610709767516e-09
1829,3.0006116702452346e-08,1.628903412154159e-08
1830,8.871310797076148e-08,2.0873670791843324e-08
1831,4.053713453799901e-08,1.7150327380477393e-08
1832,5.276687886635045e-08,8.117981842303834e-09
1833,4.9809603552830595e-08,1.50587169400751e-08
1834,4.85395617033646e-08,2.240287422239362e-08
1835,6.277362984974388e-08,2.2689263801112247e-08
1836,5.981467410265395e-08,1.6129799718100912e-08
1837,4.174734513640033e-08,2.0873672568200163e-08
1838,5.491580878924651e-08,1.009945904684173e-08
1839,6.152497888933794e-08,2.7965899818127582e-08
1840,2.7389662093924017e-08,7.0066574764382494e-09
1841,4.751206006403663e-08,3.2102742686390684e-09
1842,4.628702754416736e-08,8.049918065466954e-09
1843,6.084118098215185e-08,1.1223130869097986e-08
1844,4.445734802516199e-08,9.330554107123135e-09
1845,5.133809821700197e-08,7.812318791877715e-09
1846,3.454155717008689e-08,1.2294452567118697e-08
1847,2.480882876909618e-08,1.1865092020002521e-08
1848,3.137636639394259e-08,1.528592186161859e-08
1849,2.011059585527164e-08,1.5920887719289567e-08
1850,5.7706465383944305e-08,1.425689166723032e-08
1851,3.4826967976187007e-08,9.029214709244116e-09
1852,6.054807499822346e-08,4.557382027314816e-09
1853,2.9262466227919504e-08,1.6124216628554677e-08
1854,3.636965217879151e-08,4.676098175337984e-09
1855,6.102978034050466e-08,9.021793090369101e-09
1856,2.9509978460851016e-08,1.2425253714809514e-08
1857,5.760180599168052e-08,1.0739319655783675e-08
1858,5.676664116549546e-08,1.5170396494568195e-08
1859,4.379269213927728e-08,1.5785737161877478e-08
1860,4.439868561689764e-08,1.327383358784573e-08
1861,3.584132457490341e-08,9.903524222920623e-09
1862,3.7499287230957634e-08,3.162590411776023e-09
1863,4.6449972757045543e-08,1.048870412745373e-08
1864,6.376988181955312e-08,6.233146443435089e-09
1865,5.2245972881337366e-08,2.5416959203994338e-08
1866,5.011581194480641e-08,2.238181906477621e-08
1867,4.2219461704462447e-08,1.552899675516528e-08
1868,6.076044911651479e-08,8.397785578040384e-09
1869,6.495080384638641e-08,9.278686263769487e-09
1870,3.956493799250893e-08,1.9495765002375265e-08
1871,3.717412155879174e-08,8.496941816815706e-09
1872,3.1446163006876304e-08,8.4662747923403e-09
1873,3.412022664406322e-08,1.5563610844537834e-08
1874,4.719941060216115e-08,6.572069999322139e-09
1875,5.664312041631092e-08,1.2587359599081083e-08
1876,3.9903696347209916e-08,6.04601479992084e-09
1877,6.865145962819952e-08,2.6594708657512456e-08
1878,1.8117265909722846e-08,7.2469061862534545e-09
1879,4.2765275765077604e-08,1.710611030603104e-08
1880,6.417846520889725e-08,1.6044616302224313e-08
1881,5.438555916725818e-08,2.7890030285249168e-09
1882,4.1263387373646765e-08,3.9932310791357395e-09
1883,7.014466518739937e-08,8.21514056781325e-09
1884,2.970763546272792e-08,1.1883054540362536e-08
1885,3.0294486919046903e-08,2.5782542767416317e-09
1886,2.3232470169887165e-08,1.4842966855610484e-08
1887,3.003305337756501e-08,1.2404957061562527e-08
1888,2.8532765483646472e-08,9.510921827882157e-09
1889,3.821733329800736e-08,6.265136853755848e-09
1890,3.1461055982617836e-08,7.209825181320184e-09
1891,3.1871099537283953e-08,4.461953917456185e-09
1892,4.952124754709075e-08,5.641661360300532e-09
1893,2.2170299374124625e-08,8.621783287310336e-09
1894,4.537108111435373e-08,4.411077725308132e-09
1895,5.537125247201402e-08,4.213029924926559e-09
1896,4.599682768002822e-08,2.948514543632541e-09
1897,4.136966680334808e-08,4.078699600285063e-09
1898,4.413516663248629e-08,5.092519295146758e-09
1899,3.0954439012020885e-08,7.185851913504848e-09
1900,3.8932899570909285e-08,9.863001082521805e-09
1901,4.694540578498163e-08,1.0059729937950124e-08
1902,4.075535642300565e-08,1.2275709337927765e-08
1903,3.94216073118514e-08,9.1803746826713e-09
1904,3.869730136329963e-08,8.599400302955473e-09
1905,3.767354073147544e-08,9.28936660926638e-09
1906,4.372556716703002e-08,7.201858220895474e-09
1907,3.445705232252294e-08,6.1714118260169926e-09
1908,4.272908427083166e-08,6.384805573134145e-09
1909,5.555993354278144e-08,1.1001967337165297e-08
1910,5.2907090264397993e-08,1.2291546447329438e-08
1911,3.1922244403403965e-08,1.1172785363555704e-08
1912,4.844761747335724e-08,1.6670147928721235e-08
1913,5.7272288245258096e-08,5.833288518886093e-09
1914,4.2859159776753586e-08,1.4063162190325329e-08
1915,3.652036184575991e-08,3.534228465440492e-09
1916,1.4283700444650549e-08,1.7579939282086343e-08
1917,1.0966424213165737e-07,6.57985488317081e-09
1918,4.709414369585829e-08,3.44591288836682e-09
1919,3.6831394822911534e-08,1.8415697411455767e-08
1920,2.5745588771997063e-08,1.741613253614105e-08
1921,5.755288157160976e-08,1.5145495524393482e-08
1922,5.090775445637519e-08,1.475587119159627e-08
1923,5.520293200333981e-08,1.4862327368803108e-08
1924,4.769901096324247e-08,1.933743654092268e-08
1925,6.378942885021388e-08,3.299453377181294e-09
1926,5.127223801082437e-08,1.3375366592072169e-08
1927,6.243566019747959e-08,3.4562596340492746e-08
1928,6.741364444451392e-08,9.14083297942625e-09
1929,6.127223173280072e-08,7.798284684668033e-09
1930,5.2518018378577835e-08,1.05036033204442e-08
1931,5.018356930008849e-08,1.1405356659111021e-08
1932,5.698959171240858e-08,1.3151444377967891e-08
1933,5.5059178549754506e-08,6.882397318719313e-09
1934,6.470052937856963e-08,7.188948103475923e-09
1935,7.061287732312849e-08,1.555876849579363e-08
1936,5.941110003959693e-08,1.33371855781661e-08
1937,7.176937089070634e-08,1.7627565185307503e-08
1938,4.148868626430158e-08,1.6854778905894818e-08
1939,7.035263394072899e-08,2.2941076593951948e-08
1940,2.2822046474857416e-08,2.028626333583361e-08
1941,7.37875680556499e-08,1.7709016475464523e-08
1942,6.371844563091145e-08,6.068423541449874e-09
1943,6.096794180621146e-08,3.193558839598154e-08
1944,9.639558129492798e-08,1.6065930807940276e-08
1945,5.664110602765504e-08,2.6142048525912287e-08
1946,1.0997672461598995e-07,3.3410650246423756e-08
1947,7.748565877818692e-08,1.7881307101674793e-08
1948,7.392883816237372e-08,2.391815279167986e-08
1949,9.718838356320703e-08,2.3560819073509265e-08
1950,1.0529007710147198e-07,1.2762433776458693e-08
1951,8.315893040844458e-08,1.4925962688039363e-08
1952,8.541291407482277e-08,2.2144087452602434e-08
1953,5.0636987936059086e-08,3.5553629373907825e-08
1954,9.479359874831061e-08,1.5636057781875934e-08
1955,8.822471642133678e-08,1.1262729415761896e-08
1956,7.151336234301198e-08,2.616342520411763e-08
1957,9.18843952035786e-08,1.5903067307476704e-08
1958,7.362296372548371e-08,3.1434524316864554e-08
1959,6.510628480782543e-08,2.7902691712711203e-08
1960,7.128458179295194e-08,4.221708493901133e-08
1961,7.573493832069289e-08,2.91822690456911e-08
1962,7.166410398440348e-08,2.917300001570311e-08
