year,nos_DET ailes_NOUN,nos_DET selles_NOUN
1800,4.7162465932615305e-08,1.5720821977538435e-08
1801,2.8574191901498125e-08,9.524730337773235e-09
1802,2.4616241489638924e-08,0.0
1803,3.1205427131197894e-08,1.950339223455444e-09
1804,2.7190360185613827e-08,7.4155526164076946e-09
1805,7.107194477384837e-08,0.0
1806,8.645007376628655e-09,5.76333825108577e-09
1807,3.131650672116848e-08,2.8469551160981155e-09
1808,2.039466551195801e-08,2.7192887941396293e-08
1809,4.743964154840796e-08,2.259030518203531e-09
1810,2.574139479349924e-08,7.020380365929668e-08
1811,3.760615285841595e-08,3.008491944456182e-08
1812,1.8670456736202823e-08,1.3336041604361526e-08
1813,3.4508900625951355e-08,2.8757416448144113e-09
1814,6.608021774212602e-08,9.440030979135372e-09
1815,3.506390555685357e-08,0.0
1816,4.4034472068688046e-08,0.0
1817,7.628679554727569e-08,1.556873407970727e-09
1818,1.668964877410417e-08,1.6689648552059566e-08
1819,1.6561680249438382e-08,6.210630232317271e-09
1820,2.610625937649047e-08,3.5599443393152796e-09
1821,2.4653719843392707e-08,3.35290586406245e-08
1822,5.514088741165324e-08,2.3058916553964082e-08
1823,2.1050122711585573e-07,9.882686669016039e-09
1824,6.652679207519441e-08,8.421112696055388e-09
1825,8.101007553662498e-08,1.0566531649658373e-08
1826,1.76159691278599e-08,1.6735169694470642e-08
1827,1.087638210606201e-07,1.1060727445055818e-08
1828,1.7427371545863934e-08,4.1275353801495385e-08
1829,7.715858307832946e-08,1.9718304544724674e-08
1830,8.55820516676431e-08,1.9829987651931447e-08
1831,6.704218780129167e-08,3.4300653872776365e-08
1832,2.976593194148336e-08,2.3000947924067816e-08
1833,7.52935847003755e-08,1.0425265317692833e-08
1834,9.054494887195119e-08,1.4935249925684957e-08
1835,3.554651328840919e-08,3.403389570166837e-08
1836,6.787957396170441e-08,2.35226247369269e-08
1837,4.453050017616533e-08,1.8090517084345947e-08
1838,6.880256364638626e-08,1.8936485268739034e-08
1839,5.5232654005976656e-08,3.006334403643507e-08
1840,4.9683572367342776e-08,1.3376346252869098e-08
1841,5.906904743113728e-08,1.6693425752833946e-08
1842,7.244926081284575e-08,2.884554062276834e-08
1843,4.075768811340197e-08,2.5990408492049255e-08
1844,3.2931367854871496e-08,2.5247382018367404e-08
1845,5.245414191890063e-08,1.6182660544927785e-08
1846,4.27378594736183e-08,2.0490754870650107e-08
1847,7.06512315318264e-08,1.4022381478184798e-08
1848,2.735375304041554e-08,1.930853255061038e-08
1849,5.9493846293889874e-08,8.044238164472972e-08
1850,5.974316419354864e-08,4.616517301769818e-08
1851,6.126966911601528e-08,5.4175285590929434e-08
1852,3.971432604998881e-08,1.3672145637855238e-08
1853,6.210809289086683e-08,4.837264744317338e-08
1854,6.858277323829043e-08,2.9095721221228388e-08
1855,9.234070574848374e-08,2.2289135870323662e-08
1856,1.2891201839337896e-07,3.4169449492083004e-08
1857,7.956860059721294e-08,3.8075771424672666e-08
1858,9.102237186198181e-08,7.829881576437714e-09
1859,5.9578429301154756e-08,3.666364856158566e-08
1860,7.826984282921501e-08,4.1652374660472447e-08
1861,4.574484901986864e-08,5.234719768765217e-08
1862,4.9246051236906396e-08,2.8011514996428843e-08
1863,3.845858120854473e-08,4.3952664008362063e-08
1864,5.4180426145578053e-08,1.1507347186245909e-08
1865,3.9066808454890634e-08,1.364984858476248e-08
1866,5.3521742815476614e-08,1.9949013108089275e-08
1867,4.707227141409476e-08,1.455843445796745e-08
1868,3.062721987134864e-08,4.100095585268804e-08
1869,5.0788599437190385e-08,1.7092316340061586e-08
1870,6.880858594016104e-08,3.555110383857141e-08
1871,9.983906945620902e-08,2.2304472491185834e-08
1872,1.0764263613793901e-07,2.6003558861731335e-08
1873,8.200826329129995e-08,2.993002246043375e-08
1874,5.0784177918483664e-08,2.3898437007119355e-08
1875,5.321020313253655e-08,3.776208057360009e-08
1876,3.6880688503160286e-08,1.7533442697725832e-08
1877,5.071549180613033e-08,3.401648740464225e-08
1878,4.046189516770937e-08,1.3889904226793703e-08
1879,3.29903571127943e-08,2.2604503158163425e-08
1880,5.1984553328665584e-08,3.016387850607316e-08
1881,3.207353649337108e-08,1.8825771164188154e-08
1882,7.653692790654532e-08,1.5307385581309063e-08
1883,4.170763850952497e-08,2.5277356208164292e-08
1884,7.12983307948889e-08,2.970763546272792e-08
1885,6.703461119528242e-08,2.5137978920675152e-08
1886,4.3238208458085126e-08,1.097088819790315e-08
1887,5.288428939209666e-08,2.285123690271007e-08
1888,4.2482117379449846e-08,1.775372027168487e-08
1889,5.07476087818759e-08,1.9421924513096656e-08
1890,4.7191582197569915e-08,1.4419650362640368e-08
1891,4.0157587477551715e-08,1.0198752398160593e-08
1892,3.8864776286118285e-08,1.6298132399228393e-08
1893,3.140792537159598e-08,1.9091091429945806e-08
1894,4.0960006941759275e-08,3.528861869384059e-08
1895,6.259359075500015e-08,2.347259631108045e-08
1896,4.0099798148673926e-08,5.897028865220477e-09
1897,3.088158351260972e-08,1.573212637939747e-08
1898,3.055511754723739e-08,1.923840664552756e-08
1899,2.04520400615138e-08,1.2713430308508578e-08
1900,4.04902144035546e-08,1.349673839357024e-08
1901,2.7384819967224416e-08,2.794369402536745e-09
1902,5.155798099565345e-08,2.4551420119145462e-08
1903,5.778235734332782e-08,9.720396931811592e-09
1904,3.009790017216574e-08,1.9886112312406112e-08
1905,5.88326523609517e-08,1.1353670226199597e-08
1906,4.2696733260072506e-08,5.658603086100555e-09
1907,3.702847217734728e-08,1.0799970695529737e-08
1908,2.603036253212565e-08,6.384805573134145e-09
1909,4.620826032919467e-08,1.1001966782053785e-08
1910,5.611358311341519e-08,5.237267597379969e-08
1911,9.257450739319495e-08,2.6069833292119426e-08
1912,6.980624167596261e-08,1.771203156364365e-08
1913,4.0302720716312024e-08,9.015082902408267e-09
1914,5.960101745472457e-08,1.540251093334888e-08
1915,1.0720493603955106e-07,8.246533234057551e-09
1916,8.020847519496499e-08,1.648119329900055e-08
1917,8.992468103485862e-08,3.289927441585405e-09
1918,7.581008354407004e-08,6.89182577673364e-09
1919,1.031279022734033e-07,1.1970203106503874e-08
1920,3.7861159984942105e-08,1.741613342431947e-08
1921,4.3921935533042245e-08,1.5145495524393482e-08
1922,2.7298361571226337e-08,2.2871599725249325e-08
1923,3.927900893430092e-08,5.307974060286824e-09
1924,7.47714201665417e-08,1.675911143195208e-08
1925,5.719052609265418e-08,3.739380427525418e-08
1926,7.579374194932598e-08,2.1177663178661987e-08
1927,6.689534881587633e-08,4.4596899506643695e-09
1928,6.398582774735928e-08,4.570416489713125e-09
1929,3.119313873867213e-08,1.3368487206122381e-08
1930,6.09209021007473e-08,5.2518016602221e-09
1931,6.158892862373477e-08,1.8248570654577634e-08
1932,8.110056848309455e-08,3.287861094491973e-09
1933,5.850037609889114e-08,1.2617728861741284e-08
1934,6.829500698302127e-08,7.188948103475923e-09
1935,4.308582379763948e-08,2.154291145473053e-08
1936,5.941110048368614e-08,2.909931406946953e-08
1937,3.9032466037092206e-08,1.3850230295986421e-08
1938,7.519824529733654e-08,1.0372171566075394e-08
1939,4.894096328200703e-08,1.070583532936098e-08
1940,4.564409095131339e-08,0.0
1941,1.0920559478933001e-07,1.1806010391524069e-08
1942,8.192371825366251e-08,1.2136847082899749e-08
1943,7.548411695701418e-08,1.4516175816936538e-08
1944,6.747690939334916e-08,9.639558484764166e-09
1945,1.808158316407571e-07,1.3071024262956144e-08
1946,1.1554516632372724e-07,1.2528993842408909e-08
1947,6.556479004160565e-08,2.145756705651536e-08
1948,9.132385603294324e-08,2.6092531690835585e-08
