year,quelques_DET orties_NOUN,quelques_DET sorties_NOUN
1800,1.5720821977538435e-08,1.131899196593622e-07
1801,7.143547975374531e-09,3.809892135109294e-08
1802,1.1189200677108602e-08,5.147032311469957e-08
1803,7.801356893821776e-09,1.3652374342143503e-08
1804,0.0,2.4718509905596875e-08
1805,0.0,8.528632911009026e-09
1806,0.0,1.2391177506287931e-07
1807,0.0,9.110256593558574e-08
1808,2.2660739951163578e-09,3.6257184365950934e-08
1809,4.518061036407062e-09,7.00299480627109e-08
1810,2.3401267590372754e-09,4.44624070894406e-08
1811,1.7549536934780008e-08,5.0141537144554604e-08
1812,0.0,8.80178721018865e-08
1813,2.8757416448144113e-09,3.4508900625951355e-08
1814,0.0,2.2026739543434815e-08
1815,0.0,9.170560133497929e-08
1816,0.0,9.038654980031424e-08
1817,0.0,6.538868291272593e-08
1818,1.9073883805731384e-08,8.106400883889364e-08
1819,0.0,1.9666995143552413e-08
1820,0.0,6.882559233645225e-08
1821,0.0,4.2404398215012407e-08
1822,0.0,1.0025615893027862e-07
1823,0.0,1.8282970870586723e-07
1824,0.0,1.8189604134022375e-07
1825,1.6730341778625757e-08,9.33376935741137e-08
1826,8.807984341885344e-10,3.787433300317389e-08
1827,9.217273055917019e-10,8.848581956044654e-08
1828,1.1006761724274838e-08,4.769596628761974e-08
1829,8.57317605795771e-10,6.258418494553553e-08
1830,4.174734336004349e-09,5.948996606441881e-08
1831,1.5591206103948707e-09,2.6505050154668197e-08
1832,1.3529969367098715e-09,6.22378593106987e-08
1833,0.0,4.2859426230279496e-08
1834,2.8003592777992026e-09,7.187589012858098e-08
1835,0.0,3.554651328840919e-08
1836,0.0,9.879502327336809e-08
1837,1.3915781860163179e-09,7.444943306289531e-08
1838,1.2624323808552163e-09,1.4139243376121158e-07
1839,0.0,5.383435919270596e-08
1840,1.2739377330817092e-09,5.223144849964001e-08
1841,1.926164561183441e-09,6.548959419205858e-08
1842,3.3541325272778977e-09,5.500777433553594e-08
1843,1.063243981747064e-08,5.611565612184677e-08
1844,2.195424508855126e-09,5.269018754638921e-08
1845,0.0,3.6829504446167505e-08
1846,1.1709002656346001e-09,5.034871009002018e-08
1847,0.0,3.28986633491013e-08
1848,0.0,2.735375304041554e-08
1849,1.0893239199560867e-08,4.776266537831475e-08
1850,0.0,6.381656447729256e-08
1851,0.0,3.1602249261908355e-08
1852,0.0,2.799534470909748e-08
1853,1.7915795513800958e-09,2.92624660058749e-08
1854,1.0391328908454511e-09,6.702407429060031e-08
1855,2.653468555990912e-09,5.73149208094037e-08
1856,1.5531567143511893e-09,4.34883880018333e-08
1857,9.274867318609381e-09,4.100467743128888e-08
1858,3.4255731584664773e-09,3.963877404089544e-08
1859,0.0,7.281807956616149e-08
1860,2.288591982591015e-09,5.950339154736639e-08
1861,4.715963730639317e-10,3.348334082220461e-08
1862,4.517986262886353e-10,3.11741068514948e-08
1863,0.0,2.447364266799923e-08
1864,8.151037178549814e-09,2.1576276321155774e-08
1865,1.882737743486018e-09,2.8711750421628324e-08
1866,1.2650593905760843e-08,2.968023871119385e-08
1867,4.85281148598915e-09,1.8925964795357686e-08
1868,4.93987406535723e-10,1.4819621974027086e-08
1869,3.9068152046795035e-09,3.711474461098874e-08
1870,1.1468097582678638e-09,2.465641024684828e-08
1871,0.0,9.028000480526543e-08
1872,1.8142017887967654e-09,5.442605444105908e-08
