year,étiez_VERB avant_ADP
1800,4.087413785214267e-08
1801,1.6668277424969347e-08
1802,4.475680270843441e-09
1803,1.3652374342143503e-08
1804,2.7190360185613827e-08
1805,1.9900143755080535e-08
1806,1.152667650217154e-08
1807,8.540865792383556e-09
1808,0.0
1809,2.710836710662079e-08
1810,4.680253340438867e-08
1811,2.2563691359778204e-08
1812,2.6672083208723052e-08
1813,2.5881675469463516e-08
1814,4.090680150170556e-08
1815,2.1577788444915313e-08
1816,1.3905623319487859e-08
1817,1.71256075987003e-08
1818,3.2187177367859476e-08
1819,2.5877625375869684e-08
1820,1.542642635854463e-08
1821,2.3667571014129862e-08
1822,4.511527151862538e-08
1823,1.9765373338032077e-08
1824,2.3579115548955087e-08
1825,6.163809906922779e-09
1826,2.1139161532346407e-08
1827,2.7651818612639545e-08
1828,1.9261833017480967e-08
1829,6.001223074036943e-09
1830,9.39315203396518e-09
1831,1.870944643656003e-08
1832,1.0823975493678972e-08
1833,4.6334514003376626e-09
1834,9.334531370086552e-09
1835,2.2689263801112247e-08
1836,1.8146025126952736e-08
1837,1.461157062010443e-08
1838,3.219202682203104e-08
1839,1.11863602825224e-08
1840,8.280594876453051e-09
1841,7.0626033910059505e-09
1842,2.6162233268678392e-08
1843,2.2446261738195972e-08
1844,1.866110821424627e-08
1845,2.399498022498392e-08
1846,9.367202125076801e-09
1847,7.550513103637968e-09
1848,1.769948809737798e-08
1849,2.5976186535103807e-08
1850,5.431196825611551e-09
1851,1.5478653025979838e-08
1852,1.7578472011337e-08
1853,3.0456853039595444e-08
1854,2.4419623656513068e-08
1855,8.491099379170919e-09
1856,2.019103817474388e-08
1857,2.636014961865385e-08
1858,1.565976326389773e-08
1859,1.9859475841599306e-08
1860,1.4646988510946812e-08
1861,1.5091083938045813e-08
1862,1.9427341513278407e-08
1863,1.6981710260211003e-08
1864,1.102787461348953e-08
1865,2.118079933666195e-08
1866,2.77339928800302e-08
1867,1.552899675516528e-08
1868,1.0867722721741302e-08
1869,1.0255390314739543e-08
1870,1.834895613228582e-08
1871,1.805600113868877e-08
1872,9.071008832961525e-09
1873,1.2570609442263958e-08
1874,1.1949218503559678e-08
1875,2.9179789251543298e-08
1876,3.02300739996042e-09
1877,9.27722432209066e-09
1878,6.6429977074733415e-09
1879,1.2829582729523281e-08
1880,6.417846254436199e-09
1881,1.6036766581351003e-08
1882,9.983077475794744e-09
1883,2.5277355764075082e-09
1884,4.621187876807653e-09
1885,1.8047780159236027e-08
1886,3.872078213618124e-09
1887,7.1818169189441505e-09
1888,5.07249175996094e-09
1889,4.385595886446936e-09
1890,4.5880703680722945e-09
1891,3.824531802365527e-09
1892,3.761107425503951e-09
1893,4.310891643655168e-09
1894,4.411077725308132e-09
1895,7.22233739480771e-09
1896,2.948514543632541e-09
1897,1.7480140668268973e-09
1898,6.7900258748920805e-09
1899,1.326618814800895e-08
1900,7.786579381274805e-09
1901,7.265360757457984e-09
1902,5.4013122863239005e-09
1903,4.860198465905796e-09
1904,5.374625189347171e-09
1905,7.2250627702885595e-09
1906,1.0288369045596824e-09
1907,2.057137349353866e-09
1908,5.40252820258047e-09
1909,7.701377313651392e-09
1910,5.34415089958884e-09
1911,1.3300935464144459e-08
1912,5.2094213387476884e-09
1913,3.181793939432964e-09
1914,8.036092680185902e-09
1915,9.424609537234119e-09
1916,1.7579939282086343e-08
1917,3.289927441585405e-09
1918,2.2972752589112133e-09
1919,5.524709134618888e-09
1920,6.815008557481406e-09
1921,4.543648568500203e-09
1922,8.853522359686394e-09
1923,7.431163684401554e-09
1924,7.734974438733389e-09
1925,7.698724324711748e-09
1926,7.802296586589819e-09
1927,8.919379901328739e-09
1928,4.570416489713125e-09
1929,1.0026365515614089e-08
1930,1.2604324695075775e-08
1931,1.1405356659111021e-09
1932,3.287861094491973e-09
1933,5.735331320977366e-09
1934,1.1981580172459871e-08
1935,4.787313656606784e-09
1936,7.274828739411987e-09
1937,5.0364472592434595e-09
1938,3.8895642262559704e-09
1939,4.588215141154706e-09
1940,2.5357829169792012e-09
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,9.744772988540262e-09
1947,2.3841741914054637e-09
1948,1.4133454406817236e-08
1949,3.9268033269479474e-09
1950,4.2541445921528975e-09
1951,5.330700769690111e-09
1952,7.381362632230548e-09
1953,3.232148326759443e-09
1954,1.9545072227344917e-09
1955,8.447047505910632e-09
1956,4.360570571293465e-09
1957,5.301022731885041e-09
1958,5.790570245522986e-09
1959,5.425523585955716e-09
1960,3.460416619915918e-09
1961,8.33779090214648e-09
1962,6.341956293454132e-09
1963,4.526237162849611e-09
1964,7.909158661334459e-09
