year,mais_CONJ en_ADP
1800,4.232988521835068e-05
1801,4.335419271228602e-05
1802,4.3935514440818224e-05
1803,4.2263849536539055e-05
1804,4.4184334910823964e-05
1805,4.080950839124853e-05
1806,3.795734482991975e-05
1807,3.95726756323711e-05
1808,3.978999302489683e-05
1809,4.24855870733154e-05
1810,3.9676850065006875e-05
1811,3.8027340451662894e-05
1812,4.065092252858449e-05
1813,4.166374492342584e-05
1814,4.03057883886504e-05
1815,3.842734349746024e-05
1816,4.1480472646071576e-05
1817,3.943248975701863e-05
1818,4.172650460532168e-05
1819,3.858560921798926e-05
1820,4.1307219362352043e-05
1821,4.260951664036838e-05
1822,3.9572107198182493e-05
1823,4.1117907130683307e-05
1824,3.748742483367096e-05
1825,3.9875450056570116e-05
1826,4.002612331532873e-05
1827,3.9010265027172863e-05
1828,4.048470327688847e-05
1829,4.123269172850996e-05
1830,4.313335648475913e-05
1831,3.981838290201267e-05
1832,4.1164931644743774e-05
1833,4.251307382219238e-05
1834,4.029810406791512e-05
1835,4.2000095163530204e-05
1836,4.420573441166198e-05
1837,4.3028990148741286e-05
1838,4.235460528434487e-05
1839,4.155453189014224e-05
1840,4.2324670175730716e-05
1841,4.269600594852818e-05
1842,4.0267702388518956e-05
1843,4.3151755562576e-05
1844,4.4739457734976895e-05
1845,4.234611969877733e-05
1846,4.182455722911982e-05
1847,3.999560613010544e-05
1848,4.016576986032305e-05
1849,3.961033235100331e-05
1850,3.901907621184364e-05
1851,4.003940466645872e-05
1852,3.894673500326462e-05
1853,3.9432666198990773e-05
1854,4.050176266900962e-05
1855,4.091064693056978e-05
1856,4.2006677176686935e-05
1857,4.1050561776501127e-05
1858,4.1669652091513854e-05
1859,4.197427551844157e-05
1860,4.180754058324965e-05
1861,4.327132410253398e-05
1862,4.282508871256141e-05
1863,4.154675389145268e-05
1864,4.346900368545903e-05
1865,4.3037971408921294e-05
1866,4.237656958139269e-05
1867,4.254993655194994e-05
1868,4.2454266804270446e-05
1869,4.211204941384494e-05
1870,4.398130113258958e-05
1871,4.177415212325286e-05
1872,4.291675850254251e-05
1873,4.2318657506257296e-05
1874,4.082987925357884e-05
1875,4.0581646317150444e-05
1876,4.0218091271526646e-05
1877,3.9491285861004144e-05
1878,3.8471410334750544e-05
1879,3.9138170905062e-05
1880,3.829528759524692e-05
1881,3.8357855373760685e-05
1882,3.877427207044093e-05
1883,3.782756357395556e-05
1884,3.881203883793205e-05
1885,3.828191984212026e-05
1886,3.756948535738047e-05
1887,3.790628306887811e-05
1888,3.733670973815606e-05
1889,3.7699206586694345e-05
1890,3.856863077089656e-05
1891,3.8323085391311906e-05
1892,3.802354240178829e-05
1893,3.823391307378188e-05
1894,3.773928801820148e-05
1895,3.7907039768469986e-05
1896,3.8062372368585784e-05
1897,3.771456886170199e-05
1898,3.8499446418427397e-05
1899,3.750296127691399e-05
1900,3.671683862194186e-05
1901,3.732774712261744e-05
1902,3.452764303801814e-05
1903,3.6597292819351424e-05
1904,3.6882291169604287e-05
1905,3.694535917020403e-05
1906,3.7086998418089934e-05
1907,3.6170132261759136e-05
1908,3.6562835703080054e-05
1909,3.731262040673755e-05
1910,3.706275401782477e-05
1911,3.765281962841982e-05
1912,3.8093372495495714e-05
1913,3.685524825414177e-05
1914,3.643899162852904e-05
1915,3.41241548085236e-05
1916,3.621797168307239e-05
1917,3.632627976912772e-05
1918,3.5850129279424436e-05
1919,3.574947186280042e-05
1920,3.622328495112015e-05
1921,3.631738218246028e-05
1922,3.7313171560526825e-05
1923,3.665262283902848e-05
1924,3.7591976251860615e-05
1925,3.6050927519681863e-05
1926,3.774194010475185e-05
1927,3.693515282066073e-05
1928,3.734601523319725e-05
1929,3.69170793419471e-05
1930,3.916163495887304e-05
1931,3.690089033625554e-05
1932,3.6573070246959105e-05
1933,3.733815174200572e-05
1934,3.698713862831937e-05
1935,3.667082364700036e-05
1936,3.8036440855648834e-05
1937,3.658475270640338e-05
1938,3.75874542442034e-05
1939,3.731748347490793e-05
1940,3.7060467548144516e-05
1941,3.7156467442400753e-05
1942,3.851021483569639e-05
1943,4.0595938116894104e-05
1944,3.940330225304933e-05
1945,3.9910193663672544e-05
1946,4.040739804622717e-05
1947,4.054288274346618e-05
1948,3.914966691809241e-05
1949,3.8599494473601226e-05
1950,3.8967964428593405e-05
1951,3.908576400135644e-05
1952,3.831559934042161e-05
1953,3.9924572774907574e-05
1954,3.9908105463837273e-05
1955,3.9065715100150555e-05
1956,4.006841299997177e-05
1957,3.919046048395103e-05
1958,3.8575953112740535e-05
1959,3.998068223154405e-05
1960,3.995743190898793e-05
1961,4.137628820899408e-05
1962,4.166411599726416e-05
1963,4.080532198713627e-05
1964,4.023936708108522e-05
1965,4.185784928267822e-05
1966,4.034052744827932e-05
1967,4.165739028394455e-05
1968,4.15276299463585e-05
1969,3.9802148421586026e-05
1970,3.990451659774408e-05
1971,3.8900752770132385e-05
1972,3.8544844755961094e-05
1973,3.8289750591502525e-05
1974,3.788147478189785e-05
1975,3.7509574212890584e-05
1976,3.808408473560121e-05
1977,3.88167318305932e-05
1978,3.942176408600062e-05
1979,3.93855352740502e-05
1980,3.91854691770277e-05
1981,3.957643366447883e-05
1982,4.118491597182583e-05
1983,3.9247795029950794e-05
