year,soyons_VERB en_PRON,soyons_VERB sans_ADP
1800,3.144164484325529e-09,3.45858084394024e-08
1801,9.524730337773235e-09,2.3811825400343878e-08
1802,0.0,4.0281122437590966e-08
1803,1.950339223455444e-09,1.1702034896643454e-08
1804,0.0,2.2246657849223084e-08
1805,0.0,5.970043304159844e-08
1806,0.0,1.152667650217154e-08
1807,0.0,0.0
1808,4.5321479902327155e-09,1.1330369531492579e-08
1809,2.259030518203531e-09,2.4849335034105025e-08
1810,0.0,4.680253340438867e-08
1811,7.521229861140455e-09,0.0
1812,0.0,2.400487453257938e-08
1813,2.8757416448144113e-09,1.1502966579257645e-08
1814,0.0,2.8320094713762956e-08
1815,2.697223555614414e-09,4.315557666778602e-08
1816,0.0,6.952811304472561e-08
1817,0.0,2.490997452753163e-08
1818,4.768470951432846e-09,2.8610825708597076e-08
1819,1.3456364911235141e-08,7.142224500711336e-08
1820,5.933240565525466e-09,2.7292906601417144e-08
1821,9.86148829262845e-10,4.437669787193954e-08
1822,5.012807946513931e-09,2.2056354964661296e-08
1823,0.0,3.360113609574e-08
1824,1.6842225392110777e-08,7.326367779114662e-08
1825,1.7610886082763955e-09,1.2327619813845558e-08
1826,0.0,4.668231667892542e-08
1827,2.7651818612639545e-09,3.2260455640198415e-08
1828,9.172301251858528e-10,5.228211819030548e-08
1829,0.0,3.1720752247110795e-08
1830,2.0873671680021744e-09,3.235419265834594e-08
1831,1.5591206103948707e-09,5.456922202995429e-08
1832,5.411987746839486e-09,2.5706941464420652e-08
1833,2.3167257001688313e-09,1.853380560135065e-08
1834,5.600718555598405e-09,4.387229424196448e-08
1835,7.563087933704082e-09,2.0420337421001022e-08
1836,1.3441500135158435e-09,8.53535251366111e-08
1837,0.0,4.174734513640033e-08
1838,2.5248647617104325e-09,3.408567295082321e-08
1839,2.09744255297295e-09,2.516931019158619e-08
1840,1.9109065441114126e-09,3.503328693810204e-08
1841,1.219904177673925e-08,4.6227950356581005e-08
1842,2.0124795163667386e-09,6.23868650073689e-08
1843,1.1813822142769936e-09,6.911086147809442e-08
1844,3.841992946007622e-09,5.2141333473088025e-08
1845,4.464182357111213e-09,2.9017184655089068e-08
1846,5.854501328173001e-10,3.8639710098209434e-08
1847,5.3932236454556914e-09,3.020205241455187e-08
1848,8.045221711050488e-10,6.355725279405533e-08
1849,0.0,5.865590324560799e-08
1850,2.0366988096043315e-09,3.394498193642903e-08
1851,0.0,1.3543821397732358e-08
1852,7.812654523320361e-09,3.125061653896921e-08
