year,plusieurs_DET hommes_NOUN,plusieurs_DET sommes_NOUN
1800,2.2449333414442663e-06,9.118077182179718e-08
1801,2.221643455868616e-06,5.952956638743956e-08
1802,2.3184023234534834e-06,6.937304419807333e-08
1803,2.0459058731603363e-06,1.2092102963379148e-07
1804,2.3087087868134404e-06,7.662737999680758e-08
1805,2.658090664908741e-06,6.538618890772341e-08
1806,2.141080074125057e-06,1.1814843237090145e-07
1807,1.8676026058983553e-06,1.8505208743135881e-07
1808,2.1097148419357836e-06,1.654234011994049e-07
1809,1.798188293378189e-06,1.4005989812382325e-07
1810,2.33076622180306e-06,1.3806748455635898e-07
1811,2.218763000882973e-06,1.6546706760323104e-07
1812,2.1551041697875917e-06,1.2802598803318688e-07
1813,1.9008652714092023e-06,1.5529004304681848e-07
1814,1.8408061208674553e-06,1.5733385438920777e-07
1815,2.2953373104428465e-06,9.979727444431319e-08
1816,2.6490213400620632e-06,1.0892738089296472e-07
1817,2.0986653765930896e-06,7.005930413583883e-08
1818,2.642925011286934e-06,1.0490636270787945e-07
1819,2.4894276151599115e-06,1.4284449267876198e-07
1820,2.6260522787424634e-06,1.6375744316121654e-07
1821,2.5521531057393076e-06,1.2819934624985763e-07
1822,2.09535362216684e-06,1.45371430448904e-07
1823,2.6040879248512283e-06,1.3440453661139884e-07
1824,2.6745454988486017e-06,9.179012927518215e-08
1825,2.2902958107806626e-06,1.822726654054918e-07
1826,3.3893123827510863e-06,1.8056367512286897e-07
1827,1.9190362650078896e-06,1.732847347835076e-07
1828,1.961955220508571e-06,1.788598726903956e-07
1829,1.8655230888953156e-06,1.1745250994010803e-07
1830,1.9088972322833797e-06,9.706257220187808e-08
1831,2.0892216241463757e-06,1.2940700910846203e-07
1832,2.236503831909431e-06,1.1365174534816447e-07
1833,1.95068307107249e-06,9.961920444112593e-08
1834,2.1600104105345963e-06,1.2041544783514269e-07
1835,2.1509422225562957e-06,1.3159773004645103e-07
1836,2.218519682628539e-06,9.005804768591474e-08
1837,2.2126094023633414e-06,9.88020527614708e-08
1838,2.1751709198269964e-06,8.205810719807971e-08
1839,1.949223246811016e-06,9.088917929389595e-08
1840,2.061231171524014e-06,9.554533297873036e-08
1841,1.9852336095027567e-06,8.603534773499177e-08
1842,1.7984858544650706e-06,5.366612043644636e-08
1843,2.106404537016715e-06,1.0041748943478979e-07
1844,1.8298863153631828e-06,1.0263609651062211e-07
1845,1.825292542889656e-06,1.0156014695894555e-07
1846,1.780939342665988e-06,1.1299187718805115e-07
1847,1.7792244335623764e-06,1.0354989399274928e-07
1848,1.6894965852998212e-06,7.401604307233356e-08
1849,1.5694644019959014e-06,1.2820504569077684e-07
1850,1.5438177030091538e-06,1.0455053978120077e-07
1851,1.418231619254584e-06,1.722000146919811e-07
1852,1.5657861780482563e-06,7.812654234662375e-08
1853,1.616601934983919e-06,6.4496861851282e-08
1854,1.8106890280478183e-06,8.209149937599136e-08
1855,1.5719147228310248e-06,5.466145225341279e-08
1856,1.3388211712594966e-06,4.659470320689252e-08
1857,1.5825852131001739e-06,4.198097802721179e-08
1858,1.5405291975412183e-06,6.997956608634226e-08
1859,1.4140965660658367e-06,4.5320344144172964e-08
1860,1.5498344652087326e-06,8.10161537856402e-08
1861,1.4671363572915652e-06,6.460870594082735e-08
1862,1.452080738317818e-06,6.099281796290157e-08
1863,1.5018825365586963e-06,6.043491423968206e-08
1864,1.2303271859082088e-06,3.2604148714199255e-08
1865,1.313209601505605e-06,5.977692257852496e-08
1866,1.2752771141322228e-06,4.087114940931613e-08
1867,1.1442929093163912e-06,5.0469241230644e-08
1868,1.18309989716181e-06,5.631456545529545e-08
1869,1.169114462129528e-06,4.395167274573453e-08
1870,1.3784653063453334e-06,4.128514952128626e-08
1871,1.2288701611851138e-06,6.054071111094572e-08
1872,1.3927022166626557e-06,5.865918950576088e-08
1873,1.0846639995065743e-06,5.6268440573603584e-08
1874,1.107692547464012e-06,7.707245791577222e-08
1875,1.055049622777915e-06,6.579756473001908e-08
1876,1.0804227912331044e-06,7.01337738995278e-08
1877,1.0031771324747751e-06,8.040260790487253e-08
1878,9.167336543214333e-07,9.30019685707606e-08
1879,9.23729992052813e-07,6.720257927916862e-08
1880,1.134033482230734e-06,4.4283138267431355e-08
1881,9.705730548148495e-07,7.39085828649344e-08
1882,1.0375745702617678e-06,3.92667720561235e-08
1883,9.150402746627151e-07,8.910267990103193e-08
1884,1.0127002951776376e-06,5.743476449993068e-08
1885,9.301052159571555e-07,8.314870042491762e-08
1886,9.189732352865576e-07,6.259860085844338e-08
1887,9.362477655372459e-07,7.899998877292091e-08
1888,8.769070234393439e-07,8.179393273799462e-08
1889,8.827577815395671e-07,6.077182490571431e-08
1890,8.730442857540766e-07,5.571228456346944e-08
1891,1.0313488232327472e-06,5.099376210182527e-08
1892,9.13949108394263e-07,5.014809900671935e-08
1893,8.289228574653862e-07,6.712674155417986e-08
1894,8.853662691876707e-07,4.2850468284783005e-08
1895,8.672823241795413e-07,3.7917270434562056e-08
1896,9.411658510316556e-07,5.071444952875481e-08
1897,7.300872084670118e-07,4.894439498137615e-08
1898,8.14803112092477e-07,7.865113360594478e-08
1899,7.688861600740893e-07,6.30143972557562e-08
1900,6.997539614417292e-07,3.8932899570909285e-08
1901,7.215061899046304e-07,6.25938767484513e-08
1902,7.110091218009984e-07,3.388095848322337e-08
1903,7.74391573088451e-07,5.6702312178913417e-08
1904,6.755903712019062e-07,4.245954077219949e-08
1905,6.729630044333135e-07,4.902721006949662e-08
1906,7.423058114852665e-07,4.012463961089452e-08
1907,6.634267748495404e-07,4.4742737514980035e-08
1908,6.802273730954767e-07,4.174680867663483e-08
1909,6.876229292629432e-07,3.245580160182726e-08
1910,6.674844286180814e-07,4.489086602443848e-08
1911,6.102469072288841e-07,3.724261943283125e-08
1912,6.699315910907444e-07,4.375913675858101e-08
1913,6.241618919489156e-07,2.7045247041890264e-08
1914,7.065064551170508e-07,3.750176347239176e-08
1915,7.575029954409729e-07,2.8273827723523937e-08
1916,6.702351811327389e-07,2.966614687238689e-08
1917,7.764228229234504e-07,3.3995917192441993e-08
1918,6.030347421415172e-07,2.6418664589300533e-08
1919,6.012724682591397e-07,4.4197672688373046e-08
1920,5.429290368397233e-07,2.6502810612782923e-08
1921,5.70227904006515e-07,4.0892835784234194e-08
1922,5.570341272687074e-07,3.2462917132214386e-08
1923,5.615836613515057e-07,2.866305948145964e-08
1924,5.517615058181491e-07,2.5783249313349188e-08
1925,5.840032244464055e-07,1.5397448649423495e-08
1926,5.573069046249657e-07,1.3375366592072169e-08
1927,6.076327636606038e-07,1.5608915049369898e-08
1928,4.867493608173845e-07,1.2568645679778001e-08
1929,5.213710281282147e-07,2.1166771446701205e-08
1930,5.188780107800994e-07,8.402882833991043e-09
1931,5.292085702990335e-07,6.843213995466613e-09
1932,5.06330589900017e-07,3.507051549167528e-08
1933,5.012679338278758e-07,3.555905436769535e-08
1934,5.152079509684881e-07,1.7972370258689807e-08
1935,4.763377177141592e-07,1.6755597798123745e-08
1936,4.08602883084086e-07,2.3036957230715416e-08
1937,4.809807094829921e-07,1.6368453259474336e-08
1938,5.354633323406688e-07,2.5930429359277696e-08
1939,4.848214132380235e-07,2.2941076593951948e-08
1940,5.223712769009126e-07,2.0286263113789005e-08
1941,4.810949079114835e-07,2.066051862925633e-08
1942,5.704318226662508e-07,1.517105907566929e-08
1943,7.403249568938008e-07,8.709705845433291e-09
1944,4.3699332508140287e-07,1.2852744646352221e-08
1945,5.860175988914307e-07,2.178504043826024e-09
1946,4.691412129886885e-07,1.6705325123211878e-08
1947,4.982924117769016e-07,2.0265479960812627e-08
1948,5.033683976307657e-07,1.9569398546082084e-08
1949,4.800517103831226e-07,7.853606653895895e-09
1950,4.296686064719779e-07,2.0207187034770868e-08
1951,5.501283197872908e-07,1.0661401539380222e-08
1952,4.608079251511299e-07,4.5342655852209646e-08
1953,4.384947764890512e-07,1.0773827163745864e-08
1954,4.641954802764303e-07,8.795282724349818e-09
1955,4.270451547938592e-07,2.440258128899586e-08
1956,5.197800376777195e-07,2.1802854632824165e-08
1957,3.781396173963003e-07,2.5621609722747962e-08
1958,4.508372697387131e-07,1.3235589513271862e-08
1959,4.348169433399107e-07,7.750747599288843e-09
1960,4.872266643474177e-07,1.314958364417862e-08
1961,4.6274740839180595e-07,2.153929301584867e-08
1962,5.42237266643042e-07,2.9807195656150753e-08
1963,5.243969027901585e-07,1.6165133231993423e-08
1964,5.426899960525589e-07,1.946869854219102e-08
1965,4.83728648248416e-07,2.3529787285259118e-08
1966,6.020974225862119e-07,2.104848417783245e-08
1967,5.970636607344204e-07,2.1200442290592036e-08
1968,6.925763074150382e-07,2.380450325745187e-08
1969,6.131373240236826e-07,2.361714024345929e-08
1970,5.550661157371906e-07,1.5175793066646293e-08
1971,5.164089387221793e-07,1.9525909777939887e-08
1972,5.355873184953452e-07,1.7955514408640738e-08
1973,4.790973946455779e-07,3.4181862285098674e-08
1974,5.158649329928267e-07,2.7565301263798858e-08
1975,4.763374370497786e-07,1.770558810676448e-08
1976,4.753654465616819e-07,1.8283285996290033e-08
1977,4.6073968817950117e-07,1.3516598507123945e-08
1978,5.001977925189749e-07,1.306930053068811e-08
1979,5.132180582734236e-07,2.2237497954158414e-08
1980,4.5992867825361827e-07,1.5349906234973787e-08
1981,4.83271993090284e-07,1.1385989540091401e-08
1982,4.618381836962726e-07,1.0552753892945077e-08
1983,4.4144058009010223e-07,6.946847541655643e-09
1984,4.6102118034241357e-07,1.2757818468323023e-08
1985,4.024408255531853e-07,1.9851341570564784e-08
1986,4.4119412834220384e-07,7.193382445258578e-09
1987,4.4486747086125433e-07,1.2832715334809564e-08
1988,4.773256812029558e-07,1.4391728697660255e-08
1989,4.549653347396543e-07,1.7013179531844003e-08
1990,4.2826397006479056e-07,1.3076762783725826e-08
1991,4.3433458074559894e-07,1.2309076702354815e-08
1992,4.777121738186452e-07,1.8733810946969243e-08
1993,4.74156149010696e-07,3.101956136397632e-08
1994,5.580872581845142e-07,1.635227242502424e-08
1995,5.086259022846207e-07,1.030265628365612e-08
1996,4.564068802892507e-07,1.3345230254202534e-08
1997,5.197665657874495e-07,1.2946214877906925e-08
1998,5.12097066973638e-07,1.3350762162467333e-08
1999,4.926676950844922e-07,1.0968483010742602e-08
2000,5.182350903965016e-07,1.060327570190367e-08
2001,5.800724238724797e-07,1.840108865280854e-08
2002,5.134791578598197e-07,1.1391176002462089e-08
2003,5.525340043277538e-07,1.5417615462087753e-08
2004,5.94646820673006e-07,1.2333415538856585e-08
2005,5.706250902903776e-07,1.7114248795913056e-08
2006,5.867992953767498e-07,1.9765871051014017e-08
2007,6.127531335664571e-07,1.4380125978874503e-08
2008,5.747543596612559e-07,1.532678259308362e-08
2009,6.413219040268814e-07,1.7642312499788204e-08
2010,6.995937269493879e-07,8.975207077543956e-09
2011,7.391738137130233e-07,9.177532511728259e-09
2012,8.554887358513952e-07,5.446804146602702e-09
2013,9.192956440529088e-07,8.367375237128272e-09
2014,9.621072933896357e-07,7.362513668174309e-09
2015,1.009428416409719e-06,1.1082877018897541e-08
2016,1.0601118560771283e-06,1.0978102427117165e-08
2017,8.983248136473776e-07,9.05620051172562e-09
2018,1.006513869583614e-06,8.002546458829585e-09
2019,1.063761914110728e-06,6.632567994824257e-09
