year,nos_DET hommes_NOUN,nos_DET sommes_NOUN
1800,2.8611895608321447e-07,3.144164484325529e-09
1801,2.905042766343513e-07,4.7623651688866175e-09
1802,3.2224897950072773e-07,2.2378401354217203e-09
1803,1.2092103318650516e-07,1.950339223455444e-09
1804,2.5212880028213647e-07,7.4155526164076946e-09
1805,1.3361524775490352e-07,2.2743021688143017e-08
1806,3.054569184257616e-07,1.152667650217154e-08
1807,1.679703558465917e-07,0.0
1808,1.1330369531492579e-07,1.6995555363052972e-07
1809,2.0331275152329908e-07,1.129515236897305e-08
1810,3.5803939901768445e-07,1.6380887757350138e-08
1811,1.6797414659208698e-07,1.2535384286138651e-08
1812,2.640536265197113e-07,1.600324850414836e-08
1813,1.9555043673236128e-07,3.163315653864629e-08
1814,4.0277467006077927e-07,3.1466771410748606e-09
1815,2.6702514333010186e-07,0.0
1816,2.5493643640572827e-07,0.0
1817,3.8454772344209687e-07,1.556873407970727e-09
1818,4.768470889260357e-07,0.0
1819,7.918553421859542e-07,7.763287612760905e-08
1820,7.33348507253595e-07,9.493184904840746e-09
1821,3.17539909033826e-07,1.1833786284221048e-08
1822,4.651885774364928e-07,2.0051231786055723e-08
1823,4.1408458084646327e-07,9.882686891060644e-10
1824,6.400045542420685e-07,2.105278085196005e-08
1825,1.1350216340133557e-06,8.805443041381977e-10
1826,8.332353154116845e-07,5.284790383086602e-09
1827,5.687057473835466e-07,9.217273055917019e-10
1828,7.493770368682817e-07,8.89713192009367e-08
1829,8.744639821145483e-07,1.714635211591542e-09
1830,1.1616197923558502e-06,0.0
1831,1.8990089358794648e-06,6.236482441579483e-09
1832,1.9253145921993564e-06,8.117981842303834e-09
1833,1.5417809891005163e-06,1.1583628722888761e-08
1834,1.2638955411148345e-06,1.2134890203796544e-08
1835,2.3551456251880154e-06,8.31939672707449e-09
1836,1.0571739892384358e-06,3.5619976301859424e-08
1837,1.0012404842996148e-06,3.478945576063097e-09
1838,1.0080522585553808e-06,1.4517972601879592e-08
1839,1.0312425686720417e-06,3.285993177559732e-08
1840,1.259924452767791e-06,3.567025785855549e-08
1841,1.112038987116648e-06,2.8250413564023802e-08
1842,1.085397276057165e-06,2.0124795607756596e-08
1843,1.1229038214821685e-06,8.860366773610906e-09
1844,1.569179659099973e-06,3.238251206072462e-08
1845,1.3119116104576278e-06,9.48638723130557e-09
1846,1.4226438196374147e-06,1.1123552079439492e-08
1847,9.918137990894138e-07,7.550513103637968e-09
1848,1.4803208401303891e-06,1.2872354515636175e-08
1849,1.7253215531809474e-06,8.379414939696517e-10
1850,1.3673037813077826e-06,2.308258739702751e-08
1851,1.267314729602731e-06,2.1283148132766883e-08
1852,7.714996428376253e-07,2.8646400362930535e-08
1853,9.776052678489577e-07,1.6124216406510072e-08
1854,1.0619938208833446e-06,2.0782657372819813e-08
1855,1.2497836650027239e-06,1.2205955357558196e-08
1856,8.076415483060373e-07,8.80122141833084e-09
1857,9.514061218851566e-07,8.298565445929995e-09
1858,1.0996090296089278e-06,6.361778603913848e-09
1859,1.2312874986264433e-06,5.092173349652285e-09
1860,1.4056531938422268e-06,1.373155145145688e-09
1861,1.3605555722051577e-06,5.659156365744877e-09
1862,1.2465124470395494e-06,4.066187830886747e-09
1863,1.2596434117995159e-06,8.490855574194711e-09
1864,1.164639428452574e-06,1.7261019946701595e-08
1865,1.1752990403124386e-06,1.3179164426446732e-08
1866,1.5672138857780737e-06,7.298419424373037e-09
1867,1.310259108322498e-06,4.270473930034768e-08
1868,1.666713458803315e-06,1.877152122631287e-08
1869,1.2291818123344456e-06,4.7858488172458635e-08
1870,1.4530079113228567e-06,1.2614906896857292e-08
1871,3.2851301057235105e-06,1.1683294554032386e-08
1872,2.397769918616177e-06,2.7817760428483496e-08
1873,1.7353426500221758e-06,8.32054594113174e-08
1874,2.1586263301287545e-06,3.34578110772199e-08
1875,1.9138508804417143e-06,1.716458086775674e-08
1876,1.3228680160182194e-06,6.04601479992084e-10
1877,1.5993934283642375e-06,9.895705588292003e-09
1878,1.384159162398646e-06,1.6305540029293297e-08
1879,1.5768168566410168e-06,1.8327976358811782e-08
1880,1.6686399817444908e-06,1.5402831010646878e-08
1881,1.740337879141407e-06,9.064259676172526e-09
1882,1.4675124617724578e-06,4.259446551024837e-08
1883,1.782053615784207e-06,6.951272890631799e-09
1884,1.572524269022324e-06,1.9805090012425808e-08
1885,1.7880192899610847e-06,2.578254254537171e-08
1886,1.6198193861782784e-06,2.1296431562678464e-08
1887,1.8091650133555959e-06,1.7628095927424425e-08
1888,1.5363309273652703e-06,1.141310668195672e-08
1889,1.9052280606501881e-06,1.0024218510817917e-08
1890,1.8450597849550832e-06,1.507508856635198e-08
1891,1.897605301337535e-06,1.2111018188321054e-08
1892,2.118130282724451e-06,1.3163875767219224e-08
1893,1.7699288861194873e-06,1.046930819814662e-08
1894,1.993176908854366e-06,2.142523358727999e-08
1895,2.017439527435272e-06,1.2037228991346183e-08
1896,1.5373555157793817e-06,8.255840344695287e-09
1897,1.6862508971371426e-06,8.740070001067579e-09
1898,2.0013601726986963e-06,1.3014216593276728e-08
1899,1.4515421042915477e-06,1.6029977345510815e-08
1900,1.621165850451689e-06,1.5054054114393978e-08
1901,1.5654058103109492e-06,3.912117296778206e-09
1902,1.5212059736313677e-06,1.6203936692438248e-08
1903,1.6384268093361243e-06,9.720396931811592e-09
1904,1.4301877797606721e-06,3.7622376325430196e-09
1905,1.2994791518394777e-06,6.192911072844254e-09
1906,1.212998739674731e-06,4.115347618238729e-09
1907,1.1627968419247736e-06,6.68569621886661e-09
1908,1.139933374361135e-06,4.911389073214423e-09
1909,1.2102164390626058e-06,6.601180213561264e-09
1910,1.1944176350198177e-06,1.3894791539570406e-08
1911,1.4418214249189987e-06,7.4485237977484076e-09
1912,1.1241931048289189e-06,3.6465949149189214e-09
1913,1.2361268630911582e-06,6.363587545799021e-09
1914,1.7364656628160446e-06,6.027069288094822e-09
1915,5.189425621665578e-06,1.2958838335741518e-08
1916,5.20805690484849e-06,1.538244731591476e-08
1917,5.155316330274218e-06,2.1932848870420685e-08
1918,4.889750300662854e-06,1.2635013924011673e-08
1919,3.133430880097876e-06,2.117805053547528e-08
1920,2.216392289255964e-06,3.786115865267448e-09
1921,1.4403366037640808e-06,6.815472852750304e-09
1922,1.8887514841026132e-06,3.6889677978990676e-09
