year,nos_DET ondes_NOUN,nos_DET sondes_NOUN
1800,0.0,2.829747991484055e-08
1801,7.143547975374531e-09,2.1430643926123594e-08
1802,0.0,3.8043282302169246e-08
1803,0.0,0.0
1804,0.0,2.4718509905596875e-08
1805,0.0,2.842877666608956e-08
1806,0.0,0.0
1807,0.0,5.12451929779445e-08
1808,0.0,2.2660739062985158e-08
1809,9.036122072814123e-09,4.292158095609011e-08
1810,0.0,0.0
1811,0.0,0.0
1812,8.00162425207418e-09,1.0668832928217853e-08
1813,2.8757416448144113e-09,6.326631663000626e-08
1814,0.0,0.0
1815,0.0,3.236668177919455e-08
1816,2.3176038865813098e-09,3.244645441213834e-08
1817,0.0,0.0
1818,0.0,2.026600220972341e-08
1819,0.0,1.5526575580793178e-08
1820,1.3053129244156025e-08,5.933240565525466e-09
1821,0.0,2.465372084259343e-08
1822,2.0051231786055723e-09,3.0076847679083585e-09
1823,1.9765373782121287e-09,1.087095569118901e-08
1824,0.0,1.8526447931321854e-08
1825,3.522177216552791e-09,3.522177216552791e-09
1826,1.7615968683770689e-09,8.807984341885344e-10
1827,0.0,5.530363889061363e-09
1828,1.8344602503717056e-09,1.8344602503717056e-09
1829,8.57317605795771e-10,8.57317605795771e-10
1830,5.218417697960831e-09,3.861629327417404e-08
1831,9.354723218280014e-09,4.677361609140007e-09
1832,0.0,1.8941957335982806e-08
1833,1.1583628500844156e-09,2.89590715851773e-08
1834,9.334530925997342e-10,8.401078055442213e-09
1835,4.5378527602224494e-09,1.5126175867408165e-09
1836,5.376600054063374e-09,6.720750067579218e-10
1837,0.0,0.0
1838,1.2624323808552163e-09,6.312161904276081e-10
1839,3.4957374772659477e-09,3.4957374772659477e-09
1840,6.3696887764308485e-09,2.4204817705708592e-08
1841,2.5682194149112547e-09,4.8796167106957e-08
1842,4.024959032733477e-09,6.708265054555795e-09
1843,6.497602011990011e-09,3.5441467538532834e-09
1844,1.6465684371524958e-09,6.586273748609983e-09
1845,2.2320911785556063e-09,1.2834524221183585e-08
1846,4.0981511517657054e-09,1.0538101946622191e-08
1847,2.6966118227278457e-09,1.6179670936367074e-09
1848,3.218088684420195e-09,0.0
1849,0.0,1.3407063903514427e-08
1850,6.788996032014438e-10,9.504594444820214e-09
1851,5.159551008659946e-09,1.2898877521649865e-09
1852,3.906327261660181e-09,1.3021090872200602e-09
1853,5.3747388761848924e-09,4.180352286553557e-09
1854,0.0,2.0782658372020535e-09
1855,2.653468555990912e-09,8.491099379170919e-09
1856,2.0708756931497874e-09,3.1063134287023786e-09
1857,6.345961978126979e-09,8.298565612463449e-09
1858,4.893676019968041e-10,4.893676019968041e-10
1859,4.073738679721828e-09,2.5460866748261424e-09
1860,6.865775947773045e-09,3.204028820036342e-09
1861,4.715963730639317e-10,3.772770984511453e-09
1862,1.8071945051545413e-09,4.517986262886353e-10
1863,1.9479021062807078e-08,8.490855574194711e-09
1864,1.4384183844029508e-09,2.3973640850272204e-09
1865,4.23615986733239e-09,1.882737743486018e-09
1866,1.9462451650298362e-09,3.4059290943133647e-09
1867,4.367530337390235e-09,1.164674756637396e-08
1868,7.409810987013543e-09,2.0253484223076157e-08
1869,6.8369265804335555e-09,1.5138909681411405e-08
1870,1.490852596930381e-08,1.7202146374017957e-09
1871,9.559059321873065e-09,4.248470908407853e-09
1872,7.861540751719076e-09,1.3908880269752899e-08
1873,2.9930022904522957e-09,1.7958013909247228e-08
1874,5.974609140757536e-10,7.169530746864439e-09
1875,1.1443054281912168e-09,4.005069165202713e-09
1876,0.0,1.5719638923883394e-08
1877,1.2369631985365004e-09,1.2988113695655557e-08
1878,0.0,3.0195443923020093e-09
1879,5.498392852132383e-09,4.27652757650776e-09
1880,1.2835692508872398e-09,5.776061406947974e-09
1881,2.091752326904839e-09,1.6036766581351003e-08
1882,6.655385131892899e-10,1.0648615988984034e-08
1883,2.5277355764075082e-09,7.583206618200222e-09
1884,6.601696966868076e-10,1.1222884843675729e-08
1885,2.578254332252783e-09,6.445635580831777e-09
1886,1.1616235306988187e-08,2.5813855497602844e-09
1887,1.9586774424595887e-09,0.0
1888,6.974675947901687e-09,1.902184343371971e-08
1889,9.397704836544563e-09,6.891650361495749e-09
