year,leurs_DET airs_NOUN,leurs_DET serres_NOUN
1800,1.886498623981936e-07,3.081281079175824e-07
1801,1.381085894536227e-07,9.048493865293494e-08
1802,7.832440473976021e-08,1.2755688771903806e-07
1803,1.8918290400904425e-07,1.9893460034836608e-07
1804,1.9033252973699177e-07,1.7797326279378467e-07
1805,1.421438877713399e-07,5.970043259750923e-08
1806,2.564685619432794e-07,5.76333825108577e-08
1807,1.5942949005420815e-07,4.27043254092041e-08
1808,1.4049658503267892e-07,1.087715486569607e-07
1809,1.0391540516963005e-07,1.1295152546608733e-07
1810,1.0296557917399696e-07,1.0296557917399696e-07
1811,1.0780430415024966e-07,6.518399686683551e-08
1812,2.667208214290895e-07,7.734903562095496e-08
1813,2.0705339420779012e-07,5.7514832008109806e-08
1814,1.5104050810066383e-07,2.8320094713762956e-08
1815,1.537417375629957e-07,2.6972236000233352e-08
1816,1.0429217844887262e-07,1.4832664874120383e-07
1817,1.588010940523077e-07,4.3125392412690644e-07
1818,5.364529886975333e-08,2.88492492117598e-07
1819,8.591371281063687e-08,1.2421260464634543e-07
1820,2.5038275097699625e-07,1.6257079415993303e-07
1821,1.4200543052567127e-07,6.607196922914227e-08
1822,8.72228582693424e-08,6.717162648328667e-08
1823,1.353928098524193e-07,1.8184143546484677e-07
1824,1.5494847005470547e-07,4.378978424313118e-08
1825,1.6025906202088436e-07,1.0918749016042284e-07
1826,1.5149733556540923e-07,4.7563116112314674e-08
1827,9.770309539192112e-08,8.479891278057039e-08
1828,9.997808092521154e-08,1.0548146178734896e-07
1829,1.1830983304150777e-07,1.8432328374728968e-07
1830,1.7012042263786498e-07,1.033246732617954e-07
1831,9.510636012066698e-08,1.9021271402408502e-07
1832,1.5694764599061273e-07,9.606278439378002e-08
1833,2.2588075054841283e-07,1.2626155410089268e-07
1834,1.7455573164681937e-07,1.297499778729616e-07
1835,1.406734426723233e-07,1.1193370141882042e-07
1836,1.0148332352244438e-07,1.418078241499643e-07
1837,1.0158520957759265e-07,1.0088941748698232e-07
1838,9.405121303984743e-08,8.963269881867575e-08
1839,9.088917574118227e-08,7.550793323929383e-08
1840,8.981260979368244e-08,9.299745196145182e-08
1841,9.502411835171642e-08,1.2776891633592413e-07
1842,1.09344717280635e-07,7.848669802967834e-08
1843,9.74640315121178e-08,9.214781471200695e-08
1844,1.1416207801318023e-07,1.0977122855138077e-07
1845,4.185171054160719e-08,7.533308066243194e-08
1846,9.133021894314197e-08,9.015931756728435e-08
1847,6.417936226910115e-08,7.981971350545791e-08
1848,7.964769821455775e-08,6.91889070481011e-08
1849,8.128032291665477e-08,1.1396004140351579e-07
1850,4.8880770542325536e-08,6.585326062236163e-08
1851,4.6435958633850305e-08,1.5543147147134562e-07
1852,1.6211258824228025e-07,9.310080040236812e-08
1853,9.73424918448984e-08,1.176470543207131e-07
1854,9.248282384355377e-08,9.040455833941863e-08
1855,1.1356845419641104e-07,1.0242388270853553e-07
1856,1.1027413204800496e-07,7.299836823904116e-08
1857,1.0007093553809909e-07,7.371078680762366e-08
1858,1.04235298392652e-07,9.249047655535136e-08
1859,1.2883198241553373e-07,7.434572757425428e-08
1860,9.566314140840859e-08,8.330474896012241e-08
1861,7.969978632615948e-08,8.677373336540839e-08
1862,7.861296413835817e-08,1.1701584418100097e-07
1863,7.841554694465458e-08,1.0089134178103976e-07
1864,1.0212770273909655e-07,7.240039390232766e-08
1865,1.0119715088130476e-07,9.178346260796388e-08
1866,9.244664234131506e-08,6.763202264892243e-08
1867,9.268870115874961e-08,8.298307285770079e-08
1868,1.0620729096189052e-07,1.1015919199053315e-07
1869,1.8215526154108375e-07,7.471784391199776e-08
1870,9.518521082441112e-08,9.633202280312503e-08
1871,6.266494922968491e-08,8.390730088514431e-08
