year,pourrez_VERB avoir_VERB,pourrez_VERB savoir_VERB
1800,2.829747991484055e-08,9.432493897065797e-09
1801,1.6430159632818686e-07,2.1430643926123594e-08
1802,7.832440473976021e-08,2.2378401354217203e-09
1803,1.3067273130218382e-07,5.851017803593095e-08
1804,6.426812149129546e-08,1.4831105232815389e-08
1805,2.2743021688143017e-08,8.528632911009026e-09
1806,1.7290014397985942e-07,1.2391177506287931e-07
1807,7.117387923472052e-08,2.8469551160981155e-09
1808,7.931259204951857e-08,4.078933102391602e-08
1809,1.1069249694628525e-07,6.7770917766551975e-09
1810,1.2168659679900884e-07,7.020380277111826e-09
1811,6.016983888912364e-08,4.011322829455821e-08
1812,3.7340914360584065e-08,8.00162425207418e-09
1813,8.91479885467561e-08,1.1502966579257645e-08
1814,1.1013369771717407e-07,6.293354282149721e-09
1815,1.0249449644561537e-07,1.8880564667256294e-08
1816,1.0660977523002657e-07,0.0
1817,1.5101672090622742e-07,3.113746771532533e-08
1818,7.033494853203592e-08,1.1921176934492905e-08
1819,2.1530183857976226e-07,1.9666995143552413e-08
1820,1.2103811286579003e-07,2.0173018810965004e-08
1821,1.962436186886407e-07,5.1279737789400315e-08
1822,1.1729970594842598e-07,3.709477880420309e-08
1823,1.0772128433700345e-07,1.680056804787e-08
1824,1.4821158345057484e-07,1.6000115010683658e-08
1825,1.5585634116632718e-07,8.805443485471187e-09
1826,2.510275578515575e-07,9.336463335785083e-08
1827,1.1613764172579977e-07,3.6869092223668076e-09
1828,1.1373653308055509e-07,1.1006761724274838e-08
1829,1.0630738245254179e-07,4.286587973467704e-09
1830,1.1271782796029584e-07,2.400472176589119e-08
1831,7.016042502527853e-08,1.4032085715598441e-08
1832,7.982681893281551e-08,3.2471927369215337e-08
1833,9.266902623039641e-08,0.0
1834,1.4655213931291655e-07,3.547121707470069e-08
1835,1.1722786297241328e-07,2.0420337421001022e-08
1836,1.8011610336543527e-07,1.8818100855355624e-08
1837,1.1689256496083544e-07,2.6439986200443855e-08
1838,6.94337813911261e-08,9.468243078458727e-09
1839,1.2654570014092315e-07,4.754203075663099e-08
1840,9.490835850556323e-08,1.7835128929277744e-08
1841,8.603534951134861e-08,2.8250413564023802e-08
1842,1.777690243898178e-07,1.1404051036834062e-08
1843,1.6007729186640063e-07,1.594865928211675e-08
1844,7.903528143060612e-08,2.085653250105679e-08
1845,9.374782905524626e-08,1.3392547515422848e-08
1846,1.1357732887518068e-07,9.952652035849496e-09
1847,8.790954808546303e-08,1.833696039454935e-08
1848,1.3676877586021874e-07,1.045878850192139e-08
1849,1.4915359258793615e-07,8.379414495607307e-09
1850,1.5954140053509036e-07,1.2220192857625989e-08
1851,1.012561909874421e-07,5.159551008659946e-09
1852,1.2370036017728125e-07,1.4974254725075298e-08
1853,1.2720214215278247e-07,7.166318205520383e-09
1854,1.4340034226734133e-07,9.871762074453727e-09
1855,1.1144567935161831e-07,1.539011762474729e-08
1856,1.1545132139190173e-07,5.177189343896771e-09
1857,1.147154620184665e-07,1.9526035899275485e-08
1858,1.8204474372396362e-07,1.2234189661342043e-08
1859,1.7618920367112878e-07,8.147477359443656e-09
1860,1.9361488057256793e-07,2.5632230560290736e-08
1861,1.3534815934690414e-07,1.226150558863992e-08
1862,2.0602017514192994e-07,1.671654992208005e-08
1863,1.8380204380719078e-07,8.990317823531768e-09
1864,1.529518272036512e-07,1.582260189536555e-08
1865,1.2708480312539905e-07,6.118897832863013e-09
1866,8.90407179099384e-08,9.731225603104576e-09
1867,1.0190903765305848e-07,6.308654931785895e-09
1868,2.203183839810663e-07,2.222943251695142e-08
1869,1.4650557034201483e-07,7.813630631403612e-09
1870,1.4335121534259088e-07,8.027668307875047e-09
1871,1.603797699090137e-07,2.442870794538976e-08
1872,1.2759885237301205e-07,3.205089882385437e-08
1873,1.0236067993218967e-07,1.4366410283628284e-08
1874,1.1769979835207778e-07,1.0156835372754358e-08
1875,1.5333692715557845e-07,4.1194994082616176e-08
1876,1.2757091383264196e-07,2.539326260375674e-08
1877,1.5214646964523126e-07,2.040989244278535e-08
1878,8.877460544454152e-08,2.4760263173106978e-08
1879,1.3257235309538373e-07,2.1382637882538802e-08
1880,1.7649077221904008e-07,3.786529134686134e-08
1881,1.3875289539555524e-07,1.2550513517339823e-08
1882,1.550704666897218e-07,1.8635077481121698e-08
1883,1.529279956002938e-07,1.4534479397809719e-08
1884,8.714239640994492e-08,1.3203393933736152e-08
1885,1.7016478182085848e-07,4.3185760745245716e-08
1886,1.2326115950145322e-07,1.2261581083805595e-08
1887,1.3645453122990148e-07,3.264462478114183e-08
1888,1.2491011602833169e-07,2.2192152115962926e-08
1889,1.1277246159124843e-07,2.4434033463194282e-08
1890,1.500954454058956e-07,1.7041404731799048e-08
1891,9.37010327106691e-08,1.4023283867459213e-08
1892,7.396844381446499e-08,6.8953633913793055e-09
1893,8.129109829724257e-08,5.542574843531156e-09
1894,1.3296248368988017e-07,3.780923574225881e-09
1895,1.1134437016835363e-07,1.3240951446391591e-08
1896,1.0260830407560206e-07,9.435246361988447e-09
1897,8.390467343133423e-08,1.3984112534615178e-08
1898,7.299277626771072e-08,1.640922953072277e-08
1899,1.083405365420731e-07,4.4220627160029835e-09
1900,7.838490034828283e-08,3.010810800674335e-08
1901,9.612630691435697e-08,1.5648469187112823e-08
1902,6.825294462942111e-08,5.4013122863239005e-09
1903,9.234376818767487e-08,2.1060859722865644e-08
1904,8.975624155027617e-08,5.912087708281888e-09
1905,1.0579555720369171e-07,1.186974607492175e-08
1906,7.819160430244665e-08,8.745113966313056e-09
1907,7.097123955190909e-08,1.0799970695529737e-08
1908,1.0313917186977051e-07,2.1118973236866623e-08
1909,1.1772105068530436e-07,1.1552065082298668e-08
1910,7.855901174025348e-08,1.1757131268552712e-08
1911,8.7786176550253e-08,1.276889793899727e-08
1912,7.814131919303691e-08,1.0939784189645252e-08
1913,8.166604459347582e-08,1.1666577037772186e-08
1914,8.370929549528228e-08,1.4063162190325329e-08
1915,6.597226587246041e-08,1.6493066468115103e-08
1916,3.5159878564172686e-08,1.0987462051303964e-09
1917,3.61891991929042e-08,1.7546279096336548e-08
1918,4.824278221349232e-08,9.189101035644853e-09
1919,4.9722380879302364e-08,4.603924352863942e-09
1920,9.541012246927494e-08,7.572231730534895e-09
1921,6.361107551811074e-08,7.572747429129834e-10
1922,6.64014194740048e-08,1.1066902949607993e-08
1923,7.749642350063368e-08,7.431163684401554e-09
