year,plusieurs_DET sentiers_NOUN
1800,1.1004575384276905e-07
1801,5.000483582762172e-08
1802,4.2518962573012686e-08
1803,7.801356893821776e-09
1804,9.887403562558461e-09
1805,3.41145314219915e-08
1806,1.152667650217154e-08
1807,3.4163460504998966e-08
1808,5.211970233176544e-08
1809,4.518061036407062e-09
1810,4.680253518074551e-09
1811,5.0141536256376185e-08
1812,4.800974684471271e-08
1813,1.7254450312975678e-08
1814,1.8880061958270744e-08
1815,2.1577788444915313e-08
1816,1.1588019432906549e-08
1817,1.556873407970727e-08
1818,3.337929666002992e-08
1819,2.6912729822470283e-08
1820,1.4239777357261119e-08
1821,5.522433510485314e-08
1822,2.3058916553964082e-08
1823,2.0753641694071234e-08
1824,6.231623217445303e-08
1825,4.931048014356065e-08
1826,4.844391199299025e-08
1827,2.3043182917348304e-08
1828,1.2841221419535032e-08
1829,1.0287811491593857e-08
1830,4.696576216822734e-08
1831,5.924658186273746e-08
1832,5.817886794545757e-08
1833,5.560141680405195e-08
1834,3.0803951833746623e-08
1835,2.7983425354705105e-08
1836,5.376600054063374e-09
1837,1.5307359824134892e-08
1838,1.893648637896206e-08
1839,3.076248944466897e-08
1840,2.2293909995863004e-08
1841,4.1091511526758495e-08
1842,2.951636579595629e-08
1843,2.3627644285539873e-08
1844,3.4029080442365967e-08
1845,2.6785095030845696e-08
1846,2.0490754870650107e-08
1847,1.3483059113639229e-08
1848,1.769948809737798e-08
1849,1.3407064125559032e-08
1850,1.4935791270431764e-08
1851,1.3543821175687754e-08
1852,1.757847245542621e-08
1853,1.4929829372789527e-08
1854,2.0782657816909023e-08
1855,3.555647865027822e-08
1856,3.4169449047993794e-08
1857,1.2691924067276261e-08
1858,2.6425851284983537e-08
1859,2.34239969643113e-08
1860,3.2040287312185e-08
1861,1.5091084160090418e-08
1862,2.213813332652137e-08
1863,1.5982787093804518e-08
1864,1.342523869851675e-08
1865,1.7415324293779122e-08
1866,2.7733993435141713e-08
1867,2.329349513274792e-08
1868,2.716930702639786e-08
1869,2.685935507340531e-08
1870,2.0642576092910758e-08
1871,0.0
1872,3.8098237120642864e-08
1873,1.2570609442263958e-08
1874,3.345781207642062e-08
1875,1.2587359599081083e-08
1876,2.1765653723804235e-08
1877,1.1751150608141359e-08
1878,2.5968081018845623e-08
1879,2.5048233487368066e-08
1880,2.6313168977054602e-08
1881,1.9523021921319383e-08
1882,1.1314154724217929e-08
1883,1.200674426549142e-08
1884,3.1027975744279956e-08
1885,1.9981471144348006e-08
1886,6.453463763378409e-09
1887,1.3710741431083306e-08
1888,2.155808931370018e-08
1889,2.1301464370182543e-08
1890,1.6385966361553983e-08
1891,8.92390783491237e-09
1892,1.1283321832422644e-08
1893,6.158416665513755e-09
1894,2.3945850191608997e-08
1895,2.2268873856035043e-08
1896,1.4152869542982671e-08
1897,1.806281213490024e-08
1898,1.810673611046809e-08
1899,1.3818945987509323e-08
1900,2.3359739032002835e-08
1901,2.9620315533662733e-08
1902,1.718599307309887e-08
1903,9.720396931811592e-09
1904,1.7736262236667244e-08
1905,1.341797323251015e-08
1906,1.3889298045022258e-08
1907,1.182853937020667e-08
1908,1.6698722848929037e-08
1909,1.1552065082298668e-08
1910,1.1222716644887498e-08
1911,1.4365010514438836e-08
1912,4.167536982180309e-09
1913,1.6969567750990677e-08
1914,8.036092513652449e-09
1915,5.890381071793627e-09
1916,8.789969641043172e-09
1917,1.0966424435210342e-09
1918,6.89182577673364e-09
1919,2.762354511798293e-09
1920,1.8930579326337238e-08
1921,1.0601846622826372e-08
1922,4.4267612908655e-09
1923,7.431163684401554e-09
1924,1.1602462102189293e-08
1925,1.7597084678300234e-08
1926,1.2260752413340015e-08
1927,5.574612327308159e-09
1928,3.085031030636287e-08
1929,5.570202965543558e-09
1930,1.155396367469308e-08
1931,1.1405356659111021e-08
1932,7.6716757391182e-09
1933,5.735331098932761e-09
1934,1.1981580172459871e-08
1935,1.6755597798123745e-08
1936,7.274828739411987e-09
1937,6.295559185076627e-09
1938,1.037217134403079e-08
1939,6.117620188206274e-09
1940,1.0143131667916805e-08
1941,0.0
1942,3.034211770724937e-09
1943,1.4516175816936538e-08
1944,1.2852744646352221e-08
1945,8.714016175304096e-09
1946,9.744772988540262e-09
1947,2.3841741914054637e-09
1948,1.3046265845417793e-08
1949,5.890204768377316e-09
1950,5.317680518146517e-09
1951,1.1727541715522705e-08
1952,6.326882462381889e-09
1953,5.386913581872932e-09
1954,4.886268056836229e-09
1955,5.631364707880948e-09
1956,6.976913269340912e-09
1957,4.417518850718949e-09
1958,1.6544486891589827e-09
1959,7.750747599288843e-09
1960,6.920833350854139e-09
1961,1.737039845295385e-08
1962,1.2683912586908264e-08
1963,1.681173822376536e-08
1964,1.7035110877472448e-08
1965,3.830430195250756e-09
1966,6.646889594286165e-09
1967,7.88853687927471e-09
1968,8.533690087908496e-09
1969,5.904285033109247e-09
1970,8.737577245065964e-09
1971,1.0790634386026454e-08
1972,8.208234980600082e-09
1973,1.5988291357516005e-08
1974,6.750685899170605e-09
1975,1.028066431985053e-08
1976,6.856232415142216e-09
1977,9.990529292736028e-09
1978,1.4257419245211622e-08
1979,1.1118749032590358e-08
1980,1.1370301367108482e-08
1981,7.590659656386833e-09
1982,5.586751949948621e-09
1983,6.946847541655643e-09
1984,7.538711266352749e-09
1985,1.7445118460912568e-08
1986,1.558566170567488e-08
1987,5.49973533381376e-09
1988,1.1993107784658008e-08
1989,1.317149311841348e-08
1990,9.262706823776057e-09
1991,9.964491010094889e-09
1992,1.1570882474387645e-08
1993,1.6617622167203194e-08
1994,1.793475012945578e-08
1995,1.4098371969861745e-08
1996,1.2277611816102763e-08
1997,6.233362825902589e-09
1998,1.2397136206487858e-08
1999,9.140402212892695e-09
2000,8.836062992401139e-09
2001,1.095302959441824e-08
2002,1.2267419968736704e-08
2003,1.12506919336397e-08
2004,1.8500123655229572e-08
2005,1.0358624180639708e-08
2006,2.7178073125355695e-08
2007,3.0358044966760644e-08
2008,6.811903574543976e-08
2009,6.389377915638761e-08
2010,6.802262220162447e-08
2011,1.9846414289759196e-07
2012,1.6612753483968845e-07
2013,1.7320466128012413e-07
2014,1.162844078805847e-07
2015,1.5892845794951427e-07
2016,1.342228337364304e-07
2017,1.3458520697895437e-07
2018,1.4946692061812428e-07
2019,2.096911941862345e-07
