year,ces_DET ondes_NOUN,ces_DET sondes_NOUN
1800,1.697848883708275e-07,3.144164484325529e-09
1801,2.3097471668620528e-07,0.0
1802,1.9021641151084623e-07,3.1329761895904085e-08
1803,1.7162985521679275e-07,7.801356893821776e-09
1804,1.2606439336870778e-07,2.7190359741524617e-08
1805,1.6488691212401818e-07,5.685755422035754e-09
1806,2.8240357874409483e-07,2.0171682990621775e-08
1807,1.7935817631098416e-07,8.540865792383556e-09
1808,1.8581807381679027e-07,4.30554059072108e-08
1809,1.6942729530455836e-07,0.0
1810,1.5210823800515527e-07,2.3401267590372754e-09
1811,1.4290336913802548e-07,5.0141535368197765e-09
1812,1.440292436427626e-07,8.00162425207418e-09
1813,2.01301915581098e-07,8.627225156487839e-09
1814,2.5173416240420465e-07,0.0
1815,9.170560089089008e-08,1.6183340889597275e-08
1816,2.618892338546175e-07,0.0
1817,3.191590387530141e-07,0.0
1818,1.4663048020224778e-07,1.192117715653751e-08
1819,1.956348409937192e-07,0.0
1820,1.3053128888884657e-07,0.0
1821,2.0314665860610148e-07,6.903041693817613e-09
1822,1.5840473110984021e-07,2.4061478143266868e-08
1823,2.1741910671835285e-07,4.941343334508019e-09
1824,1.3557991973556227e-07,5.894778887238772e-09
1825,1.7434777532798762e-07,9.68598712347557e-09
1826,1.7351728587300386e-07,0.0
1827,1.5853709811608496e-07,1.8434546333878643e-08
1828,1.2932945026022935e-07,6.420610820789818e-09
1829,1.2516836633835737e-07,3.429270423183084e-09
1830,2.8701298049327306e-07,6.262101504006523e-09
1831,3.7262982388597266e-07,1.5591206103948707e-09
1832,1.3259369779916597e-07,1.3529969256076413e-08
1833,2.2356402595846703e-07,2.3167257001688313e-09
1834,1.4468522424593289e-07,8.401078055442213e-09
1835,1.4445497242832062e-07,5.294161553592858e-09
1836,2.1708022757138679e-07,2.016224964762614e-09
1837,2.456135543837945e-07,2.7831562610103333e-09
1838,2.4806796616871907e-07,1.2624323808552163e-08
1839,2.293203893444229e-07,9.788065469251706e-09
1840,2.305827315751685e-07,1.8472097185195935e-08
1841,1.8041740901253434e-07,1.926164650001283e-08
1842,1.891730683212245e-07,1.2745703603656011e-08
1843,1.523983019779962e-07,1.063243981747064e-08
1844,1.2733461929315126e-07,1.097712254427563e-08
1845,1.601525463357234e-07,2.0088820940067365e-08
1846,1.580715398574739e-07,2.9272506640865004e-09
1847,2.195042005936898e-07,1.0786447290911383e-08
1848,2.0595768290831984e-07,2.172209878636977e-08
1849,1.5669506225890473e-07,5.865590457787562e-09
1850,1.6429370042203573e-07,7.467895635215882e-09
1851,2.541078849560563e-07,3.8696632564949596e-09
1852,1.1133032851162739e-07,1.3021090872200602e-09
1853,1.4153478300471534e-07,1.6721409146214228e-08
1854,1.9587654698227652e-07,1.558699391779328e-09
1855,1.7884378067378748e-07,9.552486801567284e-09
1856,1.8171934801358702e-07,1.0354378687793542e-08
1857,1.493741734748255e-07,2.5383847912507917e-08
1858,2.5887545440639315e-07,1.5170395550878624e-08
1859,1.940118021792614e-07,4.582956236731661e-09
1860,1.5928599950143507e-07,4.119465518703791e-09
1861,1.8958174763383795e-07,1.0375120318428799e-08
1862,1.721352820283073e-07,1.1746764561060274e-08
1863,2.2625631768136145e-07,5.494082966350788e-09
1864,2.9487577890563443e-07,1.0548401374599337e-08
1865,1.4920695967646225e-07,6.118897610818408e-09
1866,4.383917158179429e-07,5.838735495089509e-09
1867,2.795219344875477e-07,5.82337378318698e-09
1868,4.411307550356014e-07,6.421836395986702e-09
1869,3.6382216173080906e-07,7.813630631403612e-09
1870,3.6697911554028906e-07,5.734048791339319e-09
1871,2.464113091349418e-07,1.1683295220166201e-08
1872,3.4348887112400917e-07,8.46627523642951e-09
1873,1.6281932690986878e-07,1.077480804578812e-08
1874,2.96340605387968e-07,1.0156835372754358e-08
1875,2.1455727505781397e-07,3.432916173551348e-09
1876,1.971000784806165e-07,7.859819461941697e-09
1877,2.987266150000778e-07,8.040260901509555e-09
1878,2.693433565070791e-07,7.850815331167382e-09
1879,2.7003217084597964e-07,1.0385853066452455e-08
1880,3.1447448023413926e-07,1.2835692508872398e-09
1881,2.719277905072204e-07,2.4403776777148778e-08
1882,1.863507890220717e-07,4.658769592325029e-09
1883,3.608342424854527e-07,6.319338941018771e-10
1884,2.3766108370182337e-07,3.9610181801208455e-09
1885,2.7200583119224575e-07,9.668453371247665e-09
1886,2.342607405836361e-07,5.162771099520569e-09
1887,1.423305615588788e-07,4.570247291724172e-09
1888,2.225555739698848e-07,5.706553229956057e-09
1889,2.161472139050602e-07,4.385595886446936e-09
1890,2.477558140867586e-07,7.865263773609854e-09
1891,2.9895091913090255e-07,1.1473595740163489e-08
1892,2.4572568690928165e-07,1.0656471038927862e-08
1893,2.9252478128682924e-07,8.005941465327737e-09
1894,2.3441725538475566e-07,3.150769645188234e-09
1895,3.2079214307145776e-07,4.814891596538473e-09
1896,3.101837151575637e-07,4.1279202278587945e-09
1897,3.437761080249402e-07,4.661370844871726e-09
1898,3.4742299348522465e-07,5.092519517191363e-09
1899,5.041151425189128e-07,6.080336234504102e-09
1900,3.41571311679445e-07,3.6337372000261325e-09
1901,3.744455128185109e-07,6.706486921359556e-09
1902,4.654949172788747e-07,4.910283957215711e-09
1903,3.321135526590524e-07,8.100330406435319e-09
1904,4.337322536684951e-07,6.449550227216605e-09
1905,2.683594644281584e-07,1.5482277682110634e-09
1906,3.379729278663035e-07,4.629766015007419e-09
1907,4.433130911252192e-07,1.0285686524724724e-08
1908,4.3367566604501917e-07,2.9468334439286537e-09
1909,4.367780910286001e-07,4.400786846048277e-09
1910,3.3775033259075826e-07,5.878565856320961e-09
1911,4.144571406072828e-07,7.448523686726105e-09
1912,4.349866600250607e-07,5.209421061191932e-09
1913,4.295421689448631e-07,4.772690909149446e-09
1914,4.2256452559286117e-07,1.0045115628187773e-08
1915,2.674232995047987e-07,0.0
1916,3.5050003432957055e-07,0.0
1917,3.1363974528630933e-07,1.0966424435210342e-09
1918,4.1121228377960506e-07,1.1486376294556067e-09
1919,4.861743931883211e-07,2.762354567309444e-09
1920,6.156224472420035e-07,6.057785384427916e-09
1921,4.6799577546607907e-07,1.2873670574009566e-08
1922,4.5152963679129243e-07,7.377935484775833e-09
1923,5.615836329297963e-07,0.0
1924,6.484486902991193e-07,0.0
1925,5.235132647385399e-07,1.0998177923937646e-09
1926,6.754559791488646e-07,6.687682962969177e-09
1927,6.087476904781397e-07,4.459690061686672e-09
1928,6.672807870700126e-07,1.1426041224282812e-09
1929,5.948977275238576e-07,2.2280812750352652e-09
