year,les_DET ailes_NOUN,les_DET selles_NOUN
1800,1.8475111232874042e-05,1.436883152905466e-06
1801,1.1441582614679646e-05,3.464620732529511e-06
1802,1.4664566151623148e-05,1.9760128111556696e-06
1803,3.2675984812158276e-05,2.318953320923356e-06
1804,1.1432310998316098e-05,3.341942374390783e-06
1805,7.857714081183076e-06,2.09235798820373e-06
1806,8.941819430674514e-06,1.1786027229732099e-06
1807,5.258326098100952e-06,1.634152255292065e-06
1808,8.434327696704713e-06,1.561325007060077e-06
1809,8.308714143367979e-06,1.3260509348356209e-06
1810,7.5141470574635605e-06,2.0639918574261173e-06
1811,8.428791886672116e-06,1.5167814666483537e-06
1812,5.035689184751391e-06,2.6005279352148136e-06
1813,4.468902290000187e-06,5.150453205260419e-06
1814,3.6186786189773557e-06,2.6589422077449854e-06
1815,4.890066520601977e-06,2.813204233120814e-06
1816,1.8174650563196337e-05,2.4427544076388585e-06
1817,2.5939067199942656e-05,1.9056130469152777e-06
1818,1.7289283334775973e-05,1.8620878705633004e-06
1819,9.65338972491736e-06,1.2669685531818686e-06
1820,7.814077662260388e-06,1.6613073796634126e-06
1821,8.51342321084303e-06,1.2021154489616492e-06
1822,8.333292271345272e-06,1.2291404942743611e-06
1823,1.447813610866433e-05,1.6543617959996482e-06
1824,5.645513965646387e-06,1.1840084113146077e-06
1825,8.09308278348908e-06,1.1684822922575222e-06
1826,1.0075453246827237e-05,1.786259218761188e-06
1827,7.177490374488116e-06,1.157689538899831e-06
1828,1.1165442629135214e-05,1.522602005366025e-06
1829,9.187015621137107e-06,1.6426205320385634e-06
1830,9.887858368529123e-06,1.708509984155171e-06
1831,7.533670782322588e-06,2.0829851195003357e-06
1832,9.918820978782605e-06,2.952239270825885e-06
1833,7.698479521422996e-06,2.0352434972892297e-06
1834,1.1200503877262236e-05,1.5840699063573993e-06
1835,1.0076302487505018e-05,2.3453135042927897e-06
1836,1.0169839242735179e-05,1.78570326170302e-06
1837,8.309809231832332e-06,2.6808753830209753e-06
1838,9.506747346677002e-06,1.92710301405441e-06
1839,8.365999065063079e-06,2.1708529800434917e-06
1840,6.221911803550029e-06,2.1637832503529353e-06
1841,7.749601991235977e-06,2.2799366945491784e-06
1842,6.1253166450114804e-06,1.8534936430114612e-06
1843,6.828389132351731e-06,2.020754237719302e-06
1844,5.756951964031032e-06,1.6553500756799622e-06
1845,6.118719852565846e-06,1.5747403097066126e-06
1846,9.569182566337986e-06,1.7019035141174754e-06
1847,4.578846755975974e-06,1.2248011103110912e-06
1848,5.280883613067999e-06,1.6154805138057782e-06
1849,6.573651148755744e-06,3.1204941137730202e-06
1850,7.061234668981342e-06,1.9925702758882835e-06
1851,4.839013911350776e-06,1.669759683409211e-06
1852,9.334169135399861e-06,1.6530275388504378e-06
1853,7.545535709141404e-06,1.7641086884623292e-06
1854,6.589661325051566e-06,1.2105898292702477e-06
1855,7.1574659159523435e-06,1.9932856076820826e-06
1856,5.612590967984943e-06,1.0934223695358014e-06
1857,7.68544794027548e-06,1.1598465050610685e-06
1858,5.307680908117618e-06,9.151174111821092e-07
1859,5.8514164607004204e-06,9.547824930677962e-07
1860,8.621583560852741e-06,1.5937753943262578e-06
1861,6.140184893865808e-06,1.5331598319789919e-06
1862,5.444625173822715e-06,1.3188001730668475e-06
1863,5.5799906135689525e-06,1.1692407184682452e-06
1864,5.629010729535366e-06,1.0083312957931412e-06
1865,5.142698398685752e-06,1.3005010828237573e-06
